file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j/src/main/java/eu/verdelhan/ta4j/indicators/bollinger/BollingerBandWidthIndicator.java,eu.verdelhan.ta4j.indicators.bollinger.BollingerBandWidthIndicator,class,6,6,0,6,2,3,0,5,0,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,3,0,0,3,0,0,3,0,0,14,1,0,0,0,0,0,0,3,0,3,0,0,0,0,15,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j/src/test/java/eu/verdelhan/ta4j/indicators/candles/ThreeWhiteSoldiersIndicatorTest.java,eu.verdelhan.ta4j.indicators.candles.ThreeWhiteSoldiersIndicatorTest,class,7,7,0,7,2,1,0,5,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,26,0,0,0,0,0,1,41,3,0,3,0,0,0,0,19,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j/src/test/java/eu/verdelhan/ta4j/indicators/statistics/CovarianceIndicatorTest.java,eu.verdelhan.ta4j.indicators.statistics.CovarianceIndicatorTest,class,10,10,0,10,4,1,0,4,0,0.25,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,23,62,0,0,0,0,0,0,90,7,0,7,0,0,0,0,33,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j/src/main/java/eu/verdelhan/ta4j/indicators/StochasticOscillatorKIndicator.java,eu.verdelhan.ta4j.indicators.StochasticOscillatorKIndicator,class,9,10,1,9,4,2,0,6,0,0.375,0.0,0.0,4,0,3,0,1,0,4,0,0,0,4,0,0,4,0,0,2,0,0,26,2,0,0,0,0,1,0,8,1,8,0,0,0,0,40,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j/src/test/java/eu/verdelhan/ta4j/indicators/StochasticOscillatorKIndicatorTest.java,eu.verdelhan.ta4j.indicators.StochasticOscillatorKIndicatorTest,class,7,7,0,7,2,1,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,3,27,0,0,0,0,0,0,65,3,2,3,0,0,0,0,20,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-examples/src/main/java/ta4jexamples/indicators/CandlestickChart.java,ta4jexamples.indicators.CandlestickChart,class,18,19,1,18,6,1,0,36,6,0.0,NaN,NaN,4,4,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,66,2,2,0,0,0,6,8,32,2,26,1,0,0,0,84,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-examples/src/main/java/ta4jexamples/indicators/IndicatorsToChart.java,ta4jexamples.indicators.IndicatorsToChart,class,20,21,1,20,4,1,0,23,3,0.0,NaN,NaN,3,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,39,1,1,0,0,0,8,5,16,0,16,1,0,0,0,85,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j/src/main/java/eu/verdelhan/ta4j/Indicator.java,eu.verdelhan.ta4j.Indicator,interface,2,40,38,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j/src/main/java/eu/verdelhan/ta4j/indicators/helpers/MinPriceIndicator.java,eu.verdelhan.ta4j.indicators.helpers.MinPriceIndicator,class,3,8,5,3,2,3,0,2,0,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,11,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j/src/main/java/eu/verdelhan/ta4j/indicators/helpers/AbsoluteIndicator.java,eu.verdelhan.ta4j.indicators.helpers.AbsoluteIndicator,class,3,4,1,3,2,3,0,2,0,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,6,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j/src/main/java/eu/verdelhan/ta4j/indicators/TrailingStopLossIndicator.java,eu.verdelhan.ta4j.indicators.TrailingStopLossIndicator,class,3,3,0,3,5,2,0,5,0,0.11111111,0.0,0.0,3,0,2,0,1,0,3,0,0,0,3,0,0,3,0,0,2,0,0,25,1,0,0,0,0,0,1,7,0,5,1,0,0,0,91,1,0
