,commitID,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
0,8_931573b9cace2391f7b82a9f8637ee0c67999da3class,3.38208,5.27057,1.88848,3.38208,10.77879,1.23949,0.1298,7.84644,82.06947,0.15194,-0.0082,-0.0082,6.1883,0.52102,4.08044,0.3309,0.27605,1.50091,5.87569,0.06033,0.13528,0.04022,1.65448,0.62157,0.31993,1.00183,0.06764,0.26508,0.64534,0.0,2.0128,44.47898,2.99086,0.53199,1.74771,0.67824,0.55759,8.40951,4.27422,6.71846,2.23766,4.54296,0.88665,0.32541,0.03291,0.0,43.04205,29.15174,0.09689
1,6_68c0bec61ce4283629a4b5216626bb17c82ce349class,3.16384,5.99435,2.83051,3.16384,13.56497,1.22599,0.10169,9.13559,150.80791,0.1639,-0.01754,-0.01754,6.85311,0.47458,5.98305,0.22034,0.17514,0.47458,6.64972,0.0904,0.00565,0.05085,1.77401,0.58757,0.39548,1.25424,0.0452,0.0791,0.62147,0.0,5.56497,55.66667,4.21469,0.76836,2.62712,0.67232,0.85311,13.16949,6.33898,8.22599,2.72881,4.87571,0.79661,0.62712,0.02825,0.0,42.0904,17.24859,0.07345
2,9_d2ffce58eec309979a5286d29990e468b0e04942class,3.34115,5.67969,2.33854,3.34115,12.21094,1.23438,0.125,7.61979,97.3125,0.18161,-0.00962,-0.00962,7.28906,0.42188,4.77604,0.38802,0.21354,1.91146,6.91927,0.07031,0.17969,0.04948,1.99479,0.69531,0.39844,1.20573,0.0625,0.32812,0.72656,0.0,1.90104,47.23958,3.80729,0.45833,2.16146,0.51302,0.56771,9.65885,3.79948,7.39583,2.1849,4.86979,0.66146,0.39062,0.03125,0.0,47.10677,29.85938,0.15104
3,15_830fc66c54c1fe93a8f6caed971eb3a3f9c0eefdclass,3.35492,5.68653,2.33161,3.35492,12.2513,1.24093,0.12953,7.6658,97.32902,0.18682,-0.00952,-0.00952,7.31865,0.42487,4.8057,0.39378,0.21503,1.90415,6.94301,0.07513,0.17876,0.04922,2.01554,0.69689,0.39637,1.22798,0.06218,0.32902,0.72798,0.0,1.91451,47.63212,3.83161,0.46114,2.15285,0.52591,0.56477,9.74093,3.79793,7.45596,2.19689,4.9171,0.66321,0.3886,0.03368,0.0,47.27979,29.73057,0.15026
4,11_081a32958ea819e0f28889ead1a34b4d0bf5a51dclass,3.23618,6.1005,2.86432,3.23618,13.28643,1.26633,0.09548,9.34171,159.20603,0.17558,-0.02857,-0.02857,6.9799,0.68844,5.97487,0.27136,0.20603,0.52764,6.72864,0.01005,0.00503,0.0804,1.8191,0.63819,0.35176,1.26633,0.09045,0.11055,0.59296,0.0,5.68342,56.0402,4.20603,0.75879,2.35176,0.72362,0.74372,12.88945,5.86432,8.31156,2.55779,4.92965,0.83417,0.60804,0.0402,0.0,41.8794,15.33166,0.06533
5,14_9bae5faa802ec37227ee8fa86132668fa9556aedclass,3.40704,6.47739,3.07035,3.40704,13.87437,1.38191,0.11055,10.1608,123.8794,0.20895,-0.02326,-0.02326,6.87437,0.73367,5.66834,0.35176,0.26131,0.59296,6.54271,0.01005,0.01508,0.0804,2.1005,0.69849,0.36181,1.40704,0.1608,0.17085,0.65327,0.0,6.32663,58.82412,4.55779,0.80402,2.73869,0.79397,0.84925,14.15578,6.0603,9.32161,2.78392,5.70352,0.8995,0.51759,0.04523,0.0,45.65829,15.66332,0.06533
6,12_8507be3405f0569463995a47e3a07deabe2e859eclass,3.17544,6.0,2.82456,3.17544,13.68421,1.23392,0.10526,9.26901,141.68421,0.16895,-0.01754,-0.01754,6.92982,0.43275,6.07018,0.21637,0.17544,0.46784,6.73099,0.09357,0.00585,0.05263,1.80702,0.5848,0.38596,1.2807,0.04678,0.09357,0.61988,0.0,5.33333,56.54386,4.34503,0.76023,2.60819,0.69591,0.84795,13.64327,6.45614,8.4152,2.81871,4.95906,0.78947,0.61404,0.02924,0.0,42.75439,17.88889,0.07602
7,1_23e7fd12348613a97fe96284a66c72ebc626bd82class,2.99007,5.31457,2.3245,2.99007,12.29801,1.21192,0.0894,7.63576,95.93046,0.18028,-0.01863,-0.01863,7.28808,0.40397,4.75828,0.33775,0.2351,1.95695,6.96689,0.04305,0.18212,0.05629,1.99007,0.74834,0.43046,1.16225,0.05298,0.34437,0.75497,0.0,1.86424,47.62252,3.83775,0.49669,2.13245,0.53311,0.58609,10.11258,3.75497,7.25497,2.13907,4.72848,0.66887,0.42053,0.02318,0.0,47.34106,22.30464,0.11258
8,3_8df38b67e344040bc836a791aa89449d1c24b19bclass,3.37636,5.23091,1.85455,3.37636,10.86182,1.22727,0.12909,7.88545,80.29636,0.15095,-0.008,-0.008,6.24909,0.52182,4.11818,0.32364,0.31455,1.49273,5.94364,0.06,0.13455,0.04364,1.63818,0.62545,0.31818,0.98909,0.06545,0.26545,0.64364,0.0,1.87091,45.13636,2.98364,0.53818,1.74727,0.70364,0.55091,8.42545,4.29273,6.65455,2.26,4.51818,0.90909,0.32727,0.02909,0.0,43.58727,29.02182,0.09636
9,5_cb07c92178e774e8d2b9b0430a509a04a28122e7class,3.2,5.98667,2.78667,3.2,14.58,1.27333,0.11333,10.02,123.44,0.18819,0.0,0.0,7.14,0.46,6.28,0.19333,0.21333,0.45333,6.97333,0.10667,0.00667,0.06,1.92,0.61333,0.40667,1.34667,0.05333,0.11333,0.62,0.0,5.71333,59.88,4.60667,0.80667,2.9,0.76,0.9,15.61333,7.14,9.02667,3.03333,5.21333,0.84667,0.56667,0.03333,0.0,46.42,20.52,0.08667
