,commitID,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
0,2_02254c25b4012a1b1c36e829edee45f42affd253class,2.91188,5.18774,2.27586,2.91188,12.96935,1.31034,0.09195,7.90038,140.19157,0.17647,-0.07246,-0.07246,7.59004,0.5977,5.13793,0.341,0.15709,1.95402,7.26437,0.00766,0.01149,0.0613,1.78161,0.7318,0.44061,1.14559,0.06513,0.13027,0.69349,0.0,4.61303,50.08429,3.83908,0.60536,2.05364,0.58621,0.69732,11.0613,4.88506,7.74713,2.48276,4.61686,0.71264,0.42146,0.03448,0.0,47.54789,16.10345,0.04981
1,3_e719e3a0eec115fb729ce3bee6ff6e281f476546class,3.37636,5.23091,1.85455,3.37636,10.84364,1.22727,0.12909,7.87273,80.07091,0.15099,-0.008,-0.008,6.23818,0.52,4.10727,0.32545,0.31455,1.49091,5.93091,0.06,0.13455,0.04364,1.63818,0.62545,0.31818,0.98909,0.06545,0.26545,0.64364,0.0,1.86909,45.06727,2.98182,0.53636,1.74364,0.70364,0.55273,8.41273,4.28909,6.64545,2.25636,4.51273,0.90727,0.32727,0.02909,0.0,43.46,29.02182,0.09636
2,12_edce0e12c6d3dcfbe2b4ee0df5c054a9a2d3fe2eclass,3.13609,5.91716,2.78107,3.13609,13.50296,1.23077,0.10059,9.11243,136.22485,0.16338,-0.01818,-0.01818,6.85799,0.40828,6.02959,0.19527,0.17751,0.45562,6.68047,0.09467,0.00592,0.05325,1.78107,0.57396,0.39053,1.24852,0.04734,0.09467,0.61538,0.0,5.07692,55.94675,4.2426,0.72781,2.59763,0.69231,0.7929,13.62722,6.3432,8.2426,2.73964,4.81657,0.77515,0.6213,0.02959,0.0,42.47929,18.08876,0.07692
3,9_392d3d32e661e3c469790d6534b1a56cc4c6c181class,3.37143,5.73766,2.36623,3.37143,12.26753,1.25974,0.13247,7.8,97.65195,0.18715,-0.00952,-0.00952,7.33506,0.42338,4.81558,0.39481,0.21558,1.90909,6.95844,0.07532,0.17922,0.04935,2.01818,0.6961,0.3974,1.22857,0.06234,0.32987,0.72727,0.0,1.93506,47.70909,3.84156,0.46234,2.15325,0.52727,0.56623,9.75584,3.80779,7.46753,2.1974,4.92208,0.66234,0.38961,0.03377,0.0,47.35065,29.80519,0.14545
4,15_392d3d32e661e3c469790d6534b1a56cc4c6c181class,3.37143,5.73766,2.36623,3.37143,12.26753,1.25974,0.13247,7.8,97.65195,0.18715,-0.00952,-0.00952,7.33506,0.42338,4.81558,0.39481,0.21558,1.90909,6.95844,0.07532,0.17922,0.04935,2.01818,0.6961,0.3974,1.22857,0.06234,0.32987,0.72727,0.0,1.93506,47.70909,3.84156,0.46234,2.15325,0.52727,0.56623,9.75584,3.80779,7.46753,2.1974,4.92208,0.66234,0.38961,0.03377,0.0,47.35065,29.80519,0.14545
5,10_afab59d97c640b0af3949a1c2f8e5fd04c10288dclass,3.11404,5.49708,2.38304,3.11404,12.38596,1.22515,0.10526,7.73684,100.23392,0.17595,-0.01087,-0.01087,7.34211,0.4269,4.79532,0.37427,0.2193,1.95322,6.98538,0.06725,0.16374,0.04971,1.99415,0.70468,0.40643,1.17836,0.04678,0.36257,0.73392,0.0,2.01462,47.59064,3.92398,0.48246,2.22807,0.54386,0.59357,9.81579,4.02339,7.34211,2.19591,4.77193,0.65497,0.40643,0.02047,0.0,47.25731,27.23977,0.15497
6,7_76b0404d381c4f00013d6e442eb6897094de960bclass,3.49391,5.44696,1.95304,3.49391,11.31478,1.22783,0.1287,8.17565,87.80348,0.15092,-0.00763,-0.00763,6.4713,0.52,4.23304,0.32,0.32522,1.59304,6.1687,0.05739,0.13043,0.04174,1.76,0.69217,0.35478,1.0487,0.06957,0.28696,0.7687,0.0,1.88348,46.52522,3.11826,0.54435,1.87652,0.70783,0.5687,10.61565,4.54087,7.01739,2.47652,4.72,0.91304,0.31826,0.02783,0.0,44.37391,27.92174,0.10957
7,14_10dc871af73260a772fd049f5f0b0326f82657c1class,3.37949,6.42564,3.04615,3.37949,13.91282,1.37949,0.11282,10.18974,122.41026,0.20791,-0.02381,-0.02381,6.86667,0.72821,5.67692,0.34872,0.25641,0.58462,6.53846,0.01026,0.01026,0.08205,2.09744,0.67179,0.34359,1.43077,0.1641,0.15897,0.63077,0.0,6.36923,58.98974,4.58462,0.81538,2.77436,0.81026,0.84615,13.82564,6.34872,9.37436,2.77436,5.74359,0.90256,0.51795,0.04615,0.0,45.74359,15.90256,0.06667
8,13_662e542d13f4b982aef11164719c1a5de79d0855class,2.96013,5.25914,2.299,2.96013,12.24252,1.21595,0.09302,7.5814,97.45515,0.17795,-0.01875,-0.01875,7.25581,0.40199,4.73422,0.32226,0.23588,1.96346,6.95017,0.04319,0.07641,0.04651,1.98339,0.75083,0.43189,1.16279,0.05316,0.33555,0.75748,0.0,1.86379,47.15282,3.74419,0.49502,2.12957,0.51827,0.58804,10.09967,3.74419,7.18605,2.14286,4.68771,0.65781,0.42193,0.02326,0.0,46.74086,21.95017,0.11296
9,8_d2e42aa0b5760810fe774fa80b81699e46bec527class,3.3626,5.25,1.8874,3.3626,10.98664,1.2271,0.12786,7.99809,84.07061,0.15549,-0.00844,-0.00844,6.2042,0.54198,4.14313,0.33588,0.20611,1.51908,5.8874,0.06107,0.14122,0.03817,1.70802,0.64885,0.33397,1.04389,0.06489,0.26527,0.66985,0.0,2.0,45.19847,3.10496,0.54771,1.81679,0.69275,0.5687,8.72137,4.35496,6.94084,2.30725,4.7042,0.91794,0.31298,0.03053,0.0,44.03817,26.54389,0.10115
