,commitID,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
0,7_f6c0d63938a73351a1a1137d58c854d86c373db6class,7.31767,9.55474,2.83707,7.31767,6.44483,2.40388,0.75517,8.38879,11.59569,0.82633,-0.22757,-0.22757,4.88664,0.91034,3.36422,0.31034,0.26724,0.34483,3.97629,0.00647,0,0,1.65517,0.19828,0.01293,1.5819,0.02802,0.03233,0.75647,0,3.47198,32.97931,2.53966,0.97284,0.97716,0.62155,1.00733,5.11509,21.81767,7.95345,2.04397,7.26595,1.13017,0.61078,0.62802,0.70991,36.69914,23.70129,0.64095
1,1_e97278ea3d88af0404c6e7bf9325cd319c9daadfclass,6.40726,8.32067,2.51341,6.40726,5.51341,2.27877,0.70056,6.85419,3.41564,0.72945,-0.22147,-0.22147,4.00782,0.77039,2.65084,0.21788,0.34358,0.19553,3.18994,0.00559,0.00279,0,1.63966,0.08659,0.03631,1.55028,0.02793,0.02514,0.64525,0,1.79888,29.8514,2.20056,0.97709,1.0581,0.62235,1.18101,10.27039,23.52458,7.03296,2.85419,6.41006,1.12793,0.60838,0.61955,0.6,32.81229,18.78994,0.61955
2,4_4bd42ae47d2b60573f8a732b64334277e0a96e66class,6.51667,9.56078,3.64412,6.51667,5.96275,2.27157,0.72745,7.32059,4.11471,0.74297,-0.2,-0.2,4.27647,0.87941,3.11765,0.21078,0.28922,0.05882,3.46569,0.0098,0.0049,0,1.59804,0.09804,0.05882,1.47059,0.01471,0.05392,0.43627,0,2.55882,29.0951,2.32059,0.94314,1.23235,0.62941,1.45784,2.1,18.96275,7.11961,3.69314,6.43333,1.16373,0.6098,0.6049,0.6,30.45784,21.73725,0.62941
3,6_2db7b1819933a3d602d4da969d161c84629e53a2class,6.44211,9.289,3.44689,6.44211,5.65263,2.26986,0.74354,7.3799,4.99234,0.76156,-0.2,-0.2,4.33206,0.84402,3.2488,0.16268,0.26316,0.05742,3.56938,0.00957,0,0,1.72249,0.08134,0.04306,1.62201,0.00478,0.05263,0.45455,0,2.63158,29.71483,2.18373,0.97799,0.93971,0.63349,1.35598,1.95407,19.8823,7.80574,3.58565,7.09282,1.14067,0.60957,0.6,0.6,31.44689,21.17895,0.61435
4,5_50b3e76a78c9a7b8375b3c4f70794bfdcfb467c9class,5.92663,8.38392,3.05729,5.92663,5.50452,1.7608,0.73568,6.64523,3.21307,0.76279,-0.20559,-0.20559,4.27337,0.77085,3.49246,0.11055,0.01005,0.0603,3.56281,0.01005,0,0,1.62312,0.02513,0.01508,1.55276,0,0.05528,0.39698,0,0.64824,29.06734,2.22312,0.96181,0.95176,0.62513,1.82111,1.5397,22.33367,7.89648,5.11256,7.18794,1.14774,0.61005,0.6,0.6,29.7809,17.01709,0.6
5,3_c8e5c029e76206d5e341f187aecc8c8eb2c78e4bclass,6.30868,8.30868,2.6,6.30868,5.75966,2.28347,0.70364,6.96975,3.93053,0.74293,-0.23343,-0.23343,4.14062,0.80728,2.7535,0.2409,0.33053,0.21569,3.29972,0.0056,0.0028,0,1.72269,0.11765,0.03641,1.62465,0.03361,0.02801,0.67227,0,1.77591,30.74286,2.3423,0.99216,1.0958,0.62241,0.99776,6.03697,22.36471,7.13782,2.11821,6.47395,1.14902,0.6084,0.63081,0.62241,33.06218,21.70644,0.61681
6,9_744de0d2ebd52b3f80b6d70511cf8cecc70499e1class,7.46105,9.81684,2.95579,7.46105,6.62316,2.39158,0.75789,8.44421,12.02105,0.83502,-0.22184,-0.22184,5.04211,0.94526,3.51789,0.31579,0.26316,0.34526,4.12632,0.00632,0,0,1.67368,0.21474,0.01684,1.60421,0.02737,0.02526,0.86105,0,4.34316,33.93053,2.61474,0.97895,0.97053,0.62316,0.97895,5.10526,22.72211,8.21684,2.08632,7.53895,1.14105,0.61053,0.62526,0.72211,37.23158,21.08421,0.64632
7,8_2eb395ea0ce86707d7d5453a5ccf477282e12cb8class,6.54006,9.04479,3.10473,6.54006,5.25615,2.30347,0.69464,6.57476,3.26562,0.72601,-0.2,-0.2,3.90915,0.79558,2.653,0.17666,0.35647,0.12303,3.13249,0.00631,0.01893,0,1.68139,0.1041,0.04101,1.58044,0.03155,0.02839,0.64353,0,3.68454,28.58738,2.0511,0.89653,1.02587,0.62208,1.17413,2.18675,23.37918,6.63155,2.81767,6.0858,1.10158,0.60946,0.60315,0.6,31.18991,21.01325,0.62208
8,2_3f36e5cb50ab525d1a836fabd3e4388925e001d2class,6.54006,9.04479,3.10473,6.54006,5.22776,2.30347,0.69464,6.57792,3.1142,0.72594,-0.2,-0.2,3.88707,0.79558,2.63091,0.17666,0.35647,0.12303,3.11041,0.00631,0.01893,0,1.67823,0.1041,0.04101,1.57729,0.03155,0.02839,0.64353,0,3.68454,28.46435,2.04164,0.89653,1.02271,0.62208,1.17413,2.16782,23.23091,6.65994,2.82082,6.12366,1.10158,0.60946,0.60315,0.6,31.12681,21.01325,0.62208
,7_f72b289b8d54c86ee2912da4d5fbab8cde3ac9declass,3.26667,4.52381,1.25714,3.26667,9.52381,1.8381,0.28571,10.90476,9.52381,0.25906,-0.1,-0.1,3.55238,0.20952,2.20952,0.8,0.41905,0.12381,2.77143,0.00952,0.00952,0,2.95238,0.6381,0.09524,2.27619,0.53333,0.04762,0.68571,0,1.0381,53.48571,2.1619,0.79048,1.33333,0.8,0.22857,8.34286,0.62857,8.00952,2.59048,7.90476,1.11429,0.21905,0.13333,0,59.17143,50.12381,1.57143
,5_ca8be15661089aaf82dc3d5d52d24211f5eb71c2class,3.37374,4.68687,1.31313,3.37374,9.80808,1.88889,0.30303,11.38384,9.82828,0.27407,-0.1,-0.1,3.67677,0.20202,2.26263,0.84848,0.45455,0.11111,2.84848,0.0101,0.0101,0,3.10101,0.67677,0.09091,2.39394,0.56566,0.05051,0.72727,0,1.0404,55.09091,2.21212,0.80808,1.35354,0.84848,0.22222,8.65657,0.64646,8.31313,2.69697,8.22222,1.10101,0.20202,0.12121,0,61.54545,53,1.65657
,6_4018fe1114684ae6d2d0d9b289cfb184b58fe585class,3.40816,4.73469,1.32653,3.40816,9.76531,1.89796,0.30612,11.38776,9.85714,0.27045,-0.10204,-0.10204,3.65306,0.20408,2.22449,0.85714,0.45918,0.11224,2.81633,0.0102,0.0102,0,3.10204,0.68367,0.09184,2.38776,0.57143,0.05102,0.73469,0,1.07143,55.2551,2.21429,0.79592,1.34694,0.85714,0.22449,8.73469,0.64286,8.34694,2.72449,8.26531,1.11224,0.20408,0.12245,0,61.58163,53.53061,1.67347
,4_06cbfd5164e31c015d5fa3d0c4b3168c4e98340cclass,2.59375,3.84375,1.25,2.59375,9.10938,2.09375,0.39062,9.4375,10.26562,0.22837,-0.15625,-0.15625,3.57812,0.0625,1.95312,0.82812,0.65625,0.14062,2.79688,0,0,0,2.20312,0.45312,0.03125,1.51562,0.53125,0.125,0.48438,0,0.60938,48.01562,1.98438,0.78125,1.21875,0.90625,0.0625,8.59375,0.375,6.34375,2.5625,6.59375,1.03125,0.20312,0.125,0,54.48438,81.09375,1.57812
,3_e5fb036b94dd648ec35de728aea34bee8667a220class,3.1875,4.44792,1.26042,3.1875,9.61458,1.91667,0.3125,10.89583,9.94792,0.269,-0.10638,-0.10638,3.61458,0.15625,2.20833,0.84375,0.45833,0.10417,2.79167,0.01042,0.01042,0,3,0.69792,0.09375,2.28125,0.57292,0.05208,0.75,0,0.95833,54.29167,2.15625,0.77083,1.34375,0.82292,0.19792,8.48958,0.64583,8.22917,2.71875,8.07292,1.05208,0.20833,0.125,0,60.42708,54.625,1.69792
