,commitID,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
0,7_00c3d1d269291a3000618cf7c467e4098f5e1497class,6.71767,8.95474,2.23707,6.71767,5.83405,1.80388,0.15517,7.78879,10.99569,0.22651,-0.02757,-0.02757,4.27586,0.31034,3.35345,0.31034,0.26724,0.34483,3.96552,0.00647,0,0,1.65517,0.19828,0.01293,1.5819,0.02802,0.03233,0.75647,0,3.47414,32.36638,1.93966,0.37284,0.37716,0.02155,0.40733,4.51078,21.21552,7.37284,1.44397,6.66595,0.53017,0.01078,0.02802,0.10991,36.09698,23.10129,0.04095
1,6_50b3e76a78c9a7b8375b3c4f70794bfdcfb467c9class,5.32663,7.78392,2.45729,5.32663,4.90452,1.1608,0.13568,6.04523,2.61307,0.16279,-0.00559,-0.00559,3.67337,0.17085,3.49246,0.11055,0.01005,0.0603,3.56281,0.01005,0,0,1.62312,0.02513,0.01508,1.55276,0,0.05528,0.39698,0,0.64824,28.46734,1.62312,0.36181,0.35176,0.02513,1.22111,0.9397,21.73367,7.29648,4.51256,6.58794,0.54774,0.01005,0,0,29.1809,16.41709,0
2,3_8fa61d49ed0a25f67268274edb31315e8803a4d1class,5.70588,7.70588,2,5.70588,5.16246,1.68347,0.10364,6.36415,3.34734,0.14293,-0.03343,-0.03343,3.54342,0.21008,2.7563,0.2409,0.33053,0.21569,3.30252,0.0056,0.0028,0,1.72269,0.11765,0.03641,1.62465,0.03361,0.02801,0.67227,0,1.77871,30.14846,1.7423,0.38655,0.5014,0.02241,0.39776,5.43697,21.76471,6.52661,1.51821,5.86555,0.54902,0.0084,0.03081,0.02241,32.46218,21.10644,0.01681
3,8_3f36e5cb50ab525d1a836fabd3e4388925e001d2class,5.94006,8.44479,2.50473,5.94006,4.62776,1.70347,0.09464,5.97792,2.5142,0.12594,0,0,3.28707,0.19558,2.63091,0.17666,0.35647,0.12303,3.11041,0.00631,0.01893,0,1.67823,0.1041,0.04101,1.57729,0.03155,0.02839,0.64353,0,3.68454,27.86435,1.44164,0.29653,0.42271,0.02208,0.57413,1.56782,22.63091,6.05994,2.22082,5.52366,0.50158,0.00946,0.00315,0,30.52681,20.41325,0.02208
4,4_5ba4b9a68968ef77db5b1ceac24cbb1f2e18de1cclass,5.91176,8.95588,3.04412,5.91176,5.35294,1.67157,0.12745,6.60784,3.46078,0.14256,0,0,3.66667,0.27941,3.11765,0.21078,0.27941,0.05882,3.45588,0.0098,0.0049,0,1.59314,0.09804,0.05882,1.47059,0.0098,0.05392,0.43137,0,2.55882,28.28431,1.7402,0.34314,0.63235,0.02941,0.85784,1.4902,18.36275,6.41667,3.09314,5.75,0.56373,0.0098,0.0049,0,29.57353,21.13725,0.01961
5,2_1e765120efa4d654436499475acd84c5c6c58c37class,5.94322,8.4511,2.50789,5.94322,4.73817,1.70347,0.09464,6.02839,3.25868,0.12621,0,0,3.347,0.18612,2.68454,0.18297,0.35647,0.12303,3.16404,0.00631,0.01893,0,1.68454,0.1041,0.04101,1.5836,0.03155,0.02839,0.64353,0,3.75079,28.46372,1.46372,0.30915,0.43218,0.02208,0.57413,1.58675,23.30599,6.19243,2.23344,5.64353,0.49842,0.00946,0.00315,0,30.56782,20.41325,0.02208
6,5_c0d13ffd87d619480eef4be6d08c46b3e5a17498class,5.31658,7.76382,2.44724,5.31658,4.87437,1.1608,0.13568,6.02513,2.60804,0.16312,-0.00559,-0.00559,3.65327,0.17085,3.47739,0.10553,0.01005,0.0603,3.54774,0.01005,0,0,1.60804,0.02513,0.01508,1.53769,0,0.05528,0.39698,0,0.64824,28.23618,1.61809,0.36181,0.34673,0.02513,1.21106,0.9397,21.54774,7.20603,4.48241,6.51256,0.53769,0.01005,0,0,29.08543,16.41709,0
7,9_87e6001b6f4624e40513751a5f79c49b086df32cclass,6.7914,9.07312,2.28172,6.7914,5.86452,1.7957,0.15484,7.83656,10.44946,0.22856,-0.02736,-0.02736,4.32043,0.31183,3.39355,0.31613,0.26667,0.34409,4.0043,0.00645,0,0,1.66022,0.20215,0.0129,1.5914,0.02796,0.02796,0.82796,0,3.56774,32.73118,1.94624,0.37204,0.36129,0.02366,0.3957,4.53548,21.59355,7.42581,1.47742,6.74839,0.53333,0.01075,0.02796,0.11183,35.86237,23.05376,0.04301
8,1_5941b260bf83bb2a666a296c8988e5af60245016class,5.80726,7.72067,1.91341,5.80726,4.92179,1.67877,0.10056,6.26536,2.82402,0.12945,-0.02147,-0.02147,3.41061,0.17318,2.65084,0.22067,0.34358,0.19553,3.18994,0.00559,0.00279,0,1.63966,0.08659,0.03631,1.55028,0.02793,0.02514,0.64525,0,1.80168,29.2514,1.60056,0.38268,0.46089,0.02235,0.58101,9.67039,22.92737,6.42737,2.25698,5.80447,0.53073,0.00838,0.01955,0,32.22067,18.18994,0.01955
0,3_e23279486818cd7c6187e2b7ea4a74883bd018eclass,3.1875,4.44792,1.26042,3.1875,9.59375,1.91667,0.3125,10.88542,9.94792,0.269,-0.10638,-0.10638,3.61458,0.15625,2.20833,0.84375,0.45833,0.10417,2.79167,0.01042,0.01042,0,3,0.69792,0.09375,2.28125,0.57292,0.05208,0.75,0,0.96875,54.26042,2.16667,0.77083,1.34375,0.82292,0.19792,8.5,0.64583,8.21875,2.71875,8.07292,1.05208,0.20833,0.125,0,60.41667,54.625,1.69792
1,10_d0e0424d8228786e6bed7764fbcc6290914a038class,3.1875,4.44792,1.26042,3.1875,9.66667,1.91667,0.3125,10.92708,9.97917,0.26988,-0.10638,-0.10638,3.625,0.15625,2.20833,0.85417,0.45833,0.10417,2.79167,0.01042,0.01042,0,3.02083,0.69792,0.09375,2.30208,0.57292,0.05208,0.75,0,0.96875,54.40625,2.1875,0.77083,1.35417,0.82292,0.20833,8.57292,0.65625,8.22917,2.71875,8.10417,1.05208,0.20833,0.125,0,60.66667,54.625,1.69792
2,6_535450f33d37855df7e43e146ae978083354877dclass,3.31633,4.63265,1.31633,3.31633,9.62245,1.89796,0.30612,11.07143,9.77551,0.27011,-0.10204,-0.10204,3.63265,0.19388,2.22449,0.84694,0.44898,0.11224,2.80612,0.0102,0.0102,0,3.04082,0.68367,0.09184,2.32653,0.57143,0.05102,0.73469,0,1.02041,54.46939,2.19388,0.78571,1.34694,0.81633,0.22449,8.58163,0.64286,8.21429,2.67347,8.10204,1.07143,0.20408,0.12245,0,60.85714,53.53061,1.66327
3,2_9feb0bd3fc68b062bbb2c7df1d58c5d7a18f4edclass,2.60938,3.85938,1.25,2.60938,9.5,2.09375,0.39062,9.9375,10.4375,0.22782,-0.15625,-0.15625,3.59375,0.07812,1.9375,0.85938,0.65625,0.14062,2.78125,0,0,0,2.21875,0.45312,0.03125,1.54688,0.51562,0.125,0.48438,0,0.60938,49.42188,2.04688,0.875,1.28125,0.96875,0.09375,8.60938,0.4375,6.59375,2.59375,6.75,1.04688,0.20312,0.125,0,55.57812,81.09375,1.65625
4,8_0cbea4ca7b7eaec706433d68e3ab7d1464662daclass,2.91566,4.10843,1.19277,2.91566,9.62651,2.04819,0.3494,10.55422,10.55422,0.23242,-0.10256,-0.10256,3.60241,0.09639,2.03614,0.89157,0.55422,0.12048,2.74699,0.01205,0.01205,0,2.63855,0.75904,0.08434,1.92771,0.50602,0.12048,0.77108,0,0.68675,52.72289,1.93976,0.78313,1.27711,0.87952,0.19277,8.90361,0.61446,7.53012,2.77108,7.56627,1.07229,0.22892,0.12048,0,58.07229,75.16867,1.56627
5,9_ca8be15661089aaf82dc3d5d52d24211f5eb71c2class,3.37374,4.68687,1.31313,3.37374,9.80808,1.88889,0.30303,11.38384,9.82828,0.27407,-0.1,-0.1,3.67677,0.20202,2.26263,0.84848,0.45455,0.11111,2.84848,0.0101,0.0101,0,3.10101,0.67677,0.09091,2.39394,0.56566,0.05051,0.72727,0,1.0404,55.09091,2.21212,0.80808,1.35354,0.84848,0.22222,8.65657,0.64646,8.31313,2.69697,8.22222,1.10101,0.20202,0.12121,0,61.54545,53,1.65657
6,4_5f38ff66984d13b5c6312ae3bab66a76a846713class,2.59375,3.84375,1.25,2.59375,9.07812,2.09375,0.39062,9.40625,10.26562,0.22837,-0.15625,-0.15625,3.57812,0.0625,1.95312,0.82812,0.65625,0.14062,2.79688,0,0,0,2.20312,0.45312,0.03125,1.51562,0.53125,0.125,0.48438,0,0.60938,47.89062,1.98438,0.75,1.21875,0.90625,0.0625,8.59375,0.375,6.29688,2.5625,6.54688,1.03125,0.20312,0.125,0,54.15625,81.09375,1.57812
7,5_f686823dd58be1177058173388faf6cb0671b3aclass,3.37374,4.68687,1.31313,3.37374,9.72727,1.88889,0.30303,11.29293,9.84848,0.27449,-0.1,-0.1,3.67677,0.20202,2.26263,0.84848,0.45455,0.11111,2.84848,0.0101,0.0101,0,3.09091,0.67677,0.09091,2.38384,0.56566,0.05051,0.72727,0,1.0404,54.94949,2.21212,0.78788,1.33333,0.84848,0.22222,8.63636,0.63636,8.31313,2.68687,8.21212,1.10101,0.20202,0.12121,0,61.36364,53,1.65657
8,1_e8377be63621f0e383dd28e6d13921383a7b998class,2.85,4.075,1.225,2.85,6.925,2.1,0.325,7.675,6.375,0.23761,-0.17391,-0.17391,3.45,0.075,2.3,0.35,0.625,0.175,3.125,0,0,0,1.55,0.1,0,1.125,0.4,0.025,0.35,0,0.5,38.125,1.575,0.325,0.925,0.575,0.025,7.15,0.375,4.05,1.9,4.65,1,0.075,0.15,0,47.6,77.8,0.775
9,11_9547c22ee1133d6fb6441169fc965c72700aea2class,3.22989,4.45977,1.22989,3.22989,9.41379,2.06897,0.34483,10.89655,9.94253,0.23335,-0.12195,-0.12195,3.50575,0.12644,2.03448,0.85057,0.50575,0.11494,2.67816,0.01149,0.01149,0,2.56322,0.71264,0.10345,1.93103,0.47126,0.05747,0.77011,0,0.75862,53.48276,1.97701,0.75862,1.26437,0.86207,0.2069,8.62069,0.5977,7.75862,2.62069,7.70115,1.06897,0.21839,0.13793,0,60.17241,71.96552,1.48276
10,7_6f3a57f527d1245708946e94ad1f2eed4a166cb1class,3.29126,4.57282,1.28155,3.29126,9.43689,1.85437,0.29126,10.91262,9.39806,0.26168,-0.1,-0.1,3.5534,0.19417,2.21359,0.79612,0.43689,0.1068,2.7767,0.00971,0.00971,0,2.98058,0.65049,0.08738,2.30097,0.54369,0.04854,0.69903,0,1.00971,53.15534,2.15534,0.7767,1.32039,0.79612,0.21359,8.3301,0.65049,7.99029,2.61165,7.90291,1.09709,0.21359,0.12621,0,59.47573,51.01942,1.59223
0,13_b41d1fd75e8d4cf1e4598f398dfc06e7bb86afcclass,2.69149,4.94681,2.25532,2.69149,7.08511,1.18085,0.05319,5.70213,20.24468,0.13813,0,0,5.03191,0.1383,4.64894,0.12766,0.15957,0.09574,4.92553,0.01064,1.1383,1.18085,1.21277,0.48936,0.34043,0.65957,0.02128,0.19149,0.53191,0,2.48936,31.65957,1.92553,0.25532,0.45745,0.46809,0.1383,4.58511,3.84043,3.59574,1.29787,2.40426,0.47872,0.70213,0.03191,0,25.57447,10.52128,0.1383
1,6_02254c25b4012a1b1c36e829edee45f42affd25class,2.91188,5.18774,2.27586,2.91188,12.96935,1.31034,0.09195,7.90038,140.19157,0.17647,-0.07246,-0.07246,7.59004,0.5977,5.13793,0.341,0.15709,1.95402,7.26437,0.00766,0.01149,0.0613,1.78161,0.7318,0.44061,1.14559,0.06513,0.13027,0.69349,0,4.61303,50.08429,3.83908,0.60536,2.05364,0.58621,0.69732,11.0613,4.88506,7.74713,2.48276,4.61686,0.71264,0.42146,0.03448,0,47.54789,16.10345,0.04981
2,44_7ac12020974f6e8f6275737aa5dcc38ea45aaa8class,3.7037,5.73545,2.02822,3.70723,12.07407,1.19753,0.10758,8.35802,81.63668,0.14263,-0.01136,-0.01136,6.36861,0.51675,4.13051,0.30159,0.35097,1.58554,6.08642,0.03527,0.13404,0.0582,1.78131,0.70723,0.37037,1.04762,0.07055,0.29277,0.78836,0,1.96825,50.3933,3.16049,0.82363,2.05291,0.98942,0.6261,10.75838,4.90653,7.4709,2.52381,5.10582,1.45855,0.29982,0.01411,0,45.90653,24.6067,0.17813
3,33_bbd7b43df00c28593f6689a71aaa0f7b1b8b3b9class,2.70213,4.96809,2.26596,2.70213,7.12766,1.18085,0.05319,5.78723,20.2234,0.13793,0,0,5.04255,0.1383,4.64894,0.12766,0.17021,0.09574,4.93617,0.01064,1.1383,1.18085,1.23404,0.5,0.34043,0.68085,0.02128,0.19149,0.54255,0,2.55319,31.90426,1.94681,0.25532,0.43617,0.47872,0.1383,4.67021,3.8617,3.65957,1.34043,2.45745,0.47872,0.70213,0.03191,0,25.74468,10.52128,0.1383
4,24_8a95cb8ca79948cae4b6d44ac3d63db2eb76d07class,3.06309,5.38486,2.32177,3.06309,12.16088,1.23659,0.11041,7.59621,97.09148,0.17515,-0.00599,-0.00599,7.25237,0.41956,4.7224,0.36593,0.22397,1.94006,6.90536,0.05363,0.1735,0.05363,1.96215,0.72555,0.4164,1.16088,0.05047,0.33438,0.74132,0,2.0694,47.06309,3.81073,0.50158,2.10726,0.5205,0.5836,9.86435,3.68454,7.20189,2.11672,4.71924,0.65615,0.41325,0.02208,0,46.96215,28.21136,0.12618
5,30_04ec34a0eed0c1ecaa5810020df3f2068174a93class,3.42927,6.51707,3.0878,3.42927,13.74634,1.38537,0.10732,10.0878,133.45854,0.21421,-0.02273,-0.02273,6.90732,0.7122,5.70244,0.34634,0.26341,0.59512,6.58049,0.00976,0.01463,0.07805,2.09268,0.6878,0.3561,1.39512,0.18049,0.16098,0.64878,0,6.33171,58.41463,4.60488,0.78049,2.67805,0.77561,0.82927,13.96585,6.04878,9.24878,2.81463,5.67805,0.87805,0.52195,0.0439,0,45.38537,15.19512,0.06341
6,9_3b5b6df89d2191cfc7e7565d2e50ad9e627f733class,2.99625,5.28464,2.28839,2.99625,12.77903,1.29213,0.09738,8.04869,120.7603,0.18253,-0.05479,-0.05479,7.25468,0.44569,4.68539,0.36704,0.27715,1.92509,6.90637,0.00749,0.15356,0.05243,1.95506,0.81648,0.4794,1.27715,0.06742,0.13109,0.79775,0,4.13109,49.25843,4.02996,0.55805,2.30337,0.56929,0.68914,10.94382,4.59551,7.47566,2.37828,4.76404,0.70412,0.40075,0.02622,0,47.95506,16.02622,0.04869
7,14_36e6aaa0f6ad4af6e20f3209016daf8514b613fclass,3.30352,5.71274,2.40921,3.30352,12.27913,1.24119,0.12466,7.74526,99.36585,0.17659,-0.00995,-0.00995,7.31978,0.43631,4.84282,0.38211,0.21138,1.88347,6.95664,0.07046,0.17615,0.04878,1.98103,0.68564,0.39024,1.21409,0.05962,0.31707,0.72087,0,1.99458,47.78591,3.94309,0.46883,2.17886,0.52846,0.57995,9.70732,3.87805,7.35501,2.18699,4.82656,0.66396,0.39295,0.03252,0,46.63957,31.07046,0.14905
8,11_270592e4c48bafacc5f7bfd51063191d175d2b0class,3.35455,5.2,1.84545,3.35455,10.78,1.22727,0.12727,7.80727,80.46909,0.14966,-0.00816,-0.00816,6.18727,0.52,4.07091,0.32182,0.30545,1.48909,5.88364,0.06,0.13455,0.04,1.64545,0.62545,0.31818,1,0.06364,0.26364,0.64364,0,1.87455,44.79091,2.98182,0.53455,1.74182,0.69455,0.55091,8.39636,4.26,6.68727,2.23455,4.52,0.90727,0.32727,0.03091,0,43.18364,29.02,0.09818
9,23_05317f6427f4eaa2c560734dddfffec1d267470class,3.66667,5.67025,2.00179,3.66846,11.9552,1.19713,0.10573,8.21326,80.84229,0.13847,-0.01172,-0.01172,6.33513,0.52151,4.08961,0.28853,0.35305,1.60394,6.06452,0.03226,0.13441,0.04301,1.76882,0.70789,0.37455,1.02688,0.07168,0.2957,0.77957,0,1.97312,49.90502,3.13441,0.82258,2.07348,0.98387,0.62724,10.72581,4.66129,7.35842,2.54122,5.01075,1.45341,0.30466,0.01434,0,45.55376,24.98746,0.1595
10,21_05317f6427f4eaa2c560734dddfffec1d267470class,3.66667,5.67025,2.00179,3.66846,11.9552,1.19713,0.10573,8.21326,80.84229,0.13847,-0.01172,-0.01172,6.33513,0.52151,4.08961,0.28853,0.35305,1.60394,6.06452,0.03226,0.13441,0.04301,1.76882,0.70789,0.37455,1.02688,0.07168,0.2957,0.77957,0,1.97312,49.90502,3.13441,0.82258,2.07348,0.98387,0.62724,10.72581,4.66129,7.35842,2.54122,5.01075,1.45341,0.30466,0.01434,0,45.55376,24.98746,0.1595
