,commitID,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
0,9_7c87fcd0623843e8d1ffe7d21f812306736d79b3class,6.50236,8.9266,3.02424,6.50236,5.30707,2.34747,0.69764,6.59663,3.49899,0.72711,-0.2,-0.2,3.9165,0.79529,2.73401,0.18855,0.35354,0.0404,3.12795,0.00673,0.0202,0,1.63973,0.08418,0.04377,1.53872,0.02357,0.03367,0.58586,0,3.25589,28.82559,2.10505,0.88956,0.47138,0.0202,0.59933,1.6431,22.46465,6.14141,2.33333,5.57576,1.10168,0.6101,0.60337,0.6,30.48552,22.32054,0.0202
1,5_e0ca6bdd364260f5ddae4b4b13006fc2e51adb30class,7.38419,9.66624,2.88205,7.38419,6.46325,2.39274,0.75598,8.38419,10.9547,0.82783,-0.22723,-0.22723,4.90556,0.90769,3.38462,0.3141,0.26496,0.34188,3.99145,0.00641,0,0,1.66026,0.19658,0.01282,1.58974,0.02778,0.02991,0.82479,0,3.55342,33.23462,2.55513,0.97393,0.37607,0.02137,0.40171,4.50641,21.46581,7.40598,1.46368,6.71795,1.13632,0.61068,0.62778,0.70897,36.48248,23.51239,0.04274
2,8_4a9b2a6cfda628c4e1f32c354f908ef151299188class,5.54872,8.03077,3.08205,5.54872,5.62564,1.81026,0.74359,6.06154,3.17436,0.76055,-0.20571,-0.20571,4.45641,0.6,3.54359,0.05128,0.06154,0.2,3.80513,0.01026,0,0,1.69231,0.02051,0.01026,1.62564,0,0.05641,0.37436,0,0.39487,29.38974,2.32821,0.88718,0.37436,0,1.27692,0.47179,25.66667,7.04103,4.4359,6.11282,1.06667,0.61026,0.6,0.6,27.41026,17.33333,0.00513
3,2_f14bc046c194e7850cd5e32f69bf55d298cf720aclass,5.87228,8.24851,2.97624,5.87228,5.73366,1.79802,0.73861,6.66931,4.50594,0.76957,-0.20549,-0.20549,4.42673,0.78812,3.61386,0.10891,0.04455,0.05941,3.71782,0.0099,0,0,1.68317,0.05941,0.0495,1.57921,0,0.05446,0.44059,0,0.64356,29.54554,2.37228,0.95644,0.38614,0.02475,1.23267,0.93564,21.63861,7.33168,4.4604,6.59901,1.14455,0.6099,0.6,0.6,30.35743,16.78812,0
4,4_744de0d2ebd52b3f80b6d70511cf8cecc70499e1class,7.46105,9.81684,2.95579,7.46105,6.62316,2.39158,0.75789,8.44421,12.02105,0.83502,-0.22184,-0.22184,5.04211,0.94526,3.51789,0.31579,0.26316,0.34526,4.12632,0.00632,0,0,1.67368,0.21474,0.01684,1.60421,0.02737,0.02526,0.86105,0,4.34316,33.93053,2.61474,0.97895,0.37053,0.02316,0.37895,4.50526,22.12211,7.61684,1.48632,6.93895,1.14105,0.61053,0.62526,0.72211,37.23158,21.08421,0.04632
5,6_72cd9b9e3a647ac6248219d965bf399b5bdfb3adclass,7.31605,9.61728,2.90123,7.31605,6.52593,2.50864,0.72346,7.94815,12.85432,0.84113,-0.23047,-0.23047,4.84444,0.90864,3.32346,0.26667,0.29877,0.35556,3.97778,0.00494,0,0,1.78025,0.2321,0.01728,1.63457,0.04198,0.08642,0.70864,0,2.58272,33.44444,2.53333,1.00494,0.41481,0.02222,0.48889,5.09877,22.04691,7.21235,1.52593,6.40494,1.14568,0.60741,0.62963,0.64938,36.49136,24.43951,0.05679
6,3_79cf5714c7c555e92ea84d606b685dd05e3c0172class,7.38925,9.67097,2.88172,7.38925,6.45591,2.3957,0.75484,8.40215,11.61075,0.82827,-0.22743,-0.22743,4.90753,0.90968,3.38065,0.31613,0.26667,0.34409,3.9914,0.00645,0,0,1.66022,0.19785,0.0129,1.5914,0.02796,0.02796,0.82796,0,3.55484,33.25591,2.54624,0.97204,0.37204,0.02151,0.40215,4.53118,21.56774,7.40645,1.46452,6.72688,1.13118,0.61075,0.62796,0.70968,36.41935,23.65376,0.04301
7,7_424aa23db514ea19fa9da6c8ec89665d380587a5class,7.296,9.56533,2.86933,7.296,6.33333,2.56267,0.74133,7.47467,10.448,0.83529,-0.23143,-0.23143,4.73067,0.85333,3.216,0.24,0.32,0.35467,3.89067,0.00533,0.00267,0,1.79467,0.14133,0.016,1.70933,0.03733,0.032,0.71733,0,2.2,32.52267,2.48267,0.992,0.45067,0.02133,0.47733,5.13067,22.43733,6.70933,1.57067,6,1.14133,0.608,0.632,0.632,35.92,26.224,0.016
8,10_7905f89c49575a83c8025fe2606e2158276fcfb0class,7.31814,9.53627,2.81814,7.31814,6.35,2.49216,0.72745,8.01422,11.68578,0.836,-0.23039,-0.23039,4.75441,0.90392,3.21814,0.28186,0.29902,0.35539,3.87255,0.0049,0,0,1.73529,0.22304,0.01471,1.65441,0.02941,0.03676,0.79167,0,2.68627,32.89902,2.44314,1.00686,0.39216,0.02451,0.43873,5.03431,21.55392,7.08333,1.51716,6.3701,1.13922,0.60735,0.62941,0.68088,36.31569,24.23235,0.04412
9,1_a78a1a6b9477276d9a4eba0e874ac212d2880b33class,7.36907,9.68051,2.91144,7.36907,6.40297,2.40085,0.75678,8.35212,11.45593,0.82735,-0.22696,-0.22696,4.87754,0.90508,3.36229,0.31144,0.26483,0.33898,3.9661,0.00636,0,0,1.65254,0.19703,0.01271,1.58051,0.02754,0.03178,0.82839,0,3.61441,33.0322,2.52797,0.96653,0.36653,0.02119,0.39619,4.50424,21.37076,7.34958,1.4428,6.68008,1.12331,0.61059,0.62966,0.71017,36.2822,23.34364,0.04237
