,commitID,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
0,4_87e6001b6f4624e40513751a5f79c49b086df32cclass,6.7914,9.07312,2.28172,6.7914,5.86452,1.7957,0.15484,7.83656,10.44946,0.22856,-0.02736,-0.02736,4.32043,0.31183,3.39355,0.31613,0.26667,0.34409,4.0043,0.00645,0,0,1.66022,0.20215,0.0129,1.5914,0.02796,0.02796,0.82796,0,3.56774,32.73118,1.94624,0.37204,0.36129,0.02366,0.3957,4.53548,21.59355,7.42581,1.47742,6.74839,0.53333,0.01075,0.02796,0.11183,35.86237,23.05376,0.04301
1,6_80028d83ea2d7c1e9382ce5dad67871fa54801b6class,5.77507,7.7019,1.92683,5.77507,5.1084,1.69106,0.10298,6.45528,3.10569,0.14274,-0.03254,-0.03254,3.49051,0.21951,2.70461,0.23306,0.32249,0.23035,3.25745,0.00542,0.00271,0,1.74255,0.11382,0.03523,1.64228,0.03252,0.03252,0.65583,0,1.98916,29.94851,1.729,0.38753,0.49593,0.02168,0.4336,5.29268,21.69106,6.56098,1.55285,5.8916,0.53659,0.00813,0.02981,0.02981,32.79675,20.45257,0.01626
2,10_d1155c1a0392ff35a240fa4ea9563ac8900a6435class,6.71814,8.93627,2.21814,6.71814,5.74755,1.89216,0.12745,7.41422,11.03431,0.23594,-0.03039,-0.03039,4.14951,0.30392,3.22794,0.26716,0.29902,0.35539,3.88235,0.0049,0,0,1.73775,0.22304,0.01716,1.60049,0.03431,0.08578,0.67647,0,2.68137,32.27206,1.84804,0.40686,0.39461,0.02451,0.44363,5.03431,21.56373,7.1201,1.51961,6.39706,0.54167,0.00735,0.02941,0.08824,35.70343,23.63235,0.04412
3,2_1b2710c5ef3efdecb5dfb5285966489b4c012412class,5.27228,7.64851,2.37624,5.27228,5.09406,1.19802,0.13861,6.05941,3.90099,0.16957,-0.00549,-0.00549,3.81683,0.18812,3.60396,0.10891,0.04455,0.05941,3.70792,0.0099,0,0,1.68317,0.05941,0.04455,1.58416,0,0.05446,0.44059,0,0.64356,28.85644,1.74752,0.35644,0.35644,0.02475,1.21782,0.93564,21.61881,7.31683,4.4505,6.58911,0.5396,0.0099,0,0,29.72277,16.18812,0
4,1_e9997ee973b2173de97c2eeb71098f249cebf04dclass,6.76907,9.08051,2.31144,6.76907,5.80085,1.80085,0.15678,7.75847,10.85381,0.22665,-0.02696,-0.02696,4.27542,0.30508,3.36017,0.31144,0.26483,0.33898,3.96398,0.00636,0,0,1.65254,0.19703,0.01271,1.57839,0.02754,0.0339,0.81356,0,3.61653,32.42585,1.92797,0.36653,0.36653,0.02119,0.39619,4.50424,21.37076,7.34958,1.4428,6.68008,0.52331,0.01059,0.02966,0.11017,35.6822,22.74364,0.04237
5,9_34956d55ef0fabf527e07e1b3f06696e1b89b689class,5.87162,8.28041,2.40878,5.87162,4.69932,1.72635,0.09797,6.02027,2.89527,0.12876,0,0,3.3277,0.19595,2.74324,0.18919,0.35473,0.04054,3.13851,0.00676,0.02027,0,1.64527,0.08108,0.04392,1.5473,0.02027,0.03378,0.58784,0,3.38514,28.46284,1.52365,0.28041,0.46959,0.02027,0.60135,1.66892,23.21959,6.11824,2.36486,5.54392,0.48311,0.01014,0.00338,0,29.64865,18.33108,0.02027
6,3_36e630e122540329aaa6cc8f29c68cd6b08f53b6class,6.7914,9.10538,2.31398,6.7914,5.84516,1.7957,0.15484,7.80215,11.01075,0.22827,-0.02743,-0.02743,4.30753,0.30968,3.38065,0.31613,0.26667,0.34409,3.9914,0.00645,0,0,1.66022,0.19785,0.0129,1.5871,0.02796,0.03226,0.82366,0,3.56344,32.63441,1.94194,0.37204,0.36129,0.02151,0.39355,4.53118,21.56774,7.40645,1.46452,6.72688,0.53118,0.01075,0.02796,0.10968,35.88602,23.05376,0.04301
7,8_01851d55c91f3f6df3ee40d2477221e9ae0ee4afclass,4.94872,7.43077,2.48205,4.94872,5.02564,1.21026,0.14359,5.46154,2.57436,0.16055,-0.00571,-0.00571,3.85641,0,3.54359,0.05128,0.06154,0.2,3.80513,0.01026,0,0,1.69231,0.02051,0.01026,1.60513,0,0.07692,0.37436,0,0.39487,28.78974,1.72821,0.28718,0.37436,0,1.27692,0.47179,25.66667,7.04103,4.4359,6.11282,0.46667,0.01026,0,0,27.07692,16.73333,0.00513
8,5_b6c81cead28f2ea9bf8b5f001a33ae2e41b6dc51class,6.77331,9.05297,2.27966,6.77331,5.85169,1.79873,0.15466,7.79873,10.67585,0.22811,-0.02689,-0.02689,4.32415,0.30508,3.40254,0.31144,0.26695,0.34322,4.01271,0.00636,0,0,1.6589,0.19703,0.01271,1.59534,0.02754,0.02331,0.84534,0,3.62924,32.76907,1.95127,0.36653,0.35593,0.02331,0.38771,4.50847,21.66314,7.43644,1.46398,6.76907,0.53178,0.01059,0.02966,0.11229,35.74576,20.57415,0.04237
9,7_f3786e65a9332124254b5359719effa42b841aa8class,5.77507,7.7019,1.92683,5.77507,5.11653,1.69106,0.10298,6.46341,3.11111,0.1432,-0.03254,-0.03254,3.49322,0.22222,2.70732,0.23306,0.32249,0.23035,3.26016,0.00542,0.00271,0,1.74255,0.11382,0.03523,1.64228,0.03252,0.03252,0.65583,0,1.99458,29.98645,1.73442,0.38753,0.49864,0.02439,0.4336,5.29268,21.69106,6.56369,1.55556,5.89431,0.53659,0.00813,0.02981,0.02981,32.80488,20.45257,0.01626
