,commitID,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
0,2_c22a7056781f68b8f346fbd8983dfd7e857b88d0class,6.61875,9.13438,1.91562,6.61875,5.29062,2.29375,0.69375,6.61875,3.36562,0.72805,-0.2,-0.2,3.93438,0.79375,2.64062,0.175,0.35312,0.16562,3.15938,0.00625,0.01875,0,1.68438,0.10625,0.04062,1.58438,0.03125,0.02812,0.64375,0,3.72812,28.58125,1.45,-0.30625,-0.16875,-0.57812,-0.03125,0.975,22.00938,5.44062,1.6,4.89375,-0.09062,-0.59062,-0.59688,-0.6,30.19375,19.63125,0.02188
1,4_746975ea3fe4d04ac4ebbd3d6442996b4adb0b80class,7.54186,9.85775,1.71589,7.54186,6.67752,2.38101,0.7938,8.73566,12.77054,0.81556,-0.21974,-0.21974,5.12519,0.94884,3.64535,0.29845,0.25194,0.32946,4.22674,0.00581,0,0,1.59884,0.15116,0.01938,1.52713,0.02519,0.02713,0.81202,0,3.25969,34.0845,2.07946,-0.24341,-0.23372,-0.57093,-0.23372,3.61124,21.87287,7.07442,0.79341,6.43488,-0.07093,-0.59031,-0.57674,-0.45659,36.07829,16.35155,0.04845
2,10_456408f801f1d91a3c1364c0df3b2f464a9bb654class,6.39147,9.23033,2.23886,6.39147,5.84645,2.27299,0.74218,7.70427,3.70427,0.7642,-0.2,-0.2,4.34882,0.86066,3.22275,0.19905,0.27014,0.05687,3.54976,0.00948,0,0,1.74408,0.08531,0.04739,1.63507,0.00948,0.05213,0.46445,0,2.67773,30.32038,1.7109,-0.23507,-0.09289,-0.57156,0.26256,0.85024,18.69858,6.64645,2.34787,5.91659,-0.06919,-0.59052,-0.59526,-0.6,29.6891,19.86919,0.0237
3,8_0914da57a96d6270ebc8d1a954e88eb454d02d10class,6.68213,9.78841,2.50628,6.68213,5.57101,2.27633,0.74493,7.60483,4.60966,0.75533,-0.2,-0.2,4.31498,0.82705,3.24638,0.1401,0.27053,0.05797,3.57488,0.00966,0.00483,0,1.71981,0.07729,0.04348,1.61836,0.00483,0.05314,0.45894,0,2.67633,29.39227,1.56039,-0.23285,-0.2715,-0.57101,0.16812,0.71401,18.72367,6.58841,2.34203,5.87826,-0.0686,-0.59034,-0.6,-0.6,30.35169,20.16812,0.01449
4,9_f36f44746f8c63f8d573d9d234de5c30221939cdclass,6.51667,9.55588,2.43922,6.51667,6.04118,2.27157,0.72745,7.38431,4.31078,0.74325,-0.2,-0.2,4.32549,0.87941,3.14216,0.23529,0.28922,0.05882,3.4902,0.0098,0.02451,0,1.59314,0.09804,0.05882,1.46569,0.01471,0.05392,0.44118,0,2.56373,29.33039,1.7549,-0.25686,0.04216,-0.57059,0.24804,0.93922,17.75784,5.95392,2.49804,5.26275,-0.03627,-0.5902,-0.5951,-0.6,30.36569,20.53725,0.02941
5,6_744de0d2ebd52b3f80b6d70511cf8cecc70499e1class,7.46105,9.81684,1.75579,7.46105,6.62316,2.39158,0.75789,8.44421,12.02105,0.83502,-0.22184,-0.22184,5.04211,0.94526,3.51789,0.31579,0.26316,0.34526,4.12632,0.00632,0,0,1.67368,0.21474,0.01684,1.60421,0.02737,0.02526,0.86105,0,4.34316,33.93053,2.01474,-0.22105,-0.22947,-0.57684,-0.22105,3.90526,21.52211,7.01684,0.88632,6.33895,-0.05895,-0.58947,-0.57474,-0.47789,36.03158,19.88421,0.04632
6,5_08659d8d729e1477a5c989b04819607db9b0c9abclass,6.38049,8.28564,1.30515,6.38049,5.71111,2.29106,0.70298,7.05528,3.70569,0.74274,-0.23254,-0.23254,4.09051,0.81951,2.70461,0.23306,0.32249,0.23035,3.25745,0.00542,0.00271,0,1.74255,0.11382,0.03523,1.64228,0.03252,0.03252,0.65583,0,1.98645,30.56206,1.73171,-0.21247,-0.09864,-0.57832,-0.1664,4.68726,21.09377,5.97182,0.95285,5.30244,-0.06341,-0.59187,-0.57019,-0.57019,32.21301,19.85257,0.01626
7,7_959147cad87818bc4e3c93675e39c61af0cc7900class,7.45571,9.59198,1.53627,7.45571,6.62204,2.39559,0.78437,8.3976,11.99078,0.80905,-0.22064,-0.22064,5.05291,0.93267,3.55711,0.29659,0.26653,0.33267,4.15631,0.00601,0,0,1.57916,0.14629,0.01804,1.51102,0.02605,0.02405,0.76353,0,2.88377,33.81643,2.01603,-0.23527,-0.23727,-0.57796,-0.22325,3.7006,21.94709,6.99319,0.82285,6.33788,-0.07094,-0.58998,-0.57595,-0.46373,35.66253,18.94709,0.04409
8,3_3f36e5cb50ab525d1a836fabd3e4388925e001d2class,6.54006,9.04479,1.90473,6.54006,5.22776,2.30347,0.69464,6.57792,3.1142,0.72594,-0.2,-0.2,3.88707,0.79558,2.63091,0.17666,0.35647,0.12303,3.11041,0.00631,0.01893,0,1.67823,0.1041,0.04101,1.57729,0.03155,0.02839,0.64353,0,3.68454,28.46435,1.44164,-0.30347,-0.17729,-0.57792,-0.02587,0.96782,22.03091,5.45994,1.62082,4.92366,-0.09842,-0.59054,-0.59685,-0.6,29.92681,19.81325,0.02208
9,1_82230d868d5d68cee18c31264dc38f9372d4cab9class,6.54089,9.53103,2.39015,6.54089,5.74286,2.02365,0.73793,7.07291,4.61478,0.77314,-0.2,-0.2,4.45222,0.80197,3.40887,0.11823,0.26601,0.05911,3.73399,0.00985,0,0,1.69458,0.07389,0.04433,1.59606,0,0.05419,0.44828,0,2.39409,29.68867,1.77833,-0.24039,-0.22562,-0.57537,0.24729,0.69557,19.6266,6.79901,2.46897,6.06995,-0.04828,-0.59015,-0.6,-0.6,29.92217,15.5133,0
0,4_6f3a57f527d1245708946e94ad1f2eed4a166cb1class,3.29126,4.57282,1.28155,3.29126,9.43689,1.85437,0.29126,10.91262,9.39806,0.26168,-0.1,-0.1,3.5534,0.19417,2.21359,0.79612,0.43689,0.1068,2.7767,0.00971,0.00971,0,2.98058,0.65049,0.08738,2.30097,0.54369,0.04854,0.69903,0,1.00971,53.15534,2.15534,0.7767,1.32039,0.79612,0.21359,8.3301,0.65049,7.99029,2.61165,7.90291,1.09709,0.21359,0.12621,0,59.47573,51.01942,1.59223
1,2_295f9e588e52c8bc99ab71ae4f280bf8f45ffa39class,4.25263,4.70526,0.45263,4.25263,4.32421,1.79789,0.08632,6.81053,18.74526,0.18969,-0.00568,-0.00568,2.97263,0.07368,2.04632,0.23368,0.62316,0.06947,2.73895,0,0.03789,0,1.72842,0.37474,0.08,1.38947,0.02947,0.22947,0.50316,0,0.38737,33.14737,0.71579,0.28211,0.39579,0.06947,0.27158,8.70947,5.72632,5.09895,1.57263,4.02105,0.46316,0.28211,0.15789,0,35.13053,5.61895,0.06526
