,commitID,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
0,3_89fc1dd3be437d04d8deb69a085bab3ef9d22d65,7.25826,11.71373,5.05546,7.25826,5.10364,2.42913,0.70924,7.12661,3.94734,0.7426,-0.23343,-0.23343,4.1098,0.79888,2.72829,0.23529,0.33053,0.21569,3.27451,0.0056,0.0028,0,1.71989,0.11485,0.03641,1.62185,0.03361,0.02801,0.66667,0,5.28852,30.49076,2.28908,0.98375,0.47619,0.02241,0.39216,5.43697,21.68067,6.48179,1.51261,5.84034,1.14902,0.6084,0.63081,0.62241,33.12941,21.70644,0.01681
1,9_1fdb7ddfc565e3b47e58c7091cbea77e8d898593,7.80877,12.07432,4.86555,7.80877,6.02088,2.57495,0.77119,8.54572,11.97996,0.80826,-0.22163,-0.22163,5.03841,0.94238,3.51775,0.31315,0.26305,0.34447,4.12526,0.00626,0,0,1.59499,0.14823,0.0167,1.5261,0.02714,0.02505,0.78914,0,2.66597,33.75866,2.61879,0.97578,0.3737,0.02296,0.37578,4.46764,21.97077,7.51775,1.47599,6.85177,1.14071,0.61044,0.62505,0.72944,36.84843,20.9215,0.04593
2,2_aecaa15930f4e6799341f05bae722c4f2063b15d,8.16763,13.0031,5.43548,8.16763,5.91796,2.59557,0.77738,8.50466,11.58448,0.82759,-0.22828,-0.22828,4.85942,0.91042,3.35698,0.29047,0.27273,0.33925,3.96896,0.00665,0,0,1.66297,0.20399,0.0133,1.58758,0.02882,0.03326,0.76053,0,5.36585,33.20976,2.56009,0.97694,0.44568,0.02217,0.45233,4.58537,21.00665,7.37472,1.5122,6.66297,1.13659,0.61109,0.62882,0.71308,36.90377,24.33614,0.04213
3,6_b2855f4030f3b2c0939eed05ab4d356f3a136c69,7.82981,12.06874,4.83892,7.82981,6.04141,2.5793,0.77184,8.56894,12.01615,0.80973,-0.22143,-0.22143,5.05549,0.94369,3.5383,0.30849,0.26501,0.34369,4.147,0.00621,0,0,1.59213,0.14907,0.01863,1.52174,0.02692,0.02484,0.78468,0,2.71222,34.01822,2.61656,0.97474,0.37474,0.02277,0.37681,4.44099,22.53002,7.58385,1.46377,6.91511,1.13623,0.61035,0.62484,0.73043,36.92298,20.76149,0.04555
4,10_65c7e23cdb7baa2369789859a49977efa8fdcbb3,8.22588,13.46118,5.83529,8.22588,5.87529,2.63059,0.76941,8.40706,11.81412,0.83165,-0.22918,-0.22918,4.82824,0.90118,3.31294,0.28706,0.28706,0.34118,3.94118,0.00471,0,0,1.69647,0.21412,0.01412,1.61882,0.02824,0.03529,0.76,0,5.19294,32.97176,2.55059,0.99529,0.44941,0.02353,0.46353,4.84235,21.24706,7.13412,1.51529,6.45176,1.13176,0.60706,0.62824,0.72235,36.44235,23.32706,0.04235
5,1_7a4d241413e471e7e16b9c1818bf9fd269b3a52d,8.19485,13.3274,5.73255,8.19485,5.87588,2.63981,0.77799,8.40562,11.8459,0.83132,-0.22941,-0.22941,4.82717,0.89977,3.32553,0.28103,0.28103,0.33958,3.94614,0.00468,0,0,1.69555,0.21311,0.01405,1.61593,0.03044,0.03513,0.76347,0,5.16393,32.92787,2.54848,0.98876,0.44262,0.02342,0.45667,4.82201,21.20375,7.08899,1.51288,6.40515,1.13864,0.60703,0.6281,0.71007,36.46183,25.62342,0.0445
6,7_914c29cf21e9c216f2350bdd78a295ab6aa52cf5,6.85604,10.7913,4.53527,6.85604,5.03865,2.27633,0.75942,7.44541,4.79807,0.75919,-0.2,-0.2,4.36329,0.82705,3.29469,0.14493,0.2657,0.05797,3.61836,0.00966,0,0,1.72464,0.07729,0.04348,1.62319,0.00483,0.05314,0.45894,0,2.75362,29.71594,2.17488,0.97198,0.3285,0.02899,0.76812,1.3285,19.47826,7.23671,2.97101,6.5314,1.12657,0.60966,0.6,0.6,31.37295,21.36812,0.01449
7,5_52df4add86dfd9e50b6e65b21290997cb6285e2e,7.09758,11.2744,4.77681,7.09758,4.98551,2.27633,0.75942,7.77391,4.81739,0.75553,-0.2,-0.2,4.32464,0.82705,3.25604,0.1401,0.27053,0.05797,3.58454,0.00966,0.00483,0,1.72464,0.07729,0.04348,1.62319,0.00483,0.05314,0.45894,0,2.75362,29.45024,2.17005,0.96715,0.3285,0.02899,0.76812,1.32367,19.33333,7.2029,2.95169,6.48792,1.1314,0.60966,0.6,0.6,31.60966,21.36812,0.01449
8,8_e3db8ccedde2ca456a0d6a4c7106e525dbd2edca,8.09677,12.77419,5.27742,8.09677,5.86022,2.58495,0.76129,8.61935,11.0086,0.82851,-0.22743,-0.22743,4.91183,0.90968,3.38495,0.31613,0.26667,0.34409,3.9957,0.00645,0,0,1.66022,0.19785,0.0129,1.5914,0.02796,0.02796,0.82796,0,5.49032,33.27312,2.55054,0.97204,0.37204,0.02151,0.40215,4.52903,21.55699,7.40645,1.46452,6.72688,1.13118,0.61075,0.62796,0.70968,36.43441,23.65376,0.04301
9,4_f4023cbcac8a6a05e663fba442024a673afa6ec5,7.1,11.26916,4.76916,7.1,5.3785,2.28692,0.73084,7.58598,4.38505,0.74285,-0.2,-0.2,4.30093,0.86636,3.1215,0.2243,0.29907,0.05607,3.47664,0.00935,0.02804,0,1.59346,0.09813,0.06075,1.47196,0.01402,0.04673,0.46729,0,4.20093,29.64673,2.35234,0.94112,0.62617,0.02804,0.81308,2.19159,18.83645,6.60748,3.02804,5.93458,1.16542,0.60935,0.60467,0.6,31.42243,20.79626,0.02804
