,commitID,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
0,10_0a53c06ef407a4f03d1332094b6bdd75db394abf,7.62588,14.06118,6.43529,7.62588,5.86353,2.03059,0.16941,7.81176,11.21412,0.23051,-0.02918,-0.02918,4.21647,0.30118,3.30118,0.28706,0.28706,0.34118,3.92941,0.00471,0,0,1.69647,0.21412,0.01412,1.61882,0.02824,0.03529,0.76,0,5.19294,32.33647,1.93882,0.39529,0.44941,0.02353,0.46353,4.84235,21.24706,7.13412,1.51529,6.45176,0.53176,0.00706,0.02824,0.12235,35.81647,22.72706,0.04235
1,1_fc57f88642c3438a1bbb5a4804e2f174a0c6e7a0,7.6338,14.04225,6.40845,7.6338,5.89202,2.02817,0.16901,7.82864,11.28169,0.2315,-0.02918,-0.02918,4.23709,0.30047,3.32864,0.28169,0.28638,0.34038,3.9554,0.00469,0,0,1.69484,0.21362,0.01408,1.61502,0.03052,0.03521,0.76056,0,5.17606,32.38498,1.95775,0.38967,0.44836,0.02347,0.45775,4.83099,21.21362,7.11502,1.51643,6.42019,0.53991,0.00704,0.02817,0.11033,35.92488,22.67606,0.04225
2,4_51f1af85d63aa8c1f7525355498fd37a39de79b0,6.5,11.86916,5.36916,6.5,5.37383,1.68692,0.13084,6.98598,3.78505,0.14285,0,0,3.69626,0.26636,3.11682,0.2243,0.29907,0.05607,3.47196,0.00935,0.02804,0,1.59346,0.09813,0.06075,1.47196,0.01402,0.04673,0.46729,0,4.20093,29.03271,1.74766,0.34112,0.62617,0.02804,0.81308,2.19159,18.83645,6.60748,3.02804,5.93458,0.56542,0.00935,0.00467,0,30.81308,20.19626,0.02804
3,9_f3cb62d12f183fb0ac54f9703d2ed79037301098,7.20877,12.67432,5.46555,7.20877,6.01879,1.97495,0.17119,7.94572,11.37996,0.23306,-0.02163,-0.02163,4.43633,0.34238,3.51566,0.31315,0.26305,0.34447,4.12317,0.00626,0,0,1.65971,0.21294,0.0167,1.59081,0.02714,0.02505,0.85386,0,2.66597,33.21921,2.0167,0.37578,0.3737,0.02296,0.37578,4.46764,22.03549,7.58246,1.47599,6.91649,0.54071,0.01044,0.02505,0.12944,36.67223,20.3215,0.04593
4,2_d2b70fa68b24342e49ad7c135de5dc977f21bf66,7.54072,13.59276,6.05204,7.54072,5.81674,2.01584,0.181,7.75339,10.76697,0.22782,-0.0288,-0.0288,4.17873,0.29638,3.28959,0.28507,0.27149,0.33258,3.89367,0.00679,0,0,1.65611,0.20814,0.01357,1.57919,0.02941,0.03394,0.77602,0,5.23077,32.05882,1.93665,0.38688,0.43665,0.02262,0.45249,4.66063,21.01357,7.08824,1.52262,6.39819,0.5362,0.01131,0.02941,0.11086,35.74661,24.1991,0.04299
5,6_4dc768da1f38a2a667dfc54ff5c2ed82d7e5bfb8,7.21992,12.66805,5.44813,7.21992,6.04149,1.97925,0.1722,7.9834,11.44191,0.21003,-0.02148,-0.02148,4.45228,0.3444,3.5332,0.30913,0.26556,0.3444,4.14315,0.00622,0,0,1.59336,0.14938,0.01867,1.52282,0.02697,0.0249,0.78631,0,2.74481,33.41286,2.0166,0.37552,0.37552,0.02282,0.37759,4.45021,22.4751,7.59544,1.4668,6.92531,0.53734,0.01037,0.0249,0.13071,36.33195,20.20124,0.04564
6,5_0914da57a96d6270ebc8d1a954e88eb454d02d10,6.49758,11.8744,5.37681,6.49758,4.97101,1.67633,0.15942,7.16908,4.00966,0.15533,0,0,3.71498,0.22705,3.24638,0.1401,0.27053,0.05797,3.57488,0.00966,0.00483,0,1.71981,0.07729,0.04348,1.61836,0.00483,0.05314,0.45894,0,2.75362,28.79227,1.56039,0.36715,0.3285,0.02899,0.76812,1.31401,19.32367,7.18841,2.94203,6.47826,0.5314,0.00966,0,0,30.95169,20.76812,0.01449
7,8_d8b02983f13144a6157df3b8d0f37b72ed919ea8,7.49677,13.37419,5.87742,7.49677,5.85591,1.98495,0.16129,8.0129,10.4086,0.22823,-0.02743,-0.02743,4.30753,0.30968,3.38065,0.31613,0.26667,0.34409,3.9914,0.00645,0,0,1.66022,0.19785,0.0129,1.5914,0.02796,0.02796,0.82796,0,5.49032,32.65591,1.94624,0.37204,0.37204,0.02151,0.40215,4.52903,21.55699,7.40645,1.46452,6.72688,0.53118,0.01075,0.02796,0.10968,35.83011,23.05376,0.04301
8,3_685815a7c5881fb1cea39ba05a20f03db430359f,6.65546,12.30812,5.65266,6.65546,5.09524,1.82913,0.10924,6.5014,3.34174,0.14259,-0.03343,-0.03343,3.5014,0.19608,2.71989,0.23529,0.33053,0.21569,3.26611,0.0056,0.0028,0,1.71989,0.11485,0.03641,1.62185,0.03361,0.02801,0.66667,0,5.26611,29.83754,1.68347,0.38375,0.47619,0.02241,0.39216,5.43697,21.66947,6.46779,1.51261,5.82633,0.54902,0.0084,0.03081,0.02241,32.5042,21.10644,0.01681
9,7_da375eaa65d0b4b4b075bc1c40951408f6d11f8f,6.25604,11.3913,5.13527,6.25604,5.01449,1.67633,0.15942,6.82609,4.2029,0.1597,0,0,3.75845,0.22705,3.29469,0.1401,0.2657,0.05797,3.61836,0.00966,0,0,1.72464,0.07729,0.04348,1.62319,0.00483,0.05314,0.45894,0,2.75362,29.01449,1.57005,0.36715,0.32367,0.02899,0.76812,1.31884,19.46377,7.20773,2.95169,6.50242,0.52657,0.00966,0,0,30.61836,20.76812,0.01449
0,1_c8f7ebc2aae76d3d9e981a1c56c9ac29bcc8f7aclass,2.83333,4,1.16667,2.83333,7.2619,2.04762,0.30952,7.78571,6.47619,0.22715,-0.16,-0.16,3.35714,0.07143,2.19048,0.35714,0.64286,0.16667,3.04762,0,0,0,1.64286,0.09524,0,1.07143,0.54762,0.02381,0.33333,0,0.52381,39.61905,1.54762,0.33333,0.92857,0.71429,0.02381,7.38095,0.35714,4.02381,1.90476,4.7381,0.95238,0.11905,0.14286,0,47.52381,74.04762,0.92857
1,2_c9c801d0c0a047ed8aa233bb40d31cea3c71dcbclass,2.96429,4.32143,1.35714,2.96429,6.75,2.25,0.42857,8.71429,6.82143,0.23039,-0.1,-0.1,3.28571,0.14286,2.10714,0.42857,0.5,0.25,3,0,0,0,1.64286,0.25,0.10714,1.07143,0.42857,0.03571,0.25,0,1,41.92857,1.46429,0.32143,0.89286,0.67857,0.03571,8.28571,0.71429,4.92857,2.5,5.71429,1.14286,0.07143,0.17857,0,49.17857,74.53571,1.10714
2,6_f8c1f9eafd6b95f4d819a45cb0e66547df16c2eclass,2.79487,4.02564,1.23077,2.79487,5.92308,2.12821,0.33333,7.20513,5.79487,0.22975,-0.15789,-0.15789,3.28205,0.12821,2.28205,0.33333,0.48718,0.17949,2.97436,0,0,0,1.38462,0.10256,0,1.07692,0.28205,0.02564,0.33333,0,0.61538,34.92308,1.41026,0.28205,0.76923,0.48718,0.02564,6.35897,0.51282,3.94872,1.82051,4.51282,0.94872,0.07692,0.12821,0,43.66667,79.76923,0.79487
3,5_a728c49cade59f45469e7b6d17f4a37d47fec28class,3.11538,4.5,1.38462,3.11538,6.61538,2.23077,0.46154,9.11538,6.84615,0.2242,0,0,3.30769,0.15385,2.03846,0.42308,0.57692,0.26923,2.92308,0,0,0,1.69231,0.11538,0,1.19231,0.46154,0.03846,0.11538,0,1.15385,43.19231,1.34615,0.34615,0.61538,0.73077,0.03846,9.38462,0.80769,5.15385,2.26923,6.07692,1.26923,0.07692,0.15385,0,50.73077,80.19231,1.23077
4,3_f408c4fd7c60890a93f3ec88b77dbcfb54d20f0class,2.78571,3.95238,1.16667,2.78571,7.47619,2.04762,0.30952,7.97619,7.59524,0.22391,-0.16,-0.16,3.30952,0.07143,2.04762,0.38095,0.71429,0.16667,2.97619,0,0,0,1.64286,0.11905,0,1.02381,0.59524,0.02381,0.30952,0,0.52381,40.35714,1.64286,0.40476,1.09524,0.7381,0.02381,7.21429,0.40476,4.28571,1.85714,4.97619,0.95238,0.11905,0.14286,0,49.09524,74.04762,0.95238
5,4_8931ed8111a7e179bf69837d6021aeec7c7c126class,2.83333,4,1.16667,2.83333,7.2619,2.04762,0.30952,7.78571,6.47619,0.22715,-0.16,-0.16,3.35714,0.07143,2.19048,0.35714,0.64286,0.16667,3.04762,0,0,0,1.64286,0.09524,0,1.07143,0.54762,0.02381,0.33333,0,0.52381,39.61905,1.54762,0.33333,0.92857,0.71429,0.02381,7.38095,0.35714,4.02381,1.90476,4.7381,0.95238,0.11905,0.14286,0,47.52381,74.04762,0.92857
0,25_022945bdfa1f0412a918eaf2b0d20afb8349293class,2.82051,5.14103,2.32051,2.82051,6.74359,1.23077,0.0641,5.94872,11.96154,0.13026,0,0,4.61538,0.15385,4.26923,0.0641,0.16667,0.11538,4.57692,0.01282,1.03846,1.08974,1.0641,0.28205,0.24359,0.57692,0.02564,0.21795,0.30769,0,2.66667,31.07692,1.80769,0.32051,0.4359,0.48718,0.19231,4.70513,3.92308,3.73077,1.30769,2.41026,0.58974,0.64103,0.02564,0,25.25641,12.79487,0.16667
1,17_b1125cdfa156e07cc863dbe8cee2dff0cfd3a5fclass,3.46715,5.35766,1.89051,3.46715,11.29197,1.23358,0.13139,8.06934,82.16423,0.15598,-0.00778,-0.00778,6.43248,0.53285,4.22993,0.33394,0.32117,1.54745,6.11679,0.06022,0.13686,0.0438,1.75547,0.68796,0.35401,1.04927,0.07117,0.28102,0.71168,0,1.96168,46.50547,3.16606,0.54015,1.89416,0.70255,0.58394,8.94343,4.43431,6.98358,2.33394,4.7135,0.91606,0.30839,0.0292,0,44.77007,29.21715,0.09489
2,23_6d2009e6997a8580e9685eeea186ccccdbf518cclass,3.19597,5.64841,2.45245,3.19597,12.35159,1.22767,0.10951,7.75793,99.43228,0.17702,-0.01064,-0.01064,7.29971,0.42363,4.76369,0.37464,0.21614,1.94524,6.94524,0.07205,0.18444,0.04899,1.98271,0.69741,0.40058,1.18444,0.05476,0.34294,0.72334,0,2.06628,47.41787,3.91931,0.48415,2.23919,0.54755,0.59366,9.86744,3.97983,7.34582,2.17291,4.76657,0.67147,0.40058,0.02017,0,47.00576,29.8098,0.14986
3,2_ce241b5c8cb513a5d91f8d45ab7b778dbd3ceb4class,3.12545,5.44086,2.31541,3.12545,12.57348,1.31183,0.09677,7.79211,95.81362,0.18813,-0.05063,-0.05063,7.28674,0.42294,4.64158,0.319,0.30466,2.02151,6.98566,0.01792,0.14695,0.05018,1.91756,0.80287,0.45878,1.26523,0.06452,0.12903,0.7957,0,3.98208,48.39068,3.93907,0.54122,2.21505,0.54839,0.64875,10.82796,4.42294,7.4086,2.29032,4.70968,0.68817,0.38351,0.02509,0,46.76344,26.5448,0.12186
4,11_563a2c66aebd3c21ea84a51e7e6e081e0329c17class,3.11801,5.85093,2.73292,3.11801,13.90062,1.25466,0.10559,9.54658,133.7205,0.17536,0,0,6.96894,0.42857,6.13665,0.18012,0.19876,0.45342,6.81366,0.09938,0.00621,0.04969,1.81988,0.60248,0.40994,1.25466,0.04969,0.10559,0.6087,0,5.41615,57.22981,4.35404,0.75155,2.70807,0.71429,0.83851,14.61491,6.75155,8.47205,2.86957,4.89441,0.80124,0.59627,0.03106,0,43.82609,19.04969,0.08075
5,4_dc3092874d6b485fbe1b32d98963aaf95d91c47class,3.04918,5.45902,2.40984,3.04918,7.2623,1.29508,0.08197,6.72131,11.57377,0.16372,0,0,4.80328,0.19672,4.36066,0.08197,0.21311,0.14754,4.7541,0.01639,0.80328,0.86885,1.29508,0.31148,0.2623,0.72131,0.03279,0.27869,0.34426,0,2.91803,33.4918,2.03279,0.40984,0.54098,0.52459,0.19672,5.37705,4.36066,4.54098,1.32787,3.01639,0.7541,0.54098,0.03279,0,28.36066,16.63934,0.21311
6,13_b1c8ea50dabf8fd562338c2a9bac1fc57fe0e77class,3.03333,5.27,2.23667,3.03333,12.17333,1.28,0.09,7.59,96.47333,0.17768,-0.01887,-0.01887,7.18,0.40333,4.63667,0.32667,0.23667,1.98,6.87,0.04333,0.13667,0.04667,1.99,0.75333,0.43333,1.16667,0.05333,0.33667,0.75667,0,4.04667,46.96,3.75667,0.49667,2.13,0.52,0.59,10.12333,3.75667,7.21667,2.14667,4.69333,0.65667,0.42333,0.02333,0,46.58667,21.96333,0.11333
