,commitID,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
0,6_2beb2cb6e17bd8d38d86110d4ed6db3af7e8947eclass,6.51746,8.90794,2.99048,6.51746,4.0127,2.33968,-0.50794,5.33651,2.0127,-0.47465,-0.2,-0.2,2.68254,-0.4127,2.10794,-0.42222,-0.24127,-0.5619,2.50476,-0.59365,-0.58095,-0.6,1.06984,-0.49524,-0.55873,0.96508,-0.56825,-0.56825,0.04127,-0.6,2.95238,27.41587,0.85397,-0.32381,-0.15873,-0.58095,-0.00635,1.02222,22.39683,5.46032,1.65397,4.92381,-0.11111,-0.59048,-0.59683,-0.6,29.64444,19.93651,-0.57778
1,1_9e0b5d4ad6f02707f919a4b8986061cf5c98452dclass,6.48055,8.90717,3.02662,6.48055,4.12014,2.33038,-0.50102,5.44096,2.27372,-0.4701,-0.2,-0.2,2.74471,-0.40205,2.15768,-0.40887,-0.24505,-0.55904,2.55358,-0.59317,-0.57952,-0.6,1.04505,-0.51809,-0.55563,0.94608,-0.57952,-0.56587,-0.01297,-0.6,2.8198,27.93242,0.9256,-0.31672,-0.1256,-0.57952,0.00751,1.11331,22.49556,5.557,1.79249,4.97679,-0.11195,-0.58976,-0.59659,-0.6,29.08942,17.90853,-0.57952
2,2_abf4cd7c4a915f8f545c6c42af14e95e398648ddclass,7.30588,9.4914,2.78552,7.30588,5.21674,2.4371,-0.4371,6.95882,10.16697,-0.37218,-0.2288,-0.2288,3.57873,-0.30362,2.68959,-0.31493,-0.32851,-0.26742,3.29367,-0.59321,-0.6,-0.6,1.05611,-0.39186,-0.58643,0.97919,-0.57059,-0.56606,0.17602,-0.6,2.55837,31.45882,1.33665,-0.21312,-0.16335,-0.57738,-0.14751,4.06063,20.41357,6.48824,0.92262,5.79819,-0.0638,-0.58869,-0.57059,-0.48914,35.14661,23.5991,-0.55701
3,5_744de0d2ebd52b3f80b6d70511cf8cecc70499e1class,7.46105,9.81684,2.95579,7.46105,5.42316,2.39158,-0.44211,7.24421,10.82105,-0.36498,-0.22184,-0.22184,3.84211,-0.25474,2.91789,-0.28421,-0.33684,-0.25474,3.52632,-0.59368,-0.6,-0.6,1.07368,-0.38526,-0.58316,1.00421,-0.57263,-0.57474,0.26105,-0.6,3.74316,32.73053,1.41474,-0.22105,-0.22947,-0.57684,-0.22105,3.90526,21.52211,7.01684,0.88632,6.33895,-0.05895,-0.58947,-0.57474,-0.47789,36.03158,19.88421,-0.55368
4,3_f697f91191561779b933262d181832c9abfb9497class,6.58119,9.09843,3.11724,6.58119,4.07398,2.29906,-0.50596,5.41254,1.95172,-0.47152,-0.2,-0.2,2.71348,-0.40564,2.05831,-0.42445,-0.24263,-0.47774,2.53793,-0.59373,-0.58119,-0.6,1.08966,-0.49342,-0.55925,0.98934,-0.56865,-0.57179,0.04577,-0.6,3.1116,27.43135,0.85455,-0.30533,-0.1674,-0.57806,-0.02947,0.97994,22.08025,5.45956,1.6069,4.91097,-0.09216,-0.5906,-0.59687,-0.6,30.08966,19.69154,-0.57806
5,4_cd1df6764653e2735f7d459c457c2adf39bfb521class,7.22578,9.3526,2.72682,7.22578,5.32723,2.3921,-0.44407,7.0632,10.42911,-0.37243,-0.22632,-0.22632,3.77006,-0.28399,2.85738,-0.28815,-0.33597,-0.2632,3.45821,-0.59376,-0.6,-0.6,1.05281,-0.40249,-0.58337,0.9842,-0.57297,-0.57505,0.242,-0.6,1.14012,32.32931,1.38753,-0.22578,-0.23617,-0.57713,-0.21331,3.86362,21.15052,6.88025,0.88025,6.20457,-0.05738,-0.5896,-0.57089,-0.49397,35.52474,19.64116,-0.55426
0,3_cc7ab49ae13d1dda8d6cc120a6207e001af79680class,3,4.33333,1.33333,3,6.60606,2.06061,0.36364,8.09091,7.93939,0.24908,-0.06667,-0.06667,3.48485,0.15152,2.42424,0.39394,0.45455,0.21212,3.21212,0,0,0,1.63636,0.27273,0.09091,1.18182,0.33333,0.0303,0.39394,0,0.69697,39.21212,1.54545,0.33333,0.81818,0.57576,0.0303,7.30303,0.60606,4.51515,2.15152,5.27273,1.06061,0.09091,0.15152,0,47.78788,63.33333,0.93939
1,4_4e2fbb7e7e5aa79cdf8d56b86c2506e5c02d720dclass,3.21053,4.47368,1.26316,3.21053,9.67368,1.92632,0.31579,10.97895,10.05263,0.27186,-0.10638,-0.10638,3.64211,0.14737,2.22105,0.85263,0.46316,0.10526,2.81053,0.01053,0.01053,0,3.01053,0.68421,0.09474,2.28421,0.57895,0.05263,0.73684,0,0.96842,54.64211,2.17895,0.77895,1.35789,0.83158,0.2,8.57895,0.65263,8.24211,2.72632,8.10526,1.06316,0.21053,0.12632,0,60.77895,55.18947,1.71579
2,2_65bdfb111b35d32ddea3376484267191b10d02d5class,3.1828,4.43011,1.24731,3.1828,9.73118,1.94624,0.32258,11.07527,10.21505,0.25917,-0.11111,-0.11111,3.64516,0.15054,2.22581,0.83871,0.47312,0.10753,2.82796,0.01075,0.01075,0,2.96774,0.69892,0.09677,2.22581,0.5914,0.05376,0.75269,0,0.98925,54.52688,2.17204,0.78495,1.35484,0.84946,0.2043,8.66667,0.66667,8.22581,2.75269,8.10753,1.06452,0.21505,0.12903,0,60.64516,56.35484,1.74194
3,1_d0f7eda9883c526c584d057de47c7f521dc6df76class,2.7931,4.03448,1.24138,2.7931,6.68966,2.2069,0.41379,8.55172,7.24138,0.24113,-0.09091,-0.09091,3.31034,0.13793,2.13793,0.41379,0.51724,0.24138,3.03448,0,0,0,1.72414,0.24138,0.10345,1.2069,0.37931,0.03448,0.31034,0,0.96552,41.31034,1.55172,0.31034,0.89655,0.65517,0.03448,8,0.68966,4.82759,2.41379,5.65517,1.10345,0.06897,0.17241,0,48.10345,72,1.06897
