,commitID,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
0,2_4e646f2c84dcd8741eaa245b19fc5fa08791db0class,6.7133,8.88761,2.17431,6.7133,5.91514,1.84633,0.16514,7.67661,11.23165,0.23001,-0.02895,-0.02895,4.25459,0.30046,3.3555,0.28899,0.27523,0.33486,3.9656,0.00688,0,0,1.6789,0.21101,0.01376,1.60092,0.02982,0.0344,0.75688,0,3.1445,32.51376,1.96101,0.3922,0.44266,0.02294,0.45872,4.72477,21.30505,7.18349,1.54358,6.4633,0.54358,0.01147,0.02982,0.11239,35.97706,24.51835,0.04358
1,5_fda5d05e5a98662a1c47dbb63545ceff3de39d0class,6.82105,9.19368,2.37263,6.82105,6.02316,1.79158,0.15789,7.83789,11.42105,0.2309,-0.02184,-0.02184,4.44211,0.34526,3.51789,0.31579,0.26316,0.34526,4.12632,0.00632,0,0,1.66105,0.20211,0.01684,1.59158,0.02737,0.02526,0.84842,0,3.67158,33.31789,2.01474,0.37895,0.37053,0.02316,0.37895,4.50526,22.10947,7.60421,1.48632,6.92632,0.54105,0.01053,0.02526,0.12211,36.54316,20.48421,0.04632
2,4_add6ae271c2a01f215c762aa5aad216407c94b4class,6.62578,8.7526,2.12682,6.62578,5.92723,1.7921,0.15593,7.6632,11.02911,0.22757,-0.02632,-0.02632,4.37006,0.31601,3.45738,0.31185,0.26403,0.3368,4.05821,0.00624,0,0,1.65281,0.19751,0.01663,1.5842,0.02703,0.02495,0.842,0,1.74012,32.92931,1.98753,0.37422,0.36383,0.02287,0.38669,4.46362,21.75052,7.48025,1.48025,6.80457,0.54262,0.0104,0.02911,0.10603,36.08524,20.24116,0.04574
3,6_f97bf3739158385298b95379a71b167eb10964aclass,5.87296,8.23453,2.36156,5.87296,4.61564,1.7329,0.09446,5.94463,2.67101,0.12473,0,0,3.2671,0.18893,2.69707,0.1759,0.35505,0.03909,3.09121,0.00651,0.01954,0,1.6645,0.10423,0.04235,1.557,0.03257,0.03257,0.63192,0,3.36156,28.13029,1.46254,0.28339,0.45277,0.01954,0.60912,1.60586,23.10098,6.11401,2.28339,5.56352,0.49186,0.00977,0.00326,0,30.12378,21.0456,0.01954
4,1_be08539a7e1612d59bb366262e23190b85723b1class,5.9,8.35172,2.45172,5.9,4.74483,1.73103,0.1,6.1,2.90345,0.1324,0,0,3.35517,0.2,2.76897,0.1931,0.35172,0.04138,3.16207,0.0069,0.02069,0,1.64483,0.08276,0.04483,1.54483,0.02069,0.03448,0.57931,0,3.43793,28.66552,1.54138,0.28621,0.47931,0.02069,0.61379,1.71034,23.22759,6.18966,2.42069,5.60345,0.4931,0.01034,0.00345,0,29.81034,18.68966,0.02069
5,3_a3e66536a5218676325d6ec57595c38c699e6caclass,5.94006,8.44479,2.50473,5.94006,4.68139,1.70347,0.09464,5.98423,2.77918,0.12608,0,0,3.3123,0.19558,2.65615,0.17666,0.35647,0.12303,3.13565,0.00631,0.01893,0,1.68454,0.10726,0.04101,1.5836,0.03155,0.02839,0.64669,0,3.68454,28.05047,1.45741,0.29653,0.43533,0.02208,0.57413,1.58991,22.78864,6.03785,2.21767,5.48896,0.50473,0.00946,0.00315,0,30.6183,20.41325,0.02208
0,3_569c33f74410f7ba5e81eeb4912268505c5ac3eclass,3.03226,4.35484,1.32258,3.03226,6.83871,2.12903,0.3871,8.48387,8.3871,0.24902,-0.07143,-0.07143,3.58065,0.12903,2.48387,0.3871,0.48387,0.22581,3.32258,0,0,0,1.70968,0.29032,0.09677,1.22581,0.35484,0.03226,0.3871,0,0.64516,40.87097,1.58065,0.35484,0.83871,0.58065,0.03226,7.67742,0.67742,4.70968,2.29032,5.51613,1.06452,0.09677,0.16129,0,48,67.35484,1
1,5_7b14dd60ba4a47af27aa76b36a901ccb8ffa805class,3.39796,4.71429,1.31633,3.39796,9.76531,1.89796,0.30612,11.37755,9.85714,0.27045,-0.10204,-0.10204,3.65306,0.20408,2.22449,0.85714,0.45918,0.11224,2.81633,0.0102,0.0102,0,3.10204,0.68367,0.09184,2.38776,0.57143,0.05102,0.73469,0,1.05102,55.28571,2.20408,0.79592,1.34694,0.85714,0.22449,8.73469,0.64286,8.36735,2.72449,8.27551,1.11224,0.20408,0.12245,0,61.67347,53.53061,1.67347
2,2_25b486c9caf04148c192c56ebb51ddc71608fe8class,3.20652,4.45652,1.25,3.20652,9.77174,1.95652,0.32609,11.1413,10.19565,0.25417,-0.11364,-0.11364,3.63043,0.15217,2.20652,0.83696,0.47826,0.1087,2.81522,0.01087,0.01087,0,2.90217,0.70652,0.09783,2.15217,0.59783,0.05435,0.76087,0,1,54.70652,2.15217,0.79348,1.3587,0.8587,0.20652,8.76087,0.67391,8.19565,2.78261,8.09783,1.07609,0.21739,0.13043,0,60.69565,56.95652,1.76087
3,4_5c2a6a332e130f4fd1e8df92bae1323e1e906e2class,3.24731,4.50538,1.25806,3.24731,9.7957,1.94624,0.32258,11.15054,10.22581,0.27016,-0.11111,-0.11111,3.65591,0.15054,2.22581,0.84946,0.47312,0.10753,2.82796,0.01075,0.01075,0,2.96774,0.69892,0.09677,2.22581,0.5914,0.05376,0.75269,0,0.98925,55.30108,2.1828,0.7957,1.36559,0.84946,0.2043,8.76344,0.66667,8.33333,2.78495,8.17204,1.08602,0.21505,0.12903,0,60.90323,56.35484,1.75269
4,1_c9c801d0c0a047ed8aa233bb40d31cea3c71dcbclass,2.96429,4.32143,1.35714,2.96429,6.75,2.25,0.42857,8.71429,6.82143,0.23039,-0.1,-0.1,3.28571,0.14286,2.10714,0.42857,0.5,0.25,3,0,0,0,1.64286,0.25,0.10714,1.07143,0.42857,0.03571,0.25,0,1,41.92857,1.46429,0.32143,0.89286,0.67857,0.03571,8.28571,0.71429,4.92857,2.5,5.71429,1.14286,0.07143,0.17857,0,49.17857,74.53571,1.10714
0,4_7042dcfdb681d73e29943ba71863cadc0523635class,3,5.29213,2.29213,3,12.77903,1.29213,0.09738,8.05243,120.88015,0.18478,-0.05479,-0.05479,7.25843,0.44944,4.68539,0.37079,0.27715,1.92509,6.90637,0.00749,0.15356,0.05243,1.96629,0.82397,0.4794,1.28839,0.06742,0.13109,0.80524,0,4.13483,49.26966,4.02996,0.55805,2.29588,0.56929,0.68539,10.94382,4.59551,7.4794,2.37079,4.77903,0.70787,0.40075,0.02622,0,48.00749,16.02622,0.04869
1,3_8bce4c2b10636018164c83641db2c7c21316c25class,3.50692,5.45675,1.94983,3.50692,11.44464,1.23183,0.13322,8.21799,86.73356,0.14992,-0.00755,-0.00755,6.48097,0.5173,4.23529,0.31834,0.3391,1.58824,6.17993,0.05709,0.13149,0.04325,1.76298,0.69896,0.36159,1.04325,0.07266,0.28547,0.7699,0,1.88235,46.97059,3.1955,0.53806,2.03979,0.71799,0.56574,10.72837,4.52941,7.09343,2.45848,4.77509,0.92561,0.31661,0.02768,0,44.64187,27.77682,0.15398
2,6_081cc85d60a37e8266fa668b20ea9f9437bfef1class,3.19421,5.96694,2.77273,3.19421,13,1.34711,0.1157,8.16942,137.1281,0.18064,-0.0813,-0.0813,7.1157,0.6157,5.05785,0.31818,0.21074,1.52893,6.81405,0.00826,0.0124,0.06612,1.80992,0.66529,0.38017,1.22727,0.06198,0.1405,0.63223,0,4.95041,51.74793,4.02066,0.65702,2.28512,0.68595,0.71074,11.92149,5.18595,7.83884,2.46694,4.80992,0.76033,0.44215,0.03719,0,47.7438,13.07438,0.05372
3,1_02254c25b4012a1b1c36e829edee45f42affd25class,2.91188,5.18774,2.27586,2.91188,12.96935,1.31034,0.09195,7.90038,140.19157,0.17647,-0.07246,-0.07246,7.59004,0.5977,5.13793,0.341,0.15709,1.95402,7.26437,0.00766,0.01149,0.0613,1.78161,0.7318,0.44061,1.14559,0.06513,0.13027,0.69349,0,4.61303,50.08429,3.83908,0.60536,2.05364,0.58621,0.69732,11.0613,4.88506,7.74713,2.48276,4.61686,0.71264,0.42146,0.03448,0,47.54789,16.10345,0.04981
4,9_10dc871af73260a772fd049f5f0b0326f82657cclass,3.37949,6.42564,3.04615,3.37949,13.91282,1.37949,0.11282,10.18974,122.41026,0.20791,-0.02381,-0.02381,6.86667,0.72821,5.67692,0.34872,0.25641,0.58462,6.53846,0.01026,0.01026,0.08205,2.09744,0.67179,0.34359,1.43077,0.1641,0.15897,0.63077,0,6.36923,58.98974,4.58462,0.81538,2.77436,0.81026,0.84615,13.82564,6.34872,9.37436,2.77436,5.74359,0.90256,0.51795,0.04615,0,45.74359,15.90256,0.06667
5,7_6d6f6edfdab713d3054f341dfa22d690cd43b77class,3.27711,6.05622,2.77912,3.27711,12.80723,1.32932,0.09639,8.09639,133.57831,0.18172,-0.07937,-0.07937,7.05622,0.62249,4.99598,0.36546,0.16466,1.53012,6.70683,0.00803,0.01205,0.06426,1.86747,0.76707,0.46185,1.20884,0.06024,0.13655,0.72691,0,5.07631,51.16466,4.07229,0.63855,2.18474,0.65863,0.73092,11.63855,5.19679,7.80723,2.61044,4.85542,0.751,0.44177,0.03614,0,47.81526,12.77108,0.05221
6,10_5cd034b74cb1d76d10c5815c081b35f0d102a34class,3.07326,5.3663,2.29304,3.07326,12.74359,1.2967,0.0989,7.94139,117.663,0.18415,-0.05263,-0.05263,7.337,0.43223,4.7033,0.32967,0.26007,2.04396,7.02198,0.00733,0.15018,0.05128,1.93407,0.80952,0.46886,1.27106,0.06227,0.13187,0.8022,0,4.05128,49.08791,3.99634,0.54945,2.25641,0.5641,0.67033,11.05128,4.50549,7.47619,2.34066,4.76923,0.7033,0.39194,0.02564,0,47.93773,19.56044,0.12454
7,2_dc224d1de167c22f076f46abf2eea6e6d6e32daclass,3.00373,5.29478,2.29104,3.00373,12.79478,1.29104,0.09701,8.03358,118.30597,0.18481,-0.05442,-0.05442,7.27612,0.46269,4.72388,0.3694,0.25746,1.92537,6.92537,0.00746,0.15299,0.05224,1.95896,0.83209,0.47761,1.28358,0.06343,0.13433,0.80597,0,4.1306,49.30597,4.0709,0.55597,2.3097,0.56716,0.68284,10.91791,4.60821,7.48881,2.37687,4.79104,0.70896,0.39925,0.02612,0,47.98881,19.78731,0.04851
8,5_c44cc0062c76f498a8b11572b53cc2db55fbf93class,3.05535,5.36162,2.30627,3.05535,12.65683,1.29889,0.09963,7.98524,116.90775,0.18321,-0.05333,-0.05333,7.24354,0.43542,4.71587,0.32103,0.26199,1.94465,6.94096,0.00738,0.15129,0.05166,1.95203,0.8155,0.47232,1.28413,0.06273,0.13284,0.81181,0,4.09963,48.92251,4.02214,0.54613,2.26568,0.56458,0.67159,10.78229,4.52768,7.45756,2.30627,4.7786,0.7048,0.39483,0.02583,0,47.82288,19.69742,0.12546
9,8_08056a29da693b41a19b1515c0e504ec17926e0class,3.21138,5.99593,2.78455,3.21138,12.88211,1.34146,0.11382,8.08537,136.97154,0.17948,-0.08065,-0.08065,7.06911,0.60569,5.02846,0.31301,0.20732,1.52033,6.77236,0.00813,0.0122,0.06504,1.79268,0.6626,0.37805,1.21545,0.06098,0.13821,0.63008,0,4.87805,51.22358,3.9878,0.64634,2.26829,0.6748,0.71951,11.73984,5.14228,7.7439,2.45122,4.7561,0.75203,0.44715,0.03659,0,47.37398,12.85366,0.05285
