,commitID,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
0,10_85a0b1295ef8f6800ba080d4fccb1426b43adca4class,6.51667,9.55588,3.63922,6.51667,4.80196,1.07157,0.72745,6.16471,2.91471,-0.4569,-0.2,-0.2,4.30588,0.87941,3.12745,0.23039,0.28922,0.05882,3.47549,0.0098,0.0049,0,1.59314,0.09804,0.05882,1.46569,0.01471,0.05392,0.44118,0,2.56373,28.03235,1.72549,0.94314,0.63235,0.02941,0.84804,1.53922,18.35784,6.54412,3.09804,5.85294,-0.03627,0.0098,0.0049,0,30.93627,21.13725,0.02941
1,1_26bf5f05a4da6b32de1fb611566a215ba2873543class,7.37128,9.65053,2.87926,7.37128,5.16064,1.36011,0.72766,6.37074,9.32819,-0.36186,-0.23125,-0.23125,4.77819,0.87128,3.24468,0.24202,0.31915,0.37234,3.93617,0.00532,0.00266,0,1.79255,0.14096,0.01596,1.70745,0.03723,0.03191,0.71543,0,2.26064,31.62074,1.8617,0.99096,0.39362,0.02128,0.42819,5.11436,22.78723,6.85106,1.5984,6.14362,-0.05745,0.00798,0.03191,0.03457,35.64628,25.55851,0.01596
2,4_e03b539842c2f11708908aa9deed1fb4b1f0f4d5class,5.55385,8.0359,3.08205,5.55385,4.42564,0.61026,0.74359,4.86667,1.97436,-0.43965,-0.20571,-0.20571,4.45641,0.6,3.54359,0.05128,0.06154,0.2,3.80513,0.01026,0,0,1.69744,0.02564,0.01026,1.58462,0.02564,0.07692,0.37436,0,0.41026,28.21538,1.72821,0.88718,0.37436,0,1.27692,0.48718,25.67179,7.05128,4.4359,6.11795,-0.13333,0.01026,0,0,26.77949,16.73333,0.02051
3,3_b6bad621a49260364a8450bd02539dd61373963aclass,7.47302,9.60595,2.73294,7.47302,5.45952,1.18571,0.7746,7.44563,11.66389,-0.38825,-0.22027,-0.22027,5.09405,0.95714,3.58929,0.30556,0.2619,0.3373,4.18849,0.00595,0,0,1.60714,0.15476,0.01984,1.53373,0.02579,0.02778,0.79563,0,2.96825,32.95357,2.05556,0.96706,0.36706,0.02976,0.375,4.30357,22.63095,7.69246,1.41865,7.03571,-0.07024,0.00992,0.02381,0.13492,36.39881,17.33135,0.0496
4,8_fbfdabeec4a52c6d41d44429ea49b69158d173c4class,6.52157,9.56569,3.64412,6.52157,4.78235,1.07157,0.72745,6.16961,2.9,-0.45708,-0.2,-0.2,4.28627,0.87941,3.12255,0.21569,0.28922,0.05882,3.47059,0.0098,0.0049,0,1.59804,0.09804,0.05882,1.47059,0.01471,0.05392,0.44608,0,2.55882,27.97843,1.72059,0.94314,0.63235,0.02941,0.85784,1.53922,18.36275,6.52941,3.10294,5.84314,-0.03137,0.0098,0.0049,0,30.83333,21.13725,0.02941
5,5_08659d8d729e1477a5c989b04819607db9b0c9abclass,6.38049,8.28564,2.50515,6.38049,4.51111,1.09106,0.70298,5.85528,2.50569,-0.45726,-0.23254,-0.23254,4.09051,0.81951,2.70461,0.23306,0.32249,0.23035,3.25745,0.00542,0.00271,0,1.74255,0.11382,0.03523,1.64228,0.03252,0.03252,0.65583,0,1.98645,29.36206,1.73171,0.98753,0.50136,0.02168,0.4336,5.28726,21.69377,6.57182,1.55285,5.90244,-0.06341,0.00813,0.02981,0.02981,32.81301,20.45257,0.01626
6,9_c75c8a91cc30cc465d64bfaf15437ccb2df089f1class,6.34309,8.22983,2.48674,6.34309,4.40829,1.06575,0.69669,5.7453,2.39724,-0.46781,-0.23333,-0.23333,4.02541,0.79061,2.66022,0.21823,0.33702,0.20994,3.20718,0.00552,0.00276,0,1.68785,0.09945,0.03591,1.59116,0.03315,0.02762,0.64641,0,1.78453,29.07956,1.71823,0.98398,0.49724,0.0221,0.57459,9.56354,22.4558,6.53315,2.23481,5.87293,-0.06409,0.00829,0.03039,0,32.25138,18,0.01657
7,6_2eb395ea0ce86707d7d5453a5ccf477282e12cb8class,6.54006,9.04479,3.10473,6.54006,4.05615,1.10347,0.69464,5.37476,2.06562,-0.47399,-0.2,-0.2,3.90915,0.79558,2.653,0.17666,0.35647,0.12303,3.13249,0.00631,0.01893,0,1.68139,0.1041,0.04101,1.58044,0.03155,0.02839,0.64353,0,3.68454,27.38738,1.4511,0.89653,0.42587,0.02208,0.57413,1.58675,22.77918,6.03155,2.21767,5.4858,-0.09842,0.00946,0.00315,0,30.58991,20.41325,0.02208
8,2_5f93f9415c1e3405275bb41006f6b842c3dd0291class,6.35,9.44184,3.69184,6.35,4.69082,1.08367,0.71224,5.93061,2.63469,-0.4542,-0.2,-0.2,4.26327,0.89082,3.10204,0.21429,0.29082,0.05612,3.44898,0.0102,0.0051,0,1.56633,0.10204,0.06122,1.43878,0.0102,0.05612,0.44388,0,2.89286,27.03776,1.70918,0.95204,0.60714,0.03061,0.90306,1.48469,18.28571,6.35204,3.19898,5.67857,-0.05408,0.0102,0.0051,0,28.82653,21.95918,0.02041
9,7_744de0d2ebd52b3f80b6d70511cf8cecc70499e1class,7.46105,9.81684,2.95579,7.46105,5.42316,1.19158,0.75789,7.24421,10.82105,-0.36498,-0.22184,-0.22184,5.04211,0.94526,3.51789,0.31579,0.26316,0.34526,4.12632,0.00632,0,0,1.67368,0.21474,0.01684,1.60421,0.02737,0.02526,0.86105,0,4.34316,32.73053,2.01474,0.97895,0.37053,0.02316,0.37895,4.50526,22.12211,7.61684,1.48632,6.93895,-0.05895,0.01053,0.02526,0.12211,36.63158,20.48421,0.04632
