,commitID,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
0,9_82709598f99235100142e2c9e7a915a6fe550c55class,5.74309,7.62983,1.88674,5.74309,4.96409,1.66298,0.09669,6.33149,2.99724,0.13218,-0.03333,-0.03333,3.39227,0.18232,2.6326,0.21271,0.33702,0.20994,3.17956,0.00552,0.00276,0,1.68785,0.09945,0.03591,1.59116,0.03315,0.02762,0.64641,0,1.75138,29.54696,1.67956,0.38398,0.48066,0.0221,0.57459,9.5663,22.44199,6.52762,2.23481,5.87293,0.53591,0.00829,0.03039,0,32.20442,18,0.01657
1,3_762a3ac7f8dec969155d908f2c07f95a65ca846eclass,6.86905,8.99802,2.12897,6.86905,6.05556,1.78571,0.1746,8.03571,12.24603,0.21125,-0.02027,-0.02027,4.49008,0.35714,3.58929,0.30159,0.2619,0.3373,4.18849,0.00595,0,0,1.60714,0.15476,0.01984,1.53373,0.02579,0.02778,0.79365,0,2.96825,33.54365,2.05159,0.36706,0.36706,0.02976,0.375,4.30357,22.62698,7.69048,1.41865,7.03373,0.52976,0.00992,0.02381,0.13492,36.39087,17.33135,0.0496
2,1_651a02bec5257ca0c49a11bb93893a8e39e25964class,6.77128,9.05053,2.27926,6.77128,5.75798,1.96011,0.12766,6.96809,9.92287,0.2377,-0.03125,-0.03125,4.17553,0.26862,3.24202,0.24202,0.31915,0.37234,3.93351,0.00532,0.00266,0,1.79255,0.14096,0.01596,1.70745,0.03723,0.03191,0.71543,0,2.25798,32.21277,1.85904,0.39096,0.39362,0.02128,0.42819,5.11436,22.78723,6.85106,1.5984,6.14362,0.54255,0.00798,0.03191,0.03457,35.64362,25.55851,0.01596
3,5_805f761fafd0aeab2da638a7827e0635c0261757class,5.71111,7.58611,1.875,5.71111,5.18056,1.68333,0.10278,6.42778,3.38611,0.1417,-0.03333,-0.03333,3.53889,0.21667,2.75,0.24167,0.33056,0.21667,3.29722,0.00556,0.00278,0,1.71944,0.11667,0.03611,1.62222,0.03333,0.02778,0.66667,0,1.81667,30.16111,1.74722,0.39444,0.5,0.02222,0.43056,5.41389,21.83611,6.52222,1.56667,5.89167,0.55833,0.00833,0.03056,0.03056,32.58333,20.93889,0.01667
4,6_3f36e5cb50ab525d1a836fabd3e4388925e001d2class,5.94006,8.44479,2.50473,5.94006,4.62776,1.70347,0.09464,5.97792,2.5142,0.12594,0,0,3.28707,0.19558,2.63091,0.17666,0.35647,0.12303,3.11041,0.00631,0.01893,0,1.67823,0.1041,0.04101,1.57729,0.03155,0.02839,0.64353,0,3.68454,27.86435,1.44164,0.29653,0.42271,0.02208,0.57413,1.56782,22.63091,6.05994,2.22082,5.52366,0.50158,0.00946,0.00315,0,30.52681,20.41325,0.02208
5,7_fda5d05e5a98662a1c47dbb63545ceff3de39d06class,6.82105,9.19368,2.37263,6.82105,6.02316,1.79158,0.15789,7.83789,11.42105,0.2309,-0.02184,-0.02184,4.44211,0.34526,3.51789,0.31579,0.26316,0.34526,4.12632,0.00632,0,0,1.66105,0.20211,0.01684,1.59158,0.02737,0.02526,0.84842,0,3.67158,33.31789,2.01474,0.37895,0.37053,0.02316,0.37895,4.50526,22.10947,7.60421,1.48632,6.92632,0.54105,0.01053,0.02526,0.12211,36.54316,20.48421,0.04632
6,4_afc3df7e64d27550c8e87b2a3b9e99b84874b699class,4.95897,7.44103,2.48205,4.95897,5.02051,1.21026,0.14359,5.48205,2.57436,0.15977,-0.00571,-0.00571,3.85128,0,3.54359,0.04615,0.06154,0.2,3.80513,0.01026,0,0,1.70256,0.03077,0.01026,1.58974,0.02564,0.07692,0.37949,0,0.41026,28.82051,1.72308,0.28718,0.37436,0,1.27692,0.50256,25.67179,7.05128,4.45128,6.11795,0.46667,0.01026,0,0,26.62051,16.73333,0.0359
7,2_a5d9be82d0ddb886551b2c6a9ea14fd5a48ebac8class,5.66327,8.69388,3.03061,5.66327,5.27041,1.68367,0.11224,6.61224,3.30612,0.15081,0,0,3.66327,0.29082,3.09694,0.21429,0.29082,0.06122,3.44898,0.0102,0,0,1.57143,0.10204,0.06122,1.44388,0.0102,0.05612,0.44388,0,2.91837,28.02041,1.70918,0.34694,0.60204,0.03061,0.90306,1.48469,18.27041,6.36224,3.16837,5.70408,0.54082,0.0102,0.0051,0,28.47959,21.95918,0.02041
8,10_27033584f9098713f553af8103de4a181a8018e3class,5.92157,8.96569,3.04412,5.92157,5.38235,1.67157,0.12745,6.77451,3.5,0.14292,0,0,3.68627,0.27941,3.12255,0.21569,0.28922,0.05882,3.47059,0.0098,0.0049,0,1.59804,0.09804,0.05882,1.47059,0.01471,0.05392,0.44608,0,2.55882,28.57843,1.72059,0.34314,0.63235,0.02941,0.85784,1.53922,18.36275,6.52941,3.10294,5.84314,0.56863,0.0098,0.0049,0,30.86765,21.13725,0.02941
9,8_422dc29f38f37649e3df4fcbc5fcdbcaae884d41class,5.92157,8.96569,3.04412,5.92157,5.37255,1.67157,0.12745,6.76471,3.51471,0.14297,0,0,3.67647,0.27941,3.11765,0.21078,0.28922,0.05882,3.46569,0.0098,0.0049,0,1.59804,0.09804,0.05882,1.47059,0.01471,0.05392,0.44608,0,2.55882,28.54412,1.72059,0.34314,0.63235,0.02941,0.85784,1.53922,18.36275,6.52941,3.10294,5.84314,0.56863,0.0098,0.0049,0,30.81373,21.13725,0.02941
