,commitID,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
0,1_47b09ac97ff1adea0ddb9c3d73cb402c8fc9b4b0class,6.67477,9.19502,3.12025,6.67477,5.30405,1.08847,-0.50654,5.40935,3.46916,-0.47249,0.2,0.2,3.95202,0.79315,2.61371,0.17445,0.35202,0.21184,3.17757,0.00623,0.00312,0,1.67913,0.10592,0.0405,1.57944,0.03115,0.02804,0.64174,0,3.72586,27.33146,0.84548,-0.30717,-0.17009,-0.57819,-0.03302,0.97009,21.93894,5.42492,1.59315,4.87975,-0.0891,-0.59065,-0.59688,-0.6,30.27227,19.57134,-0.57819
1,4_848c973de8d9864ff50f5a8ceaefd35564391cc6class,6.52405,9.03671,3.11266,6.52405,5.31835,1.10886,-0.50506,5.42215,3.5557,-0.47326,0.2,0.2,3.92278,0.78671,2.71519,0.18354,0.35759,0.06646,3.13924,0.00633,0.01899,0,1.68987,0.10443,0.04114,1.58861,0.03165,0.02848,0.64557,0,3.70886,27.9,0.86835,-0.28987,-0.16646,-0.57785,-0.02405,0.99177,22.77975,5.59937,1.64051,5.04873,-0.1,-0.59051,-0.59684,-0.6,29.84304,19.87468,-0.57785
2,2_6db5adb4ef265d1220a67135bcf3f645eb49125fclass,6.54322,9.0511,3.10789,6.54322,5.33817,1.10347,-0.50536,5.42839,3.85868,-0.47379,0.2,0.2,3.947,0.78612,2.68454,0.18297,0.35647,0.12303,3.16404,0.00631,0.01893,0,1.68454,0.1041,0.04101,1.5836,0.03155,0.02839,0.64353,0,3.75079,27.86372,0.86372,-0.29085,-0.16782,-0.57792,-0.02587,0.98675,22.70599,5.59243,1.63344,5.04353,-0.10158,-0.59054,-0.59685,-0.6,29.96782,19.81325,-0.57792
3,3_c22a7056781f68b8f346fbd8983dfd7e857b88d0class,6.61875,9.13438,3.11562,6.61875,5.29062,1.09375,-0.50625,5.41875,3.36562,-0.47195,0.2,0.2,3.93438,0.79375,2.64062,0.175,0.35312,0.16562,3.15938,0.00625,0.01875,0,1.68438,0.10625,0.04062,1.58438,0.03125,0.02812,0.64375,0,3.72812,27.38125,0.85,-0.30625,-0.16875,-0.57812,-0.03125,0.975,22.00938,5.44062,1.6,4.89375,-0.09062,-0.59062,-0.59688,-0.6,30.19375,19.63125,-0.57812
0,1_9b06b52145aef24dbcb571ba559d0dce5583fb37class,2.76596,4.02128,1.25532,2.76596,7.29787,2.19149,0.38298,7.80851,7.3617,0.22837,-0.14815,-0.14815,3.25532,0.06383,2,0.42553,0.68085,0.14894,2.87234,0,0,0,1.68085,0.12766,0.02128,1.10638,0.53191,0.02128,0.29787,0,0.53191,39.82979,1.59574,0.3617,1.19149,0.70213,0.02128,6.80851,0.3617,4.48936,1.74468,4.93617,0.91489,0.10638,0.14894,0,49.97872,88.08511,0.89362
0,2_f1fb79280625bc3ebcc658b6b4e39c79683f8dacclass,2.9084,5.17939,2.27099,2.9084,12.55725,1.30916,0.0916,7.94275,130.26336,0.17291,-0.07194,-0.07194,7.14504,0.5916,4.74809,0.34351,0.15649,1.89695,6.81679,0.00763,0.01145,0.06107,1.77481,0.72901,0.43893,1.14885,0.05725,0.12977,0.69084,0,4.68321,49.0916,3.81679,0.60687,2.04198,0.62595,0.69466,11.06489,4.93511,7.41985,2.48092,4.6145,0.71374,0.41985,0.03435,0,47.66031,16.04198,0.04962
1,7_8a43f47550545387e048241300f6c7b6ac6ae7ceclass,2.98519,5.57037,2.58519,2.98519,13.97037,1.22222,0.08889,9.42222,74.65185,0.16673,0,0,6.43704,0.41481,5.74074,0.16296,0.17778,0.35556,6.2963,0.11852,0.00741,1.07407,1.84444,0.54815,0.38519,1.3037,0.02222,0.13333,0.57037,0,5.34074,56.94074,4.47407,0.82222,2.80741,0.78519,0.87407,9.21481,7.04444,8.39259,2.75556,4.92593,0.78519,0.6,0.03704,0,43.31852,15.17037,0.0963
2,6_f315476738d3240da96384891f2d02fa97d2b360class,3.72939,5.73297,2.00358,3.72939,12.01792,1.2043,0.10753,8.2043,81.91219,0.14102,-0.00778,-0.00778,6.38172,0.50896,4.1129,0.28853,0.34946,1.63082,6.11111,0.04659,0.13262,0.04301,1.76165,0.69892,0.37455,1.01792,0.07348,0.2957,0.77061,0,1.88351,50,3.15412,0.82258,2.09319,0.98746,0.62903,10.71685,4.67025,7.35842,2.53943,4.99462,1.46237,0.30466,0.01434,0,45.91219,26.7957,0.1595
3,3_f99a818c9e2c7df095fb59670fb47f6c479f4e1eclass,3.10394,5.39427,2.29032,3.10394,12.56631,1.31183,0.09677,7.82796,95.85663,0.18911,-0.05063,-0.05063,7.27957,0.42294,4.63441,0.319,0.30466,2.02151,6.97849,0.01792,0.14695,0.05018,1.91398,0.80287,0.45878,1.26165,0.06452,0.12903,0.7957,0,4.2509,48.34409,3.94265,0.54122,2.21505,0.54839,0.64875,10.82796,4.42294,7.37993,2.29032,4.70609,0.68817,0.38351,0.02509,0,46.63441,26.5448,0.12186
4,1_83c1c3967b56cc59c9bd241e2a2fe6570fc3f258class,3.37949,6.43077,3.05128,3.37949,13.85641,1.36923,0.11282,10.11795,123.81538,0.20616,-0.0241,-0.0241,6.86154,0.72308,5.68205,0.33846,0.25128,0.58974,6.54359,0.01026,0.01026,0.08205,2.09744,0.67692,0.34872,1.43077,0.16923,0.14872,0.64103,0,6.35897,58.72308,4.5641,0.8,2.74359,0.80513,0.82564,13.68718,6.32821,9.29231,2.70769,5.70256,0.89744,0.52308,0.04615,0,45.62051,15.89231,0.06667
5,8_568046419bbc2f1399948bce9a1d40009792bffbclass,3.04194,5.39677,2.35484,3.04194,12.32581,1.21935,0.1,7.68065,97.32903,0.17898,-0.00599,-0.00599,7.33548,0.42903,4.76774,0.37097,0.22903,1.96774,6.98387,0.05161,0.17742,0.05484,1.99677,0.74516,0.42258,1.18387,0.05161,0.33871,0.75161,0,2.07097,47.6871,3.87742,0.50323,2.14194,0.53226,0.59677,10.05484,3.74839,7.31613,2.14839,4.79355,0.67097,0.41613,0.02258,0,47.54839,25.23871,0.12903
