,commitID,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
0,1_c22a7056781f68b8f346fbd8983dfd7e857b88d0class,6.01875,8.53438,2.51562,6.01875,4.69062,1.69375,0.09375,6.01875,2.76562,0.12805,-0.16385,-0.16085,3.33438,0.19375,2.64062,0.175,0.35312,0.16562,3.15938,0.00625,0.01875,0,1.68438,0.10625,0.04062,1.58438,0.03125,0.02812,0.64375,0,3.72812,27.98125,1.45,0.29375,0.43125,0.02188,0.56875,1.575,22.60938,6.04062,2.2,5.49375,0.50938,0.00938,0.00312,0,30.79375,20.23125,0.02188
1,2_848c973de8d9864ff50f5a8ceaefd35564391cc6class,5.92405,8.43671,2.51266,5.92405,4.71835,1.70886,0.09494,6.02215,2.9557,0.12674,-0.11385,-0.11005,3.32278,0.18671,2.71519,0.18354,0.35759,0.06646,3.13924,0.00633,0.01899,0,1.68987,0.10443,0.04114,1.58861,0.03165,0.02848,0.64557,0,3.70886,28.5,1.46835,0.31013,0.43354,0.02215,0.57595,1.59177,23.37975,6.19937,2.24051,5.64873,0.5,0.00949,0.00316,0,30.44304,20.47468,0.02215
2,3_f697f91191561779b933262d181832c9abfb949class,5.98119,8.49843,2.51724,5.98119,4.67398,1.69906,0.09404,6.01254,2.55172,0.12848,-0.06385,-0.09985,3.31348,0.19436,2.65831,0.17555,0.35737,0.12226,3.13793,0.00627,0.01881,0,1.68966,0.10658,0.04075,1.58934,0.03135,0.02821,0.64577,0,3.7116,28.03135,1.45455,0.29467,0.4326,0.02194,0.57053,1.57994,22.68025,6.05956,2.2069,5.51097,0.50784,0.0094,0.00313,0,30.68966,20.29154,0.02194
3,4_040903ab5d8e656706fd6c5859c7724ca9b7f69class,5.89524,8.39048,2.49524,5.89524,4.72063,1.71111,0.09524,6.03175,2.93333,0.13002,-0.12385,-0.11985,3.32381,0.1873,2.74286,0.18413,0.35873,0.0381,3.13968,0.00635,0.01905,0,1.69524,0.10476,0.04127,1.59365,0.03175,0.02857,0.64762,0,3.68571,28.52381,1.46032,0.31111,0.43492,0.02222,0.57778,1.59365,23.44762,6.20952,2.24762,5.66032,0.49524,0.00952,0.00317,0,30.4254,20.53651,0.02222
0,1_afb7948ff28f07e01891299c10157f3390572d1class,2.69565,3.8913,1.19565,2.69565,7.45652,2.13043,0.36957,7.80435,9.47826,0.21919,-0.15385,-0.15385,3.32609,0.06522,2.04348,0.43478,0.69565,0.15217,2.93478,0,0,0,1.71739,0.13043,0.02174,1.13043,0.54348,0.02174,0.30435,0,0.54348,40.65217,1.63043,0.36957,1.21739,0.71739,0.02174,6.95652,0.36957,4.58696,1.78261,5.04348,0.8913,0.1087,0.15217,0,49.67391,67.71739,0.91304
0,8_386bbde205af3cc25bd87a21a509ba1224b2713class,3.03268,5.39542,2.36275,3.03268,12.42484,1.20915,0.08824,7.7451,98.5817,0.18067,-0.00613,-0.00613,7.39216,0.43137,4.80065,0.37582,0.23203,1.98366,7.03268,0.04248,0.17974,0.05556,2.01307,0.7451,0.4281,1.18954,0.05229,0.34314,0.75163,0,1.88889,48.08497,3.91503,0.5098,2.16013,0.53595,0.60458,10.15686,3.79739,7.37908,2.16667,4.83987,0.67647,0.42157,0.02288,0,47.84967,22.11438,0.11111
1,7_73de2f99302a27bb23fa4d33fe10abf4c4b2d96class,2.97015,5.53731,2.56716,2.97015,13.70896,1.20149,0.08209,9.41791,74.0597,0.1683,0,0,6.31343,0.41791,5.61194,0.16418,0.1791,0.35821,6.17164,0.00746,0.00746,1.08209,1.80597,0.55224,0.38806,1.26119,0.02239,0.13433,0.57463,0,5.33582,56.68657,4.33582,0.82836,2.58209,0.79104,0.80597,9.1791,6.88806,8.26866,2.55224,4.88806,0.79104,0.60448,0.03731,0,43.10448,7.63433,0.09701
2,2_6d6f6edfdab713d3054f341dfa22d690cd43b77class,3.27711,6.05622,2.77912,3.27711,12.80723,1.32932,0.09639,8.09639,133.57831,0.18172,-0.07937,-0.07937,7.05622,0.62249,4.99598,0.36546,0.16466,1.53012,6.70683,0.00803,0.01205,0.06426,1.86747,0.76707,0.46185,1.20884,0.06024,0.13655,0.72691,0,5.07631,51.16466,4.07229,0.63855,2.18474,0.65863,0.73092,11.63855,5.19679,7.80723,2.61044,4.85542,0.751,0.44177,0.03614,0,47.81526,12.77108,0.05221
3,1_918aac62663360c1692e716bb920522e65df134class,3.29947,6.27807,2.97861,3.29947,13.8984,1.32086,0.10695,10.15508,122.42781,0.19648,-0.02667,-0.02667,6.81818,0.75401,5.70053,0.33155,0.24599,0.54011,6.50802,0.0107,0.00535,0.08556,2.02139,0.64706,0.3369,1.39572,0.15508,0.13369,0.59893,0,6.48663,59.03209,4.45989,0.81818,2.76471,0.78075,0.82353,13.89305,6.39572,9.32086,2.74332,5.6738,0.90374,0.54545,0.04813,0,45.44385,16.4492,0.06952
4,9_bb4e2bc8a01d8d17cba3dff7ac8e5ad0ab1e232class,3.32086,5.72727,2.40642,3.32086,12.25401,1.24332,0.12834,7.75668,101.32086,0.17776,-0.0099,-0.0099,7.29679,0.43048,4.80481,0.37701,0.20856,1.90642,6.9385,0.06952,0.1738,0.04813,1.99733,0.69786,0.40374,1.2139,0.05882,0.32086,0.72995,0,1.97059,47.42246,3.80481,0.46257,2.16845,0.52406,0.57487,9.79679,3.85027,7.3877,2.20588,4.85294,0.6631,0.3984,0.03209,0,46.66845,30.64706,0.14973
5,10_d85cb0b68b961f73a9352cba5895da98d96d55fclass,3.11712,5.46547,2.34835,3.11712,12.44745,1.22823,0.10811,7.73273,102.24324,0.17865,-0.00571,-0.00571,7.44745,0.42643,4.87387,0.37237,0.21622,1.98498,7.09309,0.06907,0.16517,0.05105,2.02402,0.74474,0.42042,1.21622,0.04805,0.33934,0.78078,0,1.90991,48.09309,3.93393,0.49249,2.16216,0.55556,0.59159,10.003,3.96396,7.3964,2.18318,4.82583,0.65465,0.41742,0.02102,0,47.54054,27.91291,0.15916
6,4_afab59d97c640b0af3949a1c2f8e5fd04c10288class,3.11404,5.49708,2.38304,3.11404,12.38596,1.22515,0.10526,7.73684,100.23392,0.17595,-0.01087,-0.01087,7.34211,0.4269,4.79532,0.37427,0.2193,1.95322,6.98538,0.06725,0.16374,0.04971,1.99415,0.70468,0.40643,1.17836,0.04678,0.36257,0.73392,0,2.01462,47.59064,3.92398,0.48246,2.22807,0.54386,0.59357,9.81579,4.02339,7.34211,2.19591,4.77193,0.65497,0.40643,0.02047,0,47.25731,27.23977,0.15497
7,3_8555652e26581e4196bbd36dffa086178c4be7eclass,3.10469,5.45126,2.34657,3.10469,12.61011,1.30325,0.09747,7.85921,96.35018,0.18672,-0.05128,-0.05128,7.2852,0.42599,4.65704,0.3213,0.27437,2.03249,6.98195,0.01083,0.14801,0.05054,1.92419,0.80505,0.46209,1.26715,0.06498,0.12996,0.79783,0,4.28159,48.55957,3.95668,0.54513,2.23105,0.55235,0.65343,10.90614,4.45126,7.42599,2.30686,4.73646,0.69314,0.38628,0.02527,0,46.66065,23.0361,0.12274
