,commitID,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
0,2_559e64534e8f14ceba25bf155375c0f2eb00167dclass,7.52471,9.81042,2.88571,7.52471,5.4888,2.37799,0.79498,7.54286,11.50425,0.81511,-0.21969,-0.21969,3.91737,-0.25251,3.64093,0.2973,0.25097,0.32819,4.22008,0.00579,0,0,1.60232,0.16023,0.01931,1.53089,0.0251,0.02703,0.82239,0,3.23166,32.90772,1.47336,-0.24479,-0.2332,-0.57104,-0.2332,3.59498,21.80347,7.10077,0.79189,6.46371,-0.07104,-0.59035,-0.57683,-0.45714,36.31892,16.28996,-0.55174
1,3_6db5adb4ef265d1220a67135bcf3f645eb49125fclass,6.54322,9.0511,3.10789,6.54322,4.13817,2.30347,0.69464,5.42839,2.65868,0.72621,-0.2,-0.2,2.747,-0.41388,2.68454,0.18297,0.35647,0.12303,3.16404,0.00631,0.01893,0,1.68454,0.1041,0.04101,1.5836,0.03155,0.02839,0.64353,0,3.75079,27.86372,0.86372,-0.29085,-0.16782,-0.57792,-0.02587,0.98675,22.70599,5.59243,1.63344,5.04353,-0.10158,-0.59054,-0.59685,-0.6,29.96782,19.81325,-0.57792
2,4_c22a7056781f68b8f346fbd8983dfd7e857b88d0class,6.61875,9.13438,3.11562,6.61875,4.09062,2.29375,0.69375,5.41875,2.16562,0.72805,-0.2,-0.2,2.73438,-0.40625,2.64062,0.175,0.35312,0.16562,3.15938,0.00625,0.01875,0,1.68438,0.10625,0.04062,1.58438,0.03125,0.02812,0.64375,0,3.72812,27.38125,0.85,-0.30625,-0.16875,-0.57812,-0.03125,0.975,22.00938,5.44062,1.6,4.89375,-0.09062,-0.59062,-0.59688,-0.6,30.19375,19.63125,-0.57812
3,8_08659d8d729e1477a5c989b04819607db9b0c9abclass,6.38049,8.28564,2.50515,6.38049,4.51111,2.29106,0.70298,5.85528,2.50569,0.74274,-0.23254,-0.23254,2.89051,-0.38049,2.70461,0.23306,0.32249,0.23035,3.25745,0.00542,0.00271,0,1.74255,0.11382,0.03523,1.64228,0.03252,0.03252,0.65583,0,1.98645,29.36206,1.13171,-0.21247,-0.09864,-0.57832,-0.1664,4.68726,21.09377,5.97182,0.95285,5.30244,-0.06341,-0.59187,-0.57019,-0.57019,32.21301,19.85257,-0.58374
4,9_0914da57a96d6270ebc8d1a954e88eb454d02d10class,6.68213,9.78841,3.70628,6.68213,4.37101,2.27633,0.74493,6.40483,3.40966,0.75533,-0.2,-0.2,3.11498,-0.37295,3.24638,0.1401,0.27053,0.05797,3.57488,0.00966,0.00483,0,1.71981,0.07729,0.04348,1.61836,0.00483,0.05314,0.45894,0,2.67633,28.19227,0.96039,-0.23285,-0.2715,-0.57101,0.16812,0.71401,18.72367,6.58841,2.34203,5.87826,-0.0686,-0.59034,-0.6,-0.6,30.35169,20.16812,-0.58551
5,6_7c87fcd0623843e8d1ffe7d21f812306736d79b3class,6.50236,8.9266,3.02424,6.50236,4.10707,2.34747,0.69764,5.39663,2.29899,0.72711,-0.2,-0.2,2.7165,-0.40471,2.73401,0.18855,0.35354,0.0404,3.12795,0.00673,0.0202,0,1.63973,0.08418,0.04377,1.53872,0.02357,0.03367,0.58586,0,3.25589,27.62559,0.90505,-0.31044,-0.12862,-0.5798,-0.00067,1.0431,21.86465,5.54141,1.73333,4.97576,-0.09832,-0.5899,-0.59663,-0.6,29.28552,21.12054,-0.5798
6,7_027e31d5c84161fc68573c627d60be06941b0021class,5.79251,7.82995,2.63743,5.79251,5.94011,1.8246,0.76578,5.05775,1.82781,0.75797,-0.2,-0.2,3.66738,-0.59465,3.94118,0.03743,0.06952,0.21925,4.22995,0.0107,0,0,1.65241,0.02139,0,1.5508,0.02674,0.07487,0.32086,0,1.13369,32.48556,2.0631,-0.32193,0.82246,-0.6,1.40535,-0.07594,27.40535,7.20214,4.33583,5.99358,-0.01711,-0.5893,-0.6,-0.6,26.17005,16.80642,-0.56257
7,5_776e71190dd77dea9e0aee9e2e193767e99c370aclass,6.44307,8.93577,3.0927,6.44307,4.25036,2.34818,0.70584,5.57518,2.45839,0.73357,-0.2,-0.2,2.81241,-0.38832,2.82117,0.20438,0.34307,0.0438,3.20803,0.0073,0.0219,0,1.62409,0.07664,0.04745,1.5292,0.01095,0.0365,0.52555,0,2.82847,27.83066,0.98029,-0.30438,-0.09635,-0.5781,0.04964,1.19197,21.10438,5.64818,1.91825,5.04964,-0.0927,-0.5927,-0.59635,-0.6,29.19562,19.12993,-0.5781
8,1_7a4d241413e471e7e16b9c1818bf9fd269b3a52dclass,7.31194,9.47588,2.76393,7.31194,5.27588,2.47822,0.75925,7.00422,10.6459,0.83132,-0.22941,-0.22941,3.62717,-0.30023,3.32553,0.28103,0.28103,0.33958,3.94614,0.00468,0,0,1.69555,0.21311,0.01405,1.61593,0.03044,0.03513,0.76347,0,3.09133,31.72787,1.34848,-0.21124,-0.15738,-0.57658,-0.14333,4.22201,20.60375,6.48899,0.91288,5.80515,-0.06136,-0.59297,-0.5719,-0.48993,35.26183,24.42342,-0.5555
9,10_424aa23db514ea19fa9da6c8ec89665d380587a5class,7.296,9.56533,2.86933,7.296,5.13333,2.56267,0.74133,6.27467,9.248,0.83529,-0.23143,-0.23143,3.53067,-0.34667,3.216,0.24,0.32,0.35467,3.89067,0.00533,0.00267,0,1.79467,0.14133,0.016,1.70933,0.03733,0.032,0.71733,0,2.2,31.32267,1.28267,-0.208,-0.14933,-0.57867,-0.12267,4.53067,21.83733,6.10933,0.97067,5.4,-0.05867,-0.592,-0.568,-0.568,34.72,25.024,-0.584
