,commitID,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
0,1_fc57f88642c3438a1bbb5a4804e2f174a0c6e7a0class,6.73474,8.90845,2.17371,6.73474,5.89202,1.86854,0.15023,7.62441,11.28169,0.2315,-0.02918,-0.02918,4.23709,0.30047,3.32864,0.28169,0.28638,0.34038,3.9554,0.00469,0,0,1.69484,0.21362,0.01408,1.61502,0.03052,0.03521,0.76056,0,3.07277,32.38498,1.95775,0.38967,0.44836,0.02347,0.45775,4.83099,21.21362,7.11502,1.51643,6.42019,0.53991,0.00704,0.02817,0.11033,35.92488,22.67606,0.04225
1,10_41c0ca90523e634160c9e4f4e9f8bd2bd8aa5a50class,5.92553,7.91755,1.99202,5.92553,5.42287,1.68085,0.10106,6.80851,9.30053,0.17211,-0.03207,-0.03207,3.82447,0.24734,2.91223,0.23936,0.31915,0.35372,3.58511,0.00532,0.00266,0,1.78723,0.14628,0.01596,1.70745,0.03191,0.03191,0.70479,0,2.19681,30.94681,1.875,0.39096,0.45213,0.02128,0.4734,5.10904,22.39362,6.67819,1.56117,5.98138,0.53989,0.00798,0.03191,0.03191,34.44149,20.1117,0.01596
2,8_805f761fafd0aeab2da638a7827e0635c0261757class,5.71111,7.58611,1.875,5.71111,5.18056,1.68333,0.10278,6.42778,3.38611,0.1417,-0.03333,-0.03333,3.53889,0.21667,2.75,0.24167,0.33056,0.21667,3.29722,0.00556,0.00278,0,1.71944,0.11667,0.03611,1.62222,0.03333,0.02778,0.66667,0,1.81667,30.16111,1.74722,0.39444,0.5,0.02222,0.43056,5.41389,21.83611,6.52222,1.56667,5.89167,0.55833,0.00833,0.03056,0.03056,32.58333,20.93889,0.01667
3,4_f697f91191561779b933262d181832c9abfb9497class,5.98119,8.49843,2.51724,5.98119,4.67398,1.69906,0.09404,6.01254,2.55172,0.12848,0,0,3.31348,0.19436,2.65831,0.17555,0.35737,0.12226,3.13793,0.00627,0.01881,0,1.68966,0.10658,0.04075,1.58934,0.03135,0.02821,0.64577,0,3.7116,28.03135,1.45455,0.29467,0.4326,0.02194,0.57053,1.57994,22.68025,6.05956,2.2069,5.51097,0.50784,0.0094,0.00313,0,30.68966,20.29154,0.02194
4,9_a82d8bc2f4d5f1c34f6f6442f769b62f28191256class,5.83495,8.70388,2.86893,5.83495,5.06796,1.42233,0.14563,6.83981,4.1068,0.18213,0,0,3.81068,0.22816,3.34466,0.14078,0.27184,0.0534,3.6699,0.00971,0,0,1.7233,0.07767,0.04369,1.62136,0.00485,0.0534,0.46117,0,2.39806,28.90291,1.64078,0.36893,0.32524,0.02913,0.77184,1.31553,19.42233,7.24272,2.95631,6.50485,0.52913,0.00971,0,0,30.90291,15.8932,0.01456
5,6_34956d55ef0fabf527e07e1b3f06696e1b89b689class,5.87162,8.28041,2.40878,5.87162,4.69932,1.72635,0.09797,6.02027,2.89527,0.12876,0,0,3.3277,0.19595,2.74324,0.18919,0.35473,0.04054,3.13851,0.00676,0.02027,0,1.64527,0.08108,0.04392,1.5473,0.02027,0.03378,0.58784,0,3.38514,28.46284,1.52365,0.28041,0.46959,0.02027,0.60135,1.66892,23.21959,6.11824,2.36486,5.54392,0.48311,0.01014,0.00338,0,29.64865,18.33108,0.02027
6,7_b3f31d90e09789527a1f9b81c25eb775c59196edclass,5.3027,7.38378,2.08108,5.3027,7.06486,1.17297,0.11351,5.98378,3.41622,0.16851,0,0,4.56216,0.00541,4.22703,0.03784,0.07027,0.22703,4.52432,0.01081,0,0,1.67027,0.02162,0,1.56757,0.02703,0.07568,0.32432,0,1.14595,35.2,3.05405,0.31892,1.6,0,2.14054,0.55676,28.47027,8.10811,5.09189,6.83243,0.60541,0.01081,0,0,27.97297,12.04865,0.03784
7,5_b848a1bb29cd2c28a62dea43f795062af6740eb3class,5.88104,8.44981,2.56877,5.88104,4.89591,1.73234,0.09665,6.26394,3.08922,0.1342,0,0,3.43123,0.21561,2.83643,0.20818,0.34201,0.04461,3.22305,0.00743,0.0223,0,1.63941,0.07807,0.04833,1.54275,0.01115,0.03717,0.52045,0,2.69888,28.75836,1.60223,0.30112,0.51301,0.0223,0.66171,1.82528,22.09294,6.34944,2.56134,5.73978,0.51673,0.00743,0.00372,0,29.91822,16.27138,0.0223
8,2_c85c639d5d5eed986398c4a5759c32bb55e21171class,6.94186,9.25775,2.31589,6.94186,6.10078,1.78101,0.1938,8.14729,12.17054,0.21542,-0.01974,-0.01974,4.52519,0.34884,3.64535,0.29845,0.25194,0.32946,4.22674,0.00581,0,0,1.5969,0.15116,0.01938,1.52519,0.02519,0.02713,0.81395,0,3.25775,33.53101,2.0814,0.35659,0.36628,0.02907,0.36628,4.21124,22.47287,7.67054,1.39341,7.03295,0.53101,0.00969,0.02326,0.14341,36.85271,16.95155,0.04845
9,3_848c973de8d9864ff50f5a8ceaefd35564391cc6class,5.92405,8.43671,2.51266,5.92405,4.71835,1.70886,0.09494,6.02215,2.9557,0.12674,0,0,3.32278,0.18671,2.71519,0.18354,0.35759,0.06646,3.13924,0.00633,0.01899,0,1.68987,0.10443,0.04114,1.58861,0.03165,0.02848,0.64557,0,3.70886,28.5,1.46835,0.31013,0.43354,0.02215,0.57595,1.59177,23.37975,6.19937,2.24051,5.64873,0.5,0.00949,0.00316,0,30.44304,20.47468,0.02215
