,commitID,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
0,10_427635094f166f421d00a94cea30e361e2d4ff73class,3.72252,5.72432,2.0018,3.72252,11.99459,1.20901,0.10811,8.26486,82.74595,0.14145,-0.00787,-0.00787,6.36036,0.51351,4.13333,0.29369,0.35135,1.58198,6.08468,0.04685,0.13514,0.04324,1.77297,0.7027,0.37658,1.02523,0.07387,0.2973,0.77658,0.0,1.9009,50.22703,3.16396,0.82883,2.07207,0.99279,0.58198,10.76937,4.63964,7.39099,2.51171,5.02523,1.47027,0.30631,0.01441,0.0,45.74595,26.93514,0.16036
1,6_897ae29be2600c8e1899fd2f47270010d660e3e1class,3.00373,5.29478,2.29104,3.00373,12.79478,1.29104,0.09701,8.03358,118.30597,0.18481,-0.05442,-0.05442,7.27612,0.46269,4.72388,0.3694,0.25746,1.92537,6.92537,0.00746,0.15299,0.05224,1.95896,0.83582,0.47761,1.27985,0.06716,0.13433,0.8097,0.0,4.12687,49.29851,4.0709,0.55597,2.3097,0.56716,0.68284,10.91418,4.60821,7.48507,2.36567,4.79104,0.70896,0.39925,0.02612,0.0,47.98881,19.78731,0.04851
2,1_9f291c7f73a1deebc6146172c44673616d0053dfclass,3.01128,5.30451,2.29323,3.01128,13.25188,1.29323,0.09774,8.18797,132.10902,0.18415,-0.05634,-0.05634,7.59023,0.44361,5.02256,0.35338,0.27444,1.93985,7.2594,0.00752,0.15414,0.05263,1.94361,0.81579,0.47368,1.27068,0.06391,0.13534,0.80827,0.0,4.45865,50.82331,4.02256,0.57895,2.31955,0.59023,0.71053,11.05639,4.78571,7.92481,2.42857,4.82707,0.71429,0.40602,0.02632,0.0,47.84586,19.92481,0.04887
3,8_669a1c68febba90aa42e1498df1c7b7cb85b58cbclass,3.43204,6.57282,3.14078,3.43204,14.16505,1.40777,0.13592,10.02427,156.7767,0.20841,-0.02273,-0.02273,7.24272,0.71845,5.93204,0.36408,0.24757,0.69903,6.89806,0.00971,0.01456,0.07767,2.1165,0.77184,0.4466,1.42718,0.07282,0.1699,0.73301,0.0,6.40291,59.35437,4.67961,0.7767,2.67476,0.80583,0.83495,14.00971,6.13107,9.20874,2.89806,5.63592,0.8932,0.51942,0.04854,0.0,46.5,15.14078,0.06311
4,5_15bfe13528b21f3ba3d4d55b5ed65d11d82a2a12class,3.37273,5.24909,1.87636,3.37273,10.72545,1.23818,0.12909,7.81636,81.43091,0.14944,-0.00816,-0.00816,6.16182,0.52,4.07091,0.32364,0.27455,1.49273,5.85636,0.06,0.13455,0.04,1.64182,0.62182,0.31818,0.98909,0.06727,0.26727,0.64182,0.0,2.00545,44.43818,2.96909,0.53273,1.73455,0.67091,0.55455,8.39273,4.25818,6.68182,2.24,4.51636,0.88545,0.32727,0.03273,0.0,42.86727,29.02,0.09636
5,3_95f82f93cecd54162a3203f9e1e903ace5c8ca01class,3.02247,5.31461,2.29213,3.02247,13.13109,1.31461,0.09363,8.10112,132.15356,0.18649,-0.05594,-0.05594,7.5618,0.44195,4.99625,0.35955,0.2809,1.92509,7.22472,0.00749,0.15356,0.05243,1.94382,0.81273,0.47191,1.25468,0.06367,0.15356,0.79026,0.0,4.34457,50.52809,3.96255,0.59176,2.27715,0.5618,0.70037,10.97753,4.70787,7.82772,2.397,4.81273,0.71536,0.40449,0.03371,0.0,47.7191,19.85019,0.04869
6,2_6b829007fd74601bfd9cb36e9e6817bd4e9b7d80class,3.31148,5.74317,2.43169,3.31148,12.23224,1.2459,0.13115,7.81421,97.89891,0.18097,-0.0101,-0.0101,7.22951,0.43989,4.75137,0.37432,0.21311,1.89071,6.87432,0.07104,0.1776,0.04645,1.98907,0.69672,0.39617,1.21038,0.06011,0.3224,0.72678,0.0,2.00273,47.3306,3.86612,0.47268,2.18579,0.53552,0.5765,9.82514,3.88525,7.37705,2.21858,4.87158,0.6776,0.39344,0.03279,0.0,47.03005,31.3224,0.14481
7,7_f4e2d8226130ab2446be1e6597aec18418de7cadclass,3.19597,5.64841,2.45245,3.19597,12.31412,1.22767,0.10951,7.74352,98.82421,0.17697,-0.01064,-0.01064,7.27666,0.42363,4.75216,0.37464,0.21614,1.93372,6.92219,0.07205,0.18444,0.04899,1.97118,0.69741,0.40058,1.17291,0.05476,0.34294,0.72334,0.0,2.05476,47.28242,3.90778,0.48127,2.23343,0.54467,0.59078,9.71182,3.97695,7.30259,2.17291,4.74063,0.66571,0.40058,0.02017,0.0,46.99712,29.8098,0.14986
8,9_0dfc83a09c672f64d9280a11af1bb309d6f80a7cclass,3.3248,5.22441,1.89961,3.3248,11.0315,1.21654,0.11614,8.00197,85.42717,0.15277,-0.00893,-0.00893,6.23622,0.54528,4.1752,0.33268,0.17126,1.55709,5.92323,0.05906,0.13976,0.03937,1.68504,0.63189,0.32283,1.03937,0.04921,0.27362,0.65551,0.0,2.02362,45.19291,3.1122,0.56102,1.80512,0.68504,0.57874,8.71063,4.33661,6.84055,2.29331,4.61614,0.89961,0.32283,0.02953,0.0,43.74213,25.07677,0.10236
9,4_4cccd867fb224162fa8ec6383805fdbe40acad23class,3.41176,6.39572,2.98396,3.41176,13.90374,1.31551,0.1123,10.11765,122.50267,0.19593,-0.02667,-0.02667,6.85027,0.77005,5.73262,0.3262,0.24599,0.54545,6.54545,0.0107,0.00535,0.08556,2.04278,0.66845,0.3369,1.42781,0.13369,0.14439,0.60963,0.0,6.49198,59.25668,4.54545,0.81818,2.7861,0.7754,0.85027,14.18717,6.43316,9.52406,2.80214,5.7754,0.93048,0.54545,0.04813,0.0,45.72193,16.4492,0.06952
