,commitID,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
0,4_f03a5c8f42549862b70a58f96e5ae95dcef95c4class,3.20091,6.0411,2.84018,3.20091,12.90868,1.26027,0.09589,9.10959,221.0137,0.16408,-0.02778,-0.02778,6.92237,0.65753,5.93607,0.27397,0.19178,0.52055,6.66667,0.00913,0.00457,0.07306,1.75342,0.62557,0.34247,1.21461,0.08676,0.10959,0.57534,0.0,5.57534,54.47032,4.22831,0.6895,2.38356,0.67123,0.73516,12.42009,5.76256,8.10046,2.53881,4.88128,0.77626,0.6347,0.03653,0.0,40.55251,13.85845,0.05936
1,10_cbec660116b294cb752d540dd7988b9d62560faclass,3.76248,5.75215,1.98967,3.76248,12.03959,1.23064,0.13253,8.24269,87.51635,0.14889,-0.00752,-0.00752,6.49742,0.51463,4.25301,0.3167,0.33907,1.58864,6.19793,0.0568,0.13253,0.04303,1.75904,0.69707,0.36145,1.04131,0.07057,0.28571,0.76764,0.0,1.87952,50.86231,3.22203,0.81583,2.0568,0.99139,0.56282,10.67298,4.50258,7.37349,2.46988,5.04475,1.47332,0.31842,0.02754,0.0,45.59208,27.63167,0.15318
2,2_a93530314fe8068a2704aa2052ad0d651148352class,3.29121,5.72802,2.43681,3.29121,12.25549,1.24176,0.12637,7.7967,98.45879,0.1784,-0.01015,-0.01015,7.25824,0.44231,4.76923,0.37363,0.21429,1.9011,6.90385,0.07143,0.17857,0.0467,1.98626,0.69231,0.3956,1.20604,0.06044,0.32418,0.72527,0.0,2.01648,47.34066,3.87912,0.47527,2.18407,0.53571,0.57967,9.81319,3.89286,7.3544,2.21703,4.83516,0.67308,0.3956,0.03022,0.0,46.89011,31.46429,0.1456
3,6_7042dcfdb681d73e29943ba71863cadc0523635class,3.0,5.29213,2.29213,3.0,12.77903,1.29213,0.09738,8.05243,120.88015,0.18478,-0.05479,-0.05479,7.25843,0.44944,4.68539,0.37079,0.27715,1.92509,6.90637,0.00749,0.15356,0.05243,1.96629,0.82397,0.4794,1.28839,0.06742,0.13109,0.80524,0.0,4.13483,49.26966,4.02996,0.55805,2.29588,0.56929,0.68539,10.94382,4.59551,7.4794,2.37079,4.77903,0.70787,0.40075,0.02622,0.0,48.00749,16.02622,0.04869
4,3_02254c25b4012a1b1c36e829edee45f42affd25class,2.91188,5.18774,2.27586,2.91188,12.96935,1.31034,0.09195,7.90038,140.19157,0.17647,-0.07246,-0.07246,7.59004,0.5977,5.13793,0.341,0.15709,1.95402,7.26437,0.00766,0.01149,0.0613,1.78161,0.7318,0.44061,1.14559,0.06513,0.13027,0.69349,0.0,4.61303,50.08429,3.83908,0.60536,2.05364,0.58621,0.69732,11.0613,4.88506,7.74713,2.48276,4.61686,0.71264,0.42146,0.03448,0.0,47.54789,16.10345,0.04981
5,9_aa9f45d2700458c344691c74d71be612656b04bclass,3.36382,5.29821,1.93439,3.36382,11.18091,1.22266,0.1173,8.08748,86.43738,0.16009,-0.00873,-0.00873,6.34791,0.54871,4.24652,0.35586,0.17296,1.57256,6.01193,0.05964,0.14115,0.03976,1.71571,0.63817,0.32604,1.06362,0.0497,0.27634,0.66203,0.0,2.03777,45.66203,3.14115,0.56064,1.82306,0.68986,0.58449,8.78529,4.38569,6.90457,2.3161,4.66004,0.90457,0.3161,0.02982,0.0,44.2505,25.33598,0.10338
6,1_1eba488d80bc4ea3894f3ffe8c4a472b678a1c4class,3.02642,5.33962,2.31321,3.02642,13.23774,1.30189,0.09434,8.1283,133.12453,0.18193,-0.05674,-0.05674,7.60755,0.44528,5.03019,0.36226,0.27547,1.93962,7.26792,0.00755,0.15472,0.05283,1.9434,0.81132,0.47547,1.26792,0.06415,0.13585,0.79245,0.0,4.36604,50.63774,4.01509,0.57736,2.32075,0.56981,0.70943,11.06038,4.72075,7.86792,2.43019,4.81887,0.71321,0.40755,0.02642,0.0,47.90189,19.99623,0.04906
7,7_afab59d97c640b0af3949a1c2f8e5fd04c10288class,3.11404,5.49708,2.38304,3.11404,12.38596,1.22515,0.10526,7.73684,100.23392,0.17595,-0.01087,-0.01087,7.34211,0.4269,4.79532,0.37427,0.2193,1.95322,6.98538,0.06725,0.16374,0.04971,1.99415,0.70468,0.40643,1.17836,0.04678,0.36257,0.73392,0.0,2.01462,47.59064,3.92398,0.48246,2.22807,0.54386,0.59357,9.81579,4.02339,7.34211,2.19591,4.77193,0.65497,0.40643,0.02047,0.0,47.25731,27.23977,0.15497
8,5_931573b9cace2391f7b82a9f8637ee0c67999daclass,3.38208,5.27057,1.88848,3.38208,10.77879,1.23949,0.1298,7.84644,82.06947,0.15194,-0.0082,-0.0082,6.1883,0.52102,4.08044,0.3309,0.27605,1.50091,5.87569,0.06033,0.13528,0.04022,1.65448,0.62157,0.31993,1.00183,0.06764,0.26508,0.64534,0.0,2.0128,44.47898,2.99086,0.53199,1.74771,0.67824,0.55759,8.40951,4.27422,6.71846,2.23766,4.54296,0.88665,0.32541,0.03291,0.0,43.04205,29.15174,0.09689
9,8_e8f2510f1e3115ba00c4d5e09021833b6984436class,3.41951,6.54634,3.12683,3.41951,14.19512,1.40976,0.13659,10.03415,157.56585,0.20667,-0.02299,-0.02299,7.24878,0.71707,5.93659,0.36585,0.24878,0.69756,6.90244,0.00976,0.01463,0.07805,2.12195,0.77561,0.44878,1.43415,0.07317,0.16585,0.73659,0.0,6.42927,59.50244,4.70244,0.78049,2.6878,0.80976,0.83902,14.06341,6.14146,9.2439,2.90732,5.65366,0.89268,0.52195,0.04878,0.0,46.49756,15.20976,0.06341
