,commitID,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
0,8_512f9ed199a765aa7e8e320bbbc95f1db4e83757class,6.62326,9.15523,3.13198,6.62326,5.65233,2.29477,-0.49244,6.98953,3.89651,0.7342,0.17785,0.17785,4.10581,0.80058,2.72674,0.24419,0.3314,0.20349,3.26163,0.00581,0.00291,0,1.61919,0.08721,0.03779,1.52616,0.02907,0.02616,0.625,0,4.15116,29.15291,1.65116,0.99535,1.07965,0.62326,1.00116,6.16686,22.73081,7.07674,2.11744,6.42849,1.14942,0.60872,0.62035,0.62326,32.86163,22.46628,0.61744
1,5_744de0d2ebd52b3f80b6d70511cf8cecc70499e1class,7.46105,9.81684,2.95579,7.46105,6.62316,2.39158,-0.44211,8.44421,12.02105,0.83502,0.17816,0.17816,5.04211,0.94526,3.51789,0.31579,0.26316,0.34526,4.12632,0.00632,0,0,1.67368,0.21474,0.01684,1.60421,0.02737,0.02526,0.86105,0,4.34316,32.73053,2.01474,0.97895,0.97053,0.62316,0.97895,5.10526,22.72211,8.21684,2.08632,7.53895,1.14105,0.61053,0.62526,0.72211,37.23158,21.08421,0.64632
2,6_424aa23db514ea19fa9da6c8ec89665d380587a5class,7.296,9.56533,2.86933,7.296,6.33333,2.56267,-0.45867,7.47467,10.448,0.83529,0.16857,0.16857,4.73067,0.85333,3.216,0.24,0.32,0.35467,3.89067,0.00533,0.00267,0,1.79467,0.14133,0.016,1.70933,0.03733,0.032,0.71733,0,2.2,31.32267,1.88267,0.992,1.05067,0.62133,1.07733,5.73067,23.03733,7.30933,2.17067,6.6,1.14133,0.608,0.632,0.632,35.92,26.224,0.616
3,4_3f2e3010d36aba31469b26e44821f9a9f734e3fdclass,6.70725,9.26377,3.15652,6.70725,5.48696,2.28116,-0.49855,7.06957,3.43768,0.74481,0.18718,0.18718,3.95652,0.7942,2.62029,0.1971,0.33913,0.2,3.15942,0.0058,0.0029,0,1.69565,0.08406,0.03768,1.6029,0.02899,0.02609,0.62319,0,4.14493,28.44638,1.57971,1.0087,1.07536,0.62319,1.18551,10.55072,23.32464,7.06377,2.91014,6.43768,1.14783,0.6087,0.61159,0.6,32.04928,19.43768,0.61739
4,1_1b3f7949962d01e3d5724437d1fc4d301c124c3bclass,6.28718,9.32821,3.64103,6.28718,5.73846,2.28718,-0.48718,6.98462,3.8359,0.74758,0.2,0.2,4.18974,0.87179,3.0359,0.21538,0.28205,0.05641,3.37436,0.01026,0,0,1.55385,0.10256,0.06154,1.42564,0.01026,0.05641,0.44615,0,2.52308,27.08718,1.62564,0.94872,1.14872,0.63077,1.49231,2.06667,18.91795,6.95385,3.74872,6.32308,1.13846,0.61026,0.6,0.6,28.90256,22.66667,0.62051
5,3_6688d72402c214909c341018cc2a4f128f3ad15fclass,5.63448,7.90542,2.87094,5.63448,5.53596,1.81182,-0.45714,6.36847,2.90049,0.75539,0.19451,0.19451,4.30443,0.74286,3.40394,0.09852,0.05911,0.14286,3.60591,0.00985,0,0,1.60591,0.0197,0.01478,1.53695,0,0.05419,0.38424,0,0.57635,28.05025,1.61576,0.9399,0.98424,0.62463,1.81182,1.52611,24.5064,7.83645,5.06798,6.98424,1.1468,0.60985,0.6,0.6,29.17635,16.7133,0.6
6,7_1fdb7ddfc565e3b47e58c7091cbea77e8d898593class,7.3119,9.52693,2.81503,7.3119,6.62088,2.39123,-0.43507,8.39541,11.97996,0.80826,0.17837,0.17837,5.03841,0.94238,3.51775,0.31315,0.26305,0.34447,4.12526,0.00626,0,0,1.59499,0.14823,0.0167,1.5261,0.02714,0.02505,0.78914,0,2.43006,32.55866,2.01879,0.97578,0.9737,0.62296,0.97578,5.06764,22.57077,8.11775,2.07599,7.45177,1.14071,0.61044,0.62505,0.72944,36.84843,20.9215,0.64593
7,9_226c7af7b91ba0372ca3c257824a4282f3cf6d7aclass,6.53333,8.93968,3.00635,6.53333,5.21905,2.33333,-0.50476,6.53016,3.21905,0.72828,0.2,0.2,3.88889,0.7873,2.71429,0.17778,0.35873,0.0381,3.11111,0.00635,0.01905,0,1.67302,0.10476,0.04127,1.56825,0.03175,0.03175,0.64762,0,3.58413,27.48254,1.44762,0.87619,1.04127,0.61905,1.19365,2.21587,23.75238,6.67619,2.84762,6.13968,1.08889,0.60952,0.60317,0.6,30.85714,21.13651,0.62222
8,2_b2f60b872c4da1113159f44e9354fbfa11edad9bclass,5.74721,8.13807,2.99086,5.74721,5.2802,1.8132,-0.46294,6.07208,2.87411,0.75566,0.19432,0.19432,4.14822,0.73198,3.29949,0.08629,0.06091,0.10152,3.46193,0.01015,0,0,1.60914,0.0203,0.01523,1.53807,0,0.05584,0.39594,0,0.60406,26.5066,1.55838,0.93503,0.9401,0.62538,1.82335,1.46802,21.37157,7.53909,5.10761,6.85381,1.13807,0.61015,0.6,0.6,28.67107,17.1736,0.6
0,2_d0f7eda9883c526c584d057de47c7f521dc6df76class,2.7931,4.03448,1.24138,2.7931,6.68966,2.2069,0.41379,8.55172,7.24138,0.24113,-0.09091,-0.09091,3.31034,0.13793,2.13793,0.41379,0.51724,0.24138,3.03448,0,0,0,1.72414,0.24138,0.10345,1.2069,0.37931,0.03448,0.31034,0,0.96552,41.31034,1.55172,0.31034,0.89655,0.65517,0.03448,8,0.68966,4.82759,2.41379,5.65517,1.10345,0.06897,0.17241,0,48.10345,72,1.06897
1,5_4e2fbb7e7e5aa79cdf8d56b86c2506e5c02d720dclass,3.21053,4.47368,1.26316,3.21053,9.67368,1.92632,0.31579,10.97895,10.05263,0.27186,-0.10638,-0.10638,3.64211,0.14737,2.22105,0.85263,0.46316,0.10526,2.81053,0.01053,0.01053,0,3.01053,0.68421,0.09474,2.28421,0.57895,0.05263,0.73684,0,0.96842,54.64211,2.17895,0.77895,1.35789,0.83158,0.2,8.57895,0.65263,8.24211,2.72632,8.10526,1.06316,0.21053,0.12632,0,60.77895,55.18947,1.71579
2,7_f686823dd58be1177058173388faf6cb0671b3adclass,3.37374,4.68687,1.31313,3.37374,9.72727,1.88889,0.30303,11.29293,9.84848,0.27449,-0.1,-0.1,3.67677,0.20202,2.26263,0.84848,0.45455,0.11111,2.84848,0.0101,0.0101,0,3.09091,0.67677,0.09091,2.38384,0.56566,0.05051,0.72727,0,1.0404,54.94949,2.21212,0.78788,1.33333,0.84848,0.22222,8.63636,0.63636,8.31313,2.68687,8.21212,1.10101,0.20202,0.12121,0,61.36364,53,1.65657
3,6_6bb682bd8ba2359e4d1610a75af36835010854e7class,2.75,3.975,1.225,2.75,5.775,2.15,0.35,7.025,5.65,0.224,-0.15789,-0.15789,3.225,0.125,2.25,0.325,0.475,0.175,2.925,0,0,0,1.35,0.1,0,1.05,0.275,0.025,0.325,0,0.6,33.95,1.375,0.275,0.725,0.475,0.025,6.2,0.5,3.8,1.775,4.375,0.9,0.075,0.125,0,43.1,77.8,0.775
4,4_e27a2089f814fc4a297668265a40ac2cc1bbda69class,3.30682,4.57955,1.27273,3.30682,9.64773,2.05682,0.34091,11.06818,9.79545,0.23669,-0.11905,-0.11905,3.52273,0.15909,2.09091,0.82955,0.48864,0.11364,2.71591,0.01136,0.01136,0,2.63636,0.76136,0.10227,1.95455,0.52273,0.05682,0.81818,0,0.92045,54.11364,2.01136,0.76136,1.34091,0.88636,0.19318,9.04545,0.625,7.97727,2.84091,7.89773,1.09091,0.21591,0.13636,0,61.03409,71.15909,1.70455
5,3_65bdfb111b35d32ddea3376484267191b10d02d5class,3.1828,4.43011,1.24731,3.1828,9.73118,1.94624,0.32258,11.07527,10.21505,0.25917,-0.11111,-0.11111,3.64516,0.15054,2.22581,0.83871,0.47312,0.10753,2.82796,0.01075,0.01075,0,2.96774,0.69892,0.09677,2.22581,0.5914,0.05376,0.75269,0,0.98925,54.52688,2.17204,0.78495,1.35484,0.84946,0.2043,8.66667,0.66667,8.22581,2.75269,8.10753,1.06452,0.21505,0.12903,0,60.64516,56.35484,1.74194
