,commitID,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
0,1_170fe4fc440055b845d729fd24372204a25343daclass,5.43111,8.02222,2.59111,5.43111,5.05778,1.68444,0.19556,6.36889,2.96,0.15969,0,0,3.64889,0.23556,3.14222,0.18667,0.24889,0.07111,3.46222,0.00889,0,0,1.72889,0.08889,0.05333,1.61778,0.00889,0.04889,0.43556,0,0.85333,28.44444,1.66667,0.34222,0.47556,0.02667,0.80889,1.36,18.09778,6.89333,2.76444,6.20444,0.50222,0.00889,0,0,29.26667,23.80889,0.02222
1,4_13e125c361a40f36621b614eeac2e7930a840186class,5.79944,7.71031,1.91086,5.79944,4.90529,1.67688,0.10028,6.25348,2.81058,0.12911,-0.02141,-0.02141,3.4039,0.16992,2.64903,0.21727,0.34262,0.19499,3.18663,0.00557,0.00279,0,1.6351,0.08635,0.03621,1.54596,0.02786,0.02507,0.64345,0,1.83008,29.19777,1.5961,0.37604,0.45682,0.02228,0.57939,9.64903,22.8663,6.42061,2.24791,5.79944,0.52646,0.00836,0.0195,0,32.1532,18.14206,0.0195
2,6_41c0ca90523e634160c9e4f4e9f8bd2bd8aa5a50class,5.92553,7.91755,1.99202,5.92553,5.42287,1.68085,0.10106,6.80851,9.30053,0.17211,-0.03207,-0.03207,3.82447,0.24734,2.91223,0.23936,0.31915,0.35372,3.58511,0.00532,0.00266,0,1.78723,0.14628,0.01596,1.70745,0.03191,0.03191,0.70479,0,2.19681,30.94681,1.875,0.39096,0.45213,0.02128,0.4734,5.10904,22.39362,6.67819,1.56117,5.98138,0.53989,0.00798,0.03191,0.03191,34.44149,20.1117,0.01596
3,2_6688d72402c214909c341018cc2a4f128f3ad15fclass,5.03448,7.30542,2.27094,5.03448,4.93596,1.21182,0.14286,5.76847,2.30049,0.15539,-0.00549,-0.00549,3.70443,0.14286,3.40394,0.09852,0.05911,0.14286,3.60591,0.00985,0,0,1.60591,0.0197,0.01478,1.53695,0,0.05419,0.38424,0,0.57635,28.65025,1.61576,0.3399,0.38424,0.02463,1.21182,0.92611,23.9064,7.23645,4.46798,6.38424,0.5468,0.00985,0,0,28.57635,16.1133,0
4,8_57435a0f5171e730253c7732a9ce01b685a035b5class,5.74309,7.62983,1.88674,5.74309,5.01934,1.66575,0.09669,6.35359,2.99724,0.13219,-0.03333,-0.03333,3.42818,0.19337,2.66298,0.21823,0.33702,0.20994,3.20994,0.00552,0.00276,0,1.68785,0.09945,0.03591,1.59116,0.03315,0.02762,0.64641,0,1.79006,29.70442,1.72652,0.38398,0.50276,0.0221,0.57459,9.5663,22.4558,6.53315,2.23481,5.87293,0.53591,0.00829,0.03039,0,32.25138,18,0.01657
5,7_f3cb62d12f183fb0ac54f9703d2ed79037301098class,6.7119,8.92693,2.21503,6.7119,6.01879,1.79123,0.16493,7.79541,11.37996,0.23306,-0.02163,-0.02163,4.43633,0.34238,3.51566,0.31315,0.26305,0.34447,4.12317,0.00626,0,0,1.65971,0.21294,0.0167,1.59081,0.02714,0.02505,0.85386,0,2.43006,33.21921,2.0167,0.37578,0.3737,0.02296,0.37578,4.46764,22.03549,7.58246,1.47599,6.91649,0.54071,0.01044,0.02505,0.12944,36.67223,20.3215,0.04593
6,3_df023c3262ad0dbe76f9df2bc7f78ada831006efclass,5.0878,7.33659,2.24878,5.0878,5.01951,1.20976,0.14634,5.80488,2.25854,0.15675,-0.00543,-0.00543,3.70732,0.14634,3.4,0.10732,0.05854,0.14146,3.6,0.00976,0,0,1.61951,0.01951,0.01463,1.55122,0,0.05366,0.38049,0,0.59024,29.08293,1.62439,0.34634,0.40488,0.05366,1.22927,0.95122,23.73171,7.4,4.45366,6.4878,0.5561,0.00976,0,0,28.74146,15.96585,0
7,5_fda5d05e5a98662a1c47dbb63545ceff3de39d06class,6.82105,9.19368,2.37263,6.82105,6.02316,1.79158,0.15789,7.83789,11.42105,0.2309,-0.02184,-0.02184,4.44211,0.34526,3.51789,0.31579,0.26316,0.34526,4.12632,0.00632,0,0,1.66105,0.20211,0.01684,1.59158,0.02737,0.02526,0.84842,0,3.67158,33.31789,2.01474,0.37895,0.37053,0.02316,0.37895,4.50526,22.10947,7.60421,1.48632,6.92632,0.54105,0.01053,0.02526,0.12211,36.54316,20.48421,0.04632
8,9_2010bb3d8ff550db0c6ebf538e8a069db169b5a4class,5.94637,8.35016,2.40379,5.94637,4.60252,1.73817,0.09148,5.92114,2.59621,0.12594,0,0,3.28076,0.18612,2.70662,0.17666,0.35962,0.03785,3.1041,0.00631,0.01893,0,1.67508,0.1041,0.04101,1.57098,0.03155,0.03155,0.64984,0,3.61199,27.97792,1.44795,0.27445,0.43849,0.01893,0.58991,1.61199,23.00631,6.05047,2.23975,5.51735,0.4858,0.00946,0.00315,0,30.2082,20.41325,0.02208
0,4_71989afc685fa813f4359a305972af4af11224cclass,3.34831,4.64045,1.29213,3.34831,9.58427,2.06742,0.34831,11.17978,9.41573,0.24266,-0.11628,-0.11628,3.48315,0.1573,2.04494,0.8427,0.48315,0.11236,2.66292,0.01124,0.01124,0,2.64045,0.77528,0.10112,1.96629,0.51685,0.05618,0.83146,0,0.95506,53.80899,2,0.75281,1.34831,0.86517,0.17978,8.86517,0.61798,8.01124,2.82022,7.93258,1.10112,0.21348,0.13483,0,61.35955,70.37079,1.66292
1,8_6bb682bd8ba2359e4d1610a75af36835010854e7class,2.75,3.975,1.225,2.75,5.775,2.15,0.35,7.025,5.65,0.224,-0.15789,-0.15789,3.225,0.125,2.25,0.325,0.475,0.175,2.925,0,0,0,1.35,0.1,0,1.05,0.275,0.025,0.325,0,0.6,33.95,1.375,0.275,0.725,0.475,0.025,6.2,0.5,3.8,1.775,4.375,0.9,0.075,0.125,0,43.1,77.8,0.775
2,6_714d481bb611e991def6c22ef0c44cc41e1358dclass,2.70732,3.92683,1.21951,2.70732,5.63415,2.17073,0.36585,6.87805,5.43902,0.21651,-0.15789,-0.15789,3.14634,0.12195,2.21951,0.31707,0.43902,0.17073,2.85366,0,0,0,1.31707,0.09756,0,1.02439,0.26829,0.02439,0.31707,0,0.58537,33.12195,1.34146,0.26829,0.68293,0.46341,0.02439,6.04878,0.4878,3.70732,1.73171,4.26829,0.87805,0.07317,0.12195,0,42.19512,75.92683,0.7561
3,2_c9c801d0c0a047ed8aa233bb40d31cea3c71dcbclass,2.96429,4.32143,1.35714,2.96429,6.75,2.25,0.42857,8.71429,6.82143,0.23039,-0.1,-0.1,3.28571,0.14286,2.10714,0.42857,0.5,0.25,3,0,0,0,1.64286,0.25,0.10714,1.07143,0.42857,0.03571,0.25,0,1,41.92857,1.46429,0.32143,0.89286,0.67857,0.03571,8.28571,0.71429,4.92857,2.5,5.71429,1.14286,0.07143,0.17857,0,49.17857,74.53571,1.10714
4,7_7b14dd60ba4a47af27aa76b36a901ccb8ffa805class,3.39796,4.71429,1.31633,3.39796,9.76531,1.89796,0.30612,11.37755,9.85714,0.27045,-0.10204,-0.10204,3.65306,0.20408,2.22449,0.85714,0.45918,0.11224,2.81633,0.0102,0.0102,0,3.10204,0.68367,0.09184,2.38776,0.57143,0.05102,0.73469,0,1.05102,55.28571,2.20408,0.79592,1.34694,0.85714,0.22449,8.73469,0.64286,8.36735,2.72449,8.27551,1.11224,0.20408,0.12245,0,61.67347,53.53061,1.67347
5,3_25b486c9caf04148c192c56ebb51ddc71608fe8class,3.20652,4.45652,1.25,3.20652,9.77174,1.95652,0.32609,11.1413,10.19565,0.25417,-0.11364,-0.11364,3.63043,0.15217,2.20652,0.83696,0.47826,0.1087,2.81522,0.01087,0.01087,0,2.90217,0.70652,0.09783,2.15217,0.59783,0.05435,0.76087,0,1,54.70652,2.15217,0.79348,1.3587,0.8587,0.20652,8.76087,0.67391,8.19565,2.78261,8.09783,1.07609,0.21739,0.13043,0,60.69565,56.95652,1.76087
6,5_5c2a6a332e130f4fd1e8df92bae1323e1e906e2class,3.24731,4.50538,1.25806,3.24731,9.7957,1.94624,0.32258,11.15054,10.22581,0.27016,-0.11111,-0.11111,3.65591,0.15054,2.22581,0.84946,0.47312,0.10753,2.82796,0.01075,0.01075,0,2.96774,0.69892,0.09677,2.22581,0.5914,0.05376,0.75269,0,0.98925,55.30108,2.1828,0.7957,1.36559,0.84946,0.2043,8.76344,0.66667,8.33333,2.78495,8.17204,1.08602,0.21505,0.12903,0,60.90323,56.35484,1.75269
7,1_332e91e07d536f00e6eee7a83ef0377289c98f4class,2.78571,3.95238,1.16667,2.78571,7.57143,2.04762,0.30952,8.07143,7.59524,0.22877,-0.16,-0.16,3.35714,0.07143,2.07143,0.38095,0.71429,0.19048,3.02381,0,0,0,1.69048,0.14286,0.02381,1.04762,0.59524,0.02381,0.33333,0,0.57143,40.69048,1.66667,0.40476,1.14286,0.7381,0.02381,7.33333,0.40476,4.35714,1.85714,5.04762,0.95238,0.11905,0.14286,0,49.71429,74.04762,0.95238
0,10_2a847d080fd6e439dfca30a54ca4ddade605087class,3,5.28302,2.28302,3,13.13585,1.29434,0.09811,8.03774,130.67925,0.18499,-0.05634,-0.05634,7.58491,0.44528,5.01887,0.35094,0.27547,1.93962,7.2566,0.00755,0.15472,0.05283,1.95094,0.81887,0.47547,1.27547,0.06415,0.13585,0.81132,0,4.18113,50.3434,4.03396,0.55849,2.28679,0.57358,0.68679,11.03774,4.58113,7.8566,2.40755,4.8,0.71698,0.40377,0.02642,0,47.89434,20.00377,0.04906
1,13_f0299deabfe7fc79484aceb357a18a5a00e2e91class,3.35052,5.67526,2.32474,3.35052,12.26031,1.23454,0.13402,7.62629,96.89433,0.18638,-0.00948,-0.00948,7.30928,0.42268,4.8067,0.39175,0.21392,1.89691,6.93557,0.07474,0.17784,0.04897,2.01804,0.70619,0.39433,1.23454,0.06186,0.32732,0.73711,0,1.90979,47.5799,3.82216,0.45876,2.17784,0.52577,0.56443,9.72423,3.81186,7.4433,2.19072,4.90722,0.65979,0.3866,0.03351,0,47.19845,29.49485,0.14175
2,15_8a52880317d27c591d23e519f75d0f8f78f770cclass,4.14537,6.61821,2.46965,4.14856,12.34665,1.20288,0.10543,8.4361,88.92652,0.16864,-0.00977,-0.00977,6.84185,0.47444,4.53834,0.30511,0.35463,1.64377,6.55591,0.03514,0.11661,0.05272,1.81949,0.66613,0.34505,1.10703,0.06869,0.29872,0.7492,0,1.86102,50.4393,3.73482,0.76198,2.00319,0.96805,0.64058,10.15655,4.58307,7.16294,2.43131,4.94089,1.41693,0.30192,0.01757,0,46.28914,26.02396,0.17891
