,commitID,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
0,7_46d5ebb1e443de48f6eb80c0a4d461b0788f6a98class,6.14663,8.66569,2.51906,6.14663,4.73021,1.67742,0.10557,6.15836,2.73021,0.14326,0,0,3.3607,0.18182,2.65982,0.16129,0.34018,0.19941,3.19941,0.00587,0.00293,0,1.70674,0.08798,0.03812,1.6129,0.02933,0.02639,0.6217,0,3.80938,28.07625,1.44575,0.34018,0.43402,0.02346,0.53079,6.5044,22.91496,6.07331,2.20528,5.53079,0.52786,0.0088,0.00293,0,30.99707,19.04692,0.02053
1,5_744de0d2ebd52b3f80b6d70511cf8cecc70499e1class,6.86105,9.21684,2.35579,6.86105,6.02316,1.79158,0.15789,7.84421,11.42105,0.23502,-0.02184,-0.02184,4.44211,0.34526,3.51789,0.31579,0.26316,0.34526,4.12632,0.00632,0,0,1.67368,0.21474,0.01684,1.60421,0.02737,0.02526,0.86105,0,4.34316,33.33053,2.01474,0.37895,0.37053,0.02316,0.37895,4.50526,22.12211,7.61684,1.48632,6.93895,0.54105,0.01053,0.02526,0.12211,36.63158,20.48421,0.04632
2,8_7c3f65e3122b08779a9f3bf7f9240eb279f80a30class,6.081,8.60125,2.52025,6.081,4.68224,1.68536,0.09346,6.04361,2.85358,0.12866,0,0,3.34891,0.19315,2.61371,0.17134,0.35202,0.21184,3.17757,0.00623,0.00312,0,1.68536,0.09346,0.0405,1.58567,0.03115,0.02804,0.6324,0,3.69159,27.93146,1.44548,0.29595,0.42991,0.02492,0.56386,1.57632,22.62928,6.01869,2.15576,5.4486,0.52025,0.00935,0.00312,0,30.96885,20.17134,0.02181
3,1_f3cb62d12f183fb0ac54f9703d2ed79037301098class,6.7119,8.92693,2.21503,6.7119,6.01879,1.79123,0.16493,7.79541,11.37996,0.23306,-0.02163,-0.02163,4.43633,0.34238,3.51566,0.31315,0.26305,0.34447,4.12317,0.00626,0,0,1.65971,0.21294,0.0167,1.59081,0.02714,0.02505,0.85386,0,2.43006,33.21921,2.0167,0.37578,0.3737,0.02296,0.37578,4.46764,22.03549,7.58246,1.47599,6.91649,0.54071,0.01044,0.02505,0.12944,36.67223,20.3215,0.04593
4,6_21b9d98dfa0d9a8bd496fc29f5463936d7d18fb9class,6.74194,8.97634,2.23441,6.74194,5.85591,1.8043,0.15484,7.8086,11.01075,0.22827,-0.02743,-0.02743,4.30753,0.30968,3.38065,0.31613,0.26667,0.34409,3.9914,0.00645,0,0,1.66022,0.19785,0.0129,1.5871,0.02796,0.03226,0.82366,0,3.55054,32.65591,1.94624,0.37204,0.37204,0.02151,0.40215,4.53118,21.56774,7.40645,1.46452,6.72688,0.53118,0.01075,0.02796,0.10968,36.05591,23.05376,0.04301
5,2_3f7efa86d64b73daa7b276f926a3f7818a4f1a00class,5.25532,7.66489,2.40957,5.25532,6.55851,1.21809,0.15426,5.66489,2.44681,0.15938,0,0,4.26064,0.01596,3.91489,0.05319,0.06383,0.22872,4.20745,0.01064,0,0,1.64362,0.02128,0,1.53723,0.0266,0.07979,0.31915,0,1.17021,33.2234,2.60106,0.29787,1.39894,0.01064,1.97872,0.5266,27.87766,7.83511,4.88298,6.59574,0.59043,0.01064,0,0,27.2766,17.31915,0.03723
6,10_f214b3489d097efdf632a1f072e4c341a5460eccclass,5.25397,7.74074,2.48677,5.25397,5.07407,1.21693,0.14815,5.29101,2.77249,0.16978,0,0,4.02116,0.01058,3.69312,0.05291,0.06349,0.21164,3.96825,0.01058,0,0,1.67725,0.02116,0,1.57143,0.02646,0.07937,0.31746,0,1.01058,29.12698,1.62963,0.2963,0.34392,0.01058,1.15873,0.53439,27.22222,7.15873,4.24868,6.27513,0.45503,0.01058,0,0,25.92593,17.2328,0.03704
7,9_4810e027d66828855fb880eb3189ea0fe5c46174class,5.74797,8.10163,2.35366,5.74797,5.13415,1.72764,0.10569,6.4187,3.36992,0.13646,0,0,3.54472,0.23577,2.94309,0.22764,0.3252,0.04878,3.31707,0.00813,0.02439,0,1.58943,0.08537,0.05285,1.48374,0.0122,0.04065,0.5,0,1,28.38211,1.70325,0.31707,0.56098,0.02439,0.72358,2.00813,19.78862,6.50407,2.72764,5.85366,0.55691,0.00813,0.00407,0,30.41057,17.69919,0.02439
8,3_ee3b4e13a8bc5466be9ae5c25fb2af9b3618b159class,6.9678,9.21402,2.24621,6.9678,6.16856,1.76136,0.18561,8.21212,13.32576,0.21855,-0.01927,-0.01927,4.61742,0.36174,3.75,0.29735,0.24811,0.32197,4.32008,0.00568,0,0,1.61553,0.1572,0.01894,1.54356,0.02652,0.02652,0.84848,0,3.24811,33.9053,2.1553,0.35606,0.35985,0.02841,0.35985,4.11742,22.80492,7.76515,1.38258,7.13068,0.52841,0.00947,0.02273,0.14015,37.27273,16.58523,0.04735
9,4_9c5a543a28ef30d533b5c09e0b6c083777d07cc4class,6.08923,8.58769,2.49846,6.08923,4.66154,1.68308,0.09231,6.04308,2.81846,0.12912,0,0,3.33846,0.19077,2.60615,0.16923,0.35385,0.20923,3.16923,0.00615,0.00308,0,1.68923,0.09231,0.04,1.59077,0.03077,0.02769,0.64308,0,3.77538,27.83692,1.44,0.29846,0.42462,0.02462,0.56,6.24615,22.46769,6.01231,2.17846,5.44923,0.52,0.00923,0.00308,0,30.94462,19.93538,0.02154
