,commitID,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
0,10_0d98710717605c8e34b9072905463ab044e6f7aaclass,4.75979,7.2836,1.92381,4.75979,7.14497,1.81693,0.75344,6.25079,2.09312,-0.43698,0.2,0.2,4.85926,0.61587,3.93122,0.05291,0.06349,0.21164,4.20635,0.01058,0,0,1.67725,0.02116,0,1.57143,0.02646,0.07937,0.31746,0,1.1746,33.7746,3.24021,0.8963,1.98624,0.61058,2.56296,1.13439,28.29312,8.39365,5.46243,7.21376,1.1873,0.61058,0.6,0.6,27.82222,17.8328,0.03704
1,2_d49e2b91e147cfa9c0edf6c080e3606f371d0d23class,4.48466,6.36825,1.2836,4.48466,7.1291,1.82222,0.76402,6.32487,1.83915,-0.44102,0.2,0.2,4.84339,0.61587,3.89947,0.05291,0.06349,0.22751,4.19048,0.01058,0,0,1.64021,0.02116,0,1.53439,0.02646,0.07937,0.31746,0,1.16402,33.67937,3.19259,0.8963,1.99153,0.61058,2.56825,1.12381,28.33016,8.39365,5.45714,7.16614,1.1873,0.61058,0.6,0.6,27.81164,17.8328,0.03704
2,9_6d7d2e8be1136f728252e8cf3697f92d607be349class,5.14797,7.50163,1.75366,5.14797,5.73415,2.32764,0.70569,7.0187,2.76992,-0.46354,0.2,0.2,4.14472,0.83577,2.94309,0.22764,0.3252,0.04878,3.31707,0.00813,0.02439,0,1.58943,0.08537,0.05285,1.48374,0.0122,0.04065,0.5,0,1,28.98211,2.30325,0.91707,1.16098,0.62439,1.32358,2.60813,20.38862,7.10407,3.32764,6.45366,1.15691,0.60813,0.60407,0.6,31.01057,18.29919,0.02439
3,6_b0f8256ddd3fb5a486dcf90e61d0f48eb9605301class,6.1914,8.50538,1.71398,6.1914,6.45591,2.3957,0.75484,8.40215,10.41075,-0.37173,0.17257,0.17257,4.90753,0.90968,3.38065,0.31613,0.26667,0.34409,3.9914,0.00645,0,0,1.66022,0.19785,0.0129,1.5871,0.02796,0.03226,0.82366,0,3.55484,33.25591,2.54624,0.97204,0.97204,0.62151,1.00215,5.13118,22.16774,8.00645,2.06452,7.32688,1.13118,0.61075,0.62796,0.70968,36.48602,23.65376,0.04301
4,8_704475dd3e7fe758fea8355b3ea4d9dcad9f9a97class,5.48075,7.99317,1.91242,5.48075,5.27702,2.28323,0.69317,6.63416,2.24472,-0.47174,0.2,0.2,3.94783,0.79255,2.61491,0.17081,0.35093,0.21118,3.17702,0.00621,0.00311,0,1.68323,0.09317,0.04037,1.58385,0.03106,0.02795,0.63043,0,3.68012,28.54099,2.04099,0.89503,1.02857,0.62484,1.16211,2.17143,23.33602,6.61553,2.74907,6.0472,1.11863,0.60932,0.60311,0.6,31.5441,20.7118,0.02174
5,7_121e786fc87396ce135ccfa2c35867a5aa2af115class,5.481,8.00125,1.92025,5.481,5.28224,2.28536,0.69346,6.64361,2.25358,-0.47134,0.2,0.2,3.94891,0.79315,2.61371,0.17134,0.35202,0.21184,3.17757,0.00623,0.00312,0,1.68536,0.09346,0.0405,1.58567,0.03115,0.02804,0.6324,0,3.69159,28.53146,2.04548,0.89595,1.02991,0.62492,1.16386,2.17632,23.22928,6.61869,2.75576,6.0486,1.12025,0.60935,0.60312,0.6,31.57196,20.77134,0.02181
6,1_5b05800c7fab2bf8a86196962945f228616c1c2fclass,6.11158,8.31579,1.60421,6.11158,6.63158,2.39158,0.75789,8.38947,10.82947,-0.36498,0.17816,0.17816,5.04421,0.94526,3.51579,0.31579,0.26526,0.34737,4.12842,0.00632,0,0,1.67368,0.21474,0.01684,1.60421,0.02737,0.02526,0.86105,0,2.4,33.95368,2.61684,0.97895,0.97684,0.62316,0.97895,5.10526,22.72632,8.22105,2.08842,7.54105,1.14105,0.61053,0.62526,0.72211,37.26737,21.08421,0.04632
7,3_7f8ac52eebd4e1ef576a4cd646a86dc220396dd0class,6.32278,8.60656,1.68378,6.32278,6.69073,2.37799,0.79498,8.74479,11.50425,-0.38484,0.18031,0.18031,5.11737,0.94749,3.64093,0.2973,0.25097,0.32819,4.22008,0.00579,0,0,1.60425,0.16023,0.01931,1.53282,0.0251,0.02703,0.82625,0,3.23166,34.11737,2.67336,0.95521,0.9668,0.62896,0.9668,4.79498,23.00347,8.30463,1.99189,7.66564,1.13089,0.60965,0.62317,0.74286,37.51892,17.48996,0.04826
8,5_fda5d05e5a98662a1c47dbb63545ceff3de39d06class,6.22105,8.59368,1.77263,6.22105,6.62316,2.39158,0.75789,8.43789,10.82105,-0.3691,0.17816,0.17816,5.04211,0.94526,3.51789,0.31579,0.26316,0.34526,4.12632,0.00632,0,0,1.66105,0.20211,0.01684,1.59158,0.02737,0.02526,0.84842,0,3.67158,33.91789,2.61474,0.97895,0.97053,0.62316,0.97895,5.10526,22.70947,8.20421,2.08632,7.52632,1.14105,0.61053,0.62526,0.72211,37.14316,21.08421,0.04632
9,4_8646313797d31bd717b98cf6e28e5c9da5c0ccd2class,5.481,8.00125,1.92025,5.481,5.28224,2.28536,0.69346,6.64361,2.25358,-0.47134,0.2,0.2,3.94891,0.79315,2.61371,0.17134,0.35202,0.21184,3.17757,0.00623,0.00312,0,1.68536,0.09346,0.0405,1.58567,0.03115,0.02804,0.6324,0,3.69159,28.53146,2.04548,0.89595,1.02991,0.62492,1.16386,2.17632,23.22928,6.61869,2.75576,6.0486,1.12025,0.60935,0.60312,0.6,31.56885,20.77134,0.02181
0,7_08c689714f429bc9270abf81055733d98c8c64eclass,2.80769,4.19231,1.38462,2.80769,8.17308,2.25,0.44231,8.76923,8.82692,0.24756,-0.14286,-0.14286,3.59615,0.05769,2.05769,0.75,0.63462,0.15385,2.88462,0,0,0,2.28846,0.36538,0.03846,1.61538,0.53846,0.09615,0.57692,0,0.59615,44.92308,1.88462,0.38462,1.40385,0.75,0.01923,7.61538,0.32692,6.05769,2.11538,6.30769,0.96154,0.09615,0.15385,0,54.78846,99.88462,1.21154
1,4_557344d3a3ae5237cfce3a2d84a51ea99d493393class,2.80769,4.19231,1.38462,2.80769,8.17308,2.25,0.44231,8.76923,8.82692,0.24756,-0.14286,-0.14286,3.59615,0.05769,2.05769,0.75,0.63462,0.15385,2.88462,0,0,0,2.28846,0.36538,0.03846,1.61538,0.53846,0.09615,0.57692,0,0.59615,44.92308,1.88462,0.38462,1.40385,0.75,0.01923,7.61538,0.32692,6.05769,2.11538,6.30769,0.96154,0.09615,0.15385,0,54.78846,99.88462,1.21154
