,commitID,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
0,8_424aa23db514ea19fa9da6c8ec89665d380587a5class,7.296,9.56533,2.86933,7.296,6.33333,2.56267,0.74133,7.47467,10.448,0.83529,-0.23143,-0.23143,4.73067,0.85333,3.816,0.84,0.92,0.95467,4.49067,0.60533,0.60267,0.6,2.39467,0.74133,0.616,2.30933,0.63733,0.632,1.31733,0.6,2.8,32.52267,2.48267,0.992,1.05067,0.62133,1.07733,5.73067,23.03733,7.30933,2.17067,6.6,1.14133,0.608,0.632,0.632,35.92,26.224,0.616
1,1_1b3f7949962d01e3d5724437d1fc4d301c124c3bclass,6.28718,9.32821,3.64103,6.28718,5.73846,2.28718,0.71282,6.98462,3.8359,0.74758,-0.2,-0.2,4.18974,0.87179,3.6359,0.81538,0.88205,0.65641,3.97436,0.61026,0.6,0.6,2.15385,0.70256,0.66154,2.02564,0.61026,0.65641,1.04615,0.6,3.12308,28.28718,2.22564,0.94872,1.14872,0.63077,1.49231,2.06667,18.91795,6.95385,3.74872,6.32308,1.13846,0.61026,0.6,0.6,28.90256,22.66667,0.62051
2,6_744de0d2ebd52b3f80b6d70511cf8cecc70499e1class,7.46105,9.81684,2.95579,7.46105,6.62316,2.39158,0.75789,8.44421,12.02105,0.83502,-0.22184,-0.22184,5.04211,0.94526,4.11789,0.91579,0.86316,0.94526,4.72632,0.60632,0.6,0.6,2.27368,0.81474,0.61684,2.20421,0.62737,0.62526,1.46105,0.6,4.94316,33.93053,2.61474,0.97895,0.97053,0.62316,0.97895,5.10526,22.72211,8.21684,2.08632,7.53895,1.14105,0.61053,0.62526,0.72211,37.23158,21.08421,0.64632
3,5_50b3e76a78c9a7b8375b3c4f70794bfdcfb467c9class,5.92663,8.38392,3.05729,5.92663,5.50452,1.7608,0.73568,6.64523,3.21307,0.76279,-0.20559,-0.20559,4.27337,0.77085,4.09246,0.71055,0.61005,0.6603,4.16281,0.61005,0.6,0.6,2.22312,0.62513,0.61508,2.15276,0.6,0.65528,0.99698,0.6,1.24824,29.06734,2.22312,0.96181,0.95176,0.62513,1.82111,1.5397,22.33367,7.89648,5.11256,7.18794,1.14774,0.61005,0.6,0.6,29.7809,17.01709,0.6
4,7_959147cad87818bc4e3c93675e39c61af0cc7900class,7.45571,9.59198,2.73627,7.45571,6.62204,2.39559,0.78437,8.3976,11.99078,0.80905,-0.22064,-0.22064,5.05291,0.93267,4.15711,0.89659,0.86653,0.93267,4.75631,0.60601,0.6,0.6,2.17916,0.74629,0.61804,2.11102,0.62605,0.62405,1.36353,0.6,3.48377,33.81643,2.61603,0.96473,0.96273,0.62204,0.97675,4.9006,23.14709,8.19319,2.02285,7.53788,1.12906,0.61002,0.62405,0.73627,36.86253,20.14709,0.64409
5,2_3f7efa86d64b73daa7b276f926a3f7818a4f1a00class,5.85532,8.26489,3.00957,5.85532,7.15851,1.81809,0.75426,6.26489,3.04681,0.75938,-0.2,-0.2,4.86064,0.61596,4.51489,0.65319,0.66383,0.82872,4.80745,0.61064,0.6,0.6,2.24362,0.62128,0.6,2.13723,0.6266,0.67979,0.91915,0.6,1.77021,33.8234,3.20106,0.89787,1.99894,0.61064,2.57872,1.1266,28.47766,8.43511,5.48298,7.19574,1.19043,0.61064,0.6,0.6,27.8766,17.91915,0.63723
6,4_b2f60b872c4da1113159f44e9354fbfa11edad9bclass,5.74721,8.13807,2.99086,5.74721,5.2802,1.8132,0.73706,6.07208,2.87411,0.75566,-0.20568,-0.20568,4.14822,0.73198,3.89949,0.68629,0.66091,0.70152,4.06193,0.61015,0.6,0.6,2.20914,0.6203,0.61523,2.13807,0.6,0.65584,0.99594,0.6,1.20406,27.7066,2.15838,0.93503,0.9401,0.62538,1.82335,1.46802,21.37157,7.53909,5.10761,6.85381,1.13807,0.61015,0.6,0.6,28.67107,17.1736,0.6
7,9_7f2f5770ffa1ef3fd6dc81e334ba57cc6ab70285class,7.32861,9.622,2.8934,7.32861,6.53888,2.5022,0.72714,8.06944,12.90073,0.83739,-0.2303,-0.2303,4.85183,0.92518,3.9154,0.88362,0.89829,0.95452,4.56822,0.60489,0.6,0.6,2.34572,0.83227,0.61711,2.20636,0.63667,0.68557,1.2846,0.6,3.16968,33.33594,2.55355,1.00831,1.00831,0.62445,1.07433,5.66112,22.20391,7.82494,2.12078,7.0621,1.14523,0.60733,0.62934,0.68802,36.63912,24.21614,0.65623
8,3_3f36e5cb50ab525d1a836fabd3e4388925e001d2class,6.54006,9.04479,3.10473,6.54006,5.22776,2.30347,0.69464,6.57792,3.1142,0.72594,-0.2,-0.2,3.88707,0.79558,3.23091,0.77666,0.95647,0.72303,3.71041,0.60631,0.61893,0.6,2.27823,0.7041,0.64101,2.17729,0.63155,0.62839,1.24353,0.6,4.28454,28.46435,2.04164,0.89653,1.02271,0.62208,1.17413,2.16782,23.23091,6.65994,2.82082,6.12366,1.10158,0.60946,0.60315,0.6,31.12681,21.01325,0.62208
9,10_226c7af7b91ba0372ca3c257824a4282f3cf6d7aclass,6.53333,8.93968,3.00635,6.53333,5.21905,2.33333,0.69524,6.53016,3.21905,0.72828,-0.2,-0.2,3.88889,0.7873,3.31429,0.77778,0.95873,0.6381,3.71111,0.60635,0.61905,0.6,2.27302,0.70476,0.64127,2.16825,0.63175,0.63175,1.24762,0.6,4.18413,28.68254,2.04762,0.87619,1.04127,0.61905,1.19365,2.21587,23.75238,6.67619,2.84762,6.13968,1.08889,0.60952,0.60317,0.6,30.85714,21.13651,0.62222
0,11_b0f55069597a0418942cb925ac0c20d87dc00cc9class,3.17857,4.41667,1.2381,3.17857,9.52381,2.03571,0.34524,10.92857,9.94048,0.22687,-0.1,-0.1,3.54762,0.13095,2.04762,0.85714,0.52381,0.11905,2.72619,0.0119,0.0119,0,2.59524,0.72619,0.08333,1.96429,0.4881,0.05952,0.78571,0,0.78571,53.84524,2.0119,0.79762,1.28571,0.86905,0.19048,8.70238,0.57143,7.80952,2.65476,7.7619,1.07143,0.22619,0.11905,0,59.15476,74.28571,1.5
1,5_33e52c75edea2f7d579b3d2517c33356bf77ddcaclass,2.91358,4.25926,1.34568,2.91358,9.16049,2.07407,0.35802,10.2716,10.30864,0.24096,-0.10811,-0.10811,3.40741,0.09877,1.87654,0.83951,0.5679,0.12346,2.60494,0.01235,0.01235,0.01235,2.12346,0.45679,0.08642,1.46914,0.50617,0.06173,0.46914,0,0.65432,47.75309,1.90123,0.79012,1.28395,0.85185,0.18519,8.07407,0.50617,6.74074,2.38272,6.81481,1.04938,0.23457,0.11111,0,55.67901,76.98765,1.45679
