,commitID,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
0,1_170fe4fc440055b845d729fd24372204a25343daclass,5.43111,8.02222,2.59111,5.43111,5.05778,1.68444,0.19556,6.36889,2.96,0.15969,0,0,3.64889,0.23556,3.14222,0.18667,0.24889,0.07111,3.46222,0.00889,0,0,1.72889,0.08889,0.05333,1.61778,0.00889,0.04889,0.43556,0,0.85333,28.44444,1.66667,0.34222,0.47556,0.02667,0.80889,1.36,18.09778,6.89333,2.76444,6.20444,0.50222,0.00889,0,0,29.26667,23.80889,0.02222
1,6_fda5d05e5a98662a1c47dbb63545ceff3de39d06class,6.82105,9.19368,2.37263,6.82105,6.02316,1.79158,0.15789,7.83789,11.42105,0.2309,-0.02184,-0.02184,4.44211,0.34526,3.51789,0.31579,0.26316,0.34526,4.12632,0.00632,0,0,1.66105,0.20211,0.01684,1.59158,0.02737,0.02526,0.84842,0,3.67158,33.31789,2.01474,0.37895,0.37053,0.02316,0.37895,4.50526,22.10947,7.60421,1.48632,6.92632,0.54105,0.01053,0.02526,0.12211,36.54316,20.48421,0.04632
2,2_d49e2b91e147cfa9c0edf6c080e3606f371d0d23class,5.08466,6.96825,1.8836,5.08466,6.5291,1.22222,0.16402,5.72487,2.43915,0.15898,0,0,4.24339,0.01587,3.89947,0.05291,0.06349,0.22751,4.19048,0.01058,0,0,1.64021,0.02116,0,1.53439,0.02646,0.07937,0.31746,0,1.16402,33.07937,2.59259,0.2963,1.39153,0.01058,1.96825,0.52381,27.73016,7.79365,4.85714,6.56614,0.5873,0.01058,0,0,27.21164,17.2328,0.03704
3,8_41c0ca90523e634160c9e4f4e9f8bd2bd8aa5a50class,5.92553,7.91755,1.99202,5.92553,5.42287,1.68085,0.10106,6.80851,9.30053,0.17211,-0.03207,-0.03207,3.82447,0.24734,2.91223,0.23936,0.31915,0.35372,3.58511,0.00532,0.00266,0,1.78723,0.14628,0.01596,1.70745,0.03191,0.03191,0.70479,0,2.19681,30.94681,1.875,0.39096,0.45213,0.02128,0.4734,5.10904,22.39362,6.67819,1.56117,5.98138,0.53989,0.00798,0.03191,0.03191,34.44149,20.1117,0.01596
4,4_6688d72402c214909c341018cc2a4f128f3ad15fclass,5.03448,7.30542,2.27094,5.03448,4.93596,1.21182,0.14286,5.76847,2.30049,0.15539,-0.00549,-0.00549,3.70443,0.14286,3.40394,0.09852,0.05911,0.14286,3.60591,0.00985,0,0,1.60591,0.0197,0.01478,1.53695,0,0.05419,0.38424,0,0.57635,28.65025,1.61576,0.3399,0.38424,0.02463,1.21182,0.92611,23.9064,7.23645,4.46798,6.38424,0.5468,0.00985,0,0,28.57635,16.1133,0
5,7_4b2c96d4a21b63d8862851655924c48169e918afclass,6.75565,8.77618,2.02053,6.75565,6.01848,1.80082,0.16427,7.8152,11.32444,0.20972,-0.02123,-0.02123,4.44353,0.34086,3.52977,0.30595,0.26694,0.34086,4.13758,0.00616,0,0,1.59548,0.1499,0.01848,1.52567,0.02669,0.02464,0.78234,0,2.56674,33.31417,2.00411,0.37166,0.37166,0.02259,0.38193,4.40657,22.53593,7.57084,1.4538,6.89938,0.53388,0.01027,0.02464,0.12936,36.28953,20.00411,0.04517
6,9_9a3554cbe874da85f9fa2d9d53044c1d46a63bd4class,6.74817,9.03667,2.28851,6.74817,5.9291,1.9022,0.12714,7.43521,12.30562,0.23877,-0.0303,-0.0303,4.25183,0.32518,3.32029,0.27873,0.29829,0.35452,3.97311,0.00489,0,0,1.76284,0.22983,0.01711,1.61858,0.04156,0.08557,0.70171,0,2.57457,32.86553,1.94377,0.40342,0.40831,0.02445,0.47433,5.05623,22.09046,7.20293,1.50611,6.43521,0.54034,0.00733,0.02934,0.08313,35.90465,23.61614,0.05623
7,5_c0d13ffd87d619480eef4be6d08c46b3e5a17498class,5.31658,7.76382,2.44724,5.31658,4.87437,1.1608,0.13568,6.02513,2.60804,0.16312,-0.00559,-0.00559,3.65327,0.17085,3.47739,0.10553,0.01005,0.0603,3.54774,0.01005,0,0,1.60804,0.02513,0.01508,1.53769,0,0.05528,0.39698,0,0.64824,28.23618,1.61809,0.36181,0.34673,0.02513,1.21106,0.9397,21.54774,7.20603,4.48241,6.51256,0.53769,0.01005,0,0,29.08543,16.41709,0
8,3_1e765120efa4d654436499475acd84c5c6c58c37class,5.94322,8.4511,2.50789,5.94322,4.73817,1.70347,0.09464,6.02839,3.25868,0.12621,0,0,3.347,0.18612,2.68454,0.18297,0.35647,0.12303,3.16404,0.00631,0.01893,0,1.68454,0.1041,0.04101,1.5836,0.03155,0.02839,0.64353,0,3.75079,28.46372,1.46372,0.30915,0.43218,0.02208,0.57413,1.58675,23.30599,6.19243,2.23344,5.64353,0.49842,0.00946,0.00315,0,30.56782,20.41325,0.02208
9,10_2010bb3d8ff550db0c6ebf538e8a069db169b5a4class,5.94637,8.35016,2.40379,5.94637,4.60252,1.73817,0.09148,5.92114,2.59621,0.12594,0,0,3.28076,0.18612,2.70662,0.17666,0.35962,0.03785,3.1041,0.00631,0.01893,0,1.67508,0.1041,0.04101,1.57098,0.03155,0.03155,0.64984,0,3.61199,27.97792,1.44795,0.27445,0.43849,0.01893,0.58991,1.61199,23.00631,6.05047,2.23975,5.51735,0.4858,0.00946,0.00315,0,30.2082,20.41325,0.02208
