,commitID,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
0,3_85c81f6dffc12ac7d4f6cc24f07c8a55020c64eaclass,5.04039,10.77241,3.93202,5.04039,4.46897,1.81675,-0.43744,5.50345,1.67586,-0.44221,0.19451,0.19451,3.15862,-0.467,3.44828,0.10837,0.05911,0.14286,3.65025,0.00985,0,0,1.63054,0.0197,0.01478,1.56158,0,0.05419,0.36453,0,0.60591,29.17833,1.04532,-0.2601,-0.18621,-0.54581,0.64138,0.22266,24.93695,6.98621,3.82365,6.03054,-0.06305,-0.59015,-0.6,-0.6,28.35074,15.5133,-0.6
1,2_1758889a3106f896f91763b180c976095f1235c8class,4.73673,10.29898,3.76224,4.73673,4.05816,1.81429,-0.44184,5.13469,1.50204,-0.44354,0.19429,0.19429,2.92041,-0.46735,3.31633,0.08673,0.06122,0.05612,3.43367,0.0102,0,0,1.61735,0.02041,0.01531,1.54592,0,0.05612,0.39796,0,0.60714,26.58878,0.96633,-0.26327,-0.25816,-0.57449,0.62959,0.27245,20.27755,6.37449,3.93061,5.68571,-0.05918,-0.5898,-0.6,-0.6,27.43061,16.05306,-0.6
2,1_776e71190dd77dea9e0aee9e2e193767e99c370aclass,5.95839,12.6365,4.8781,5.95839,4.25036,2.38832,-0.48686,5.82336,2.45839,-0.46643,0.2,0.2,2.81241,-0.38832,2.82117,0.20438,0.34307,0.0438,3.20803,0.0073,0.0219,0,1.62409,0.07664,0.04745,1.5292,0.01095,0.0365,0.52555,0,4.5219,27.83066,0.98029,-0.30438,-0.09635,-0.5781,0.04964,1.19197,21.10438,5.64818,1.91825,5.04964,-0.0927,-0.5927,-0.59635,-0.6,29.19562,19.12993,-0.5781
0,3_8f56b14088281f47afab240ab4ef731ecc6ae015class,3.55,4.55,1,3.55,5.65,2.3,0.4,11.05,2.1,0.17356,-0.16667,-0.16667,2.05,0.1,1.55,0.1,0.05,0.35,1.95,0,0,0,1.9,0.05,0,1.6,0.25,0.05,0.05,0,0.75,40.85,0.6,0.4,1,1.1,0.15,6.6,0.3,3.85,1.9,5,1.3,0.05,0.15,0,37.9,103.6,0.85
1,5_51ece04ca70c8f13745172e18b8c1d157a8cb7efclass,3.89474,4.63158,0.73684,3.89474,5.73684,1.89474,0.10526,11.52632,2.21053,0.17356,0,0,2.15789,0.10526,1.63158,0.10526,0.05263,0.36842,2.05263,0,0,0,2.10526,0.05263,0,1.84211,0.21053,0.05263,0.05263,0,0.78947,42.05263,0.63158,0.36842,0.94737,1.15789,0.15789,6.73684,0.26316,3.94737,1.94737,5.31579,1.26316,0.05263,0.15789,0,39.10526,55.10526,0.89474
2,1_73443bec17172f5a8b029ab159cfd09fc1a06c91class,2.92683,4.20732,1.28049,2.92683,9.26829,2.06098,0.35366,10.21951,10.26829,0.24288,-0.10526,-0.10526,3.47561,0.09756,1.93902,0.85366,0.56098,0.12195,2.65854,0.0122,0.0122,0,2.21951,0.47561,0.08537,1.56098,0.5122,0.06098,0.4878,0,0.64634,48.23171,1.87805,0.79268,1.26829,0.85366,0.18293,8.15854,0.5122,6.69512,2.5,6.80488,1.03659,0.23171,0.12195,0,56.04878,76.07317,1.5
3,4_ffad5c101fcaeaca30cd19a6f1996c1d0b71ea81class,3.63158,4.63158,1,3.63158,5.94737,2.15789,0.36842,11.63158,2.21053,0.18014,0,0,2.15789,0.10526,1.63158,0.10526,0.05263,0.36842,2.05263,0,0,0,1.94737,0.05263,0,1.57895,0.31579,0.05263,0.05263,0,0.78947,42.84211,0.63158,0.42105,1.05263,1.15789,0.15789,6.94737,0.31579,4.05263,2,5.21053,1.36842,0.05263,0.15789,0,38.84211,55.10526,0.89474
4,2_adf01d12fb60e7abf219be2c9820a4f1b94041fbclass,2.65854,3.87805,1.21951,2.65854,5.63415,2.17073,0.36585,6.85366,5.43902,0.21651,-0.15789,-0.15789,3.14634,0.12195,2.21951,0.31707,0.43902,0.17073,2.85366,0,0,0,1.34146,0.09756,0,1.04878,0.26829,0.02439,0.31707,0,0.58537,33.07317,1.34146,0.26829,0.65854,0.46341,0.02439,6,0.4878,3.70732,1.73171,4.29268,0.85366,0.07317,0.12195,0,42.17073,75.92683,0.7561
0,1_46c139f15839282e08ba9d8f46cd6a9a721bc7abclass,3.14948,5.94845,2.79897,3.14948,12.91237,1.23711,0.09278,9.00515,137.4433,0.16791,-0.01587,-0.01587,6.63918,0.44845,5.6701,0.25258,0.20103,0.51546,6.39691,0.01031,0.00515,0.07216,1.76804,0.57216,0.36082,1.23196,0.06701,0.10825,0.59794,0,5.40722,54.68557,3.87113,0.75773,2.31443,0.71134,0.74227,12.54124,6.00515,8,2.46392,4.75258,0.80412,0.62887,0.03608,0,41.0567,15.70103,0.06701
1,13_afab59d97c640b0af3949a1c2f8e5fd04c10288dclass,3.11404,5.49708,2.38304,3.11404,12.38596,1.22515,0.10526,7.73684,100.23392,0.17595,-0.01087,-0.01087,7.34211,0.4269,4.79532,0.37427,0.2193,1.95322,6.98538,0.06725,0.16374,0.04971,1.99415,0.70468,0.40643,1.17836,0.04678,0.36257,0.73392,0,2.01462,47.59064,3.92398,0.48246,2.22807,0.54386,0.59357,9.81579,4.02339,7.34211,2.19591,4.77193,0.65497,0.40643,0.02047,0,47.25731,27.23977,0.15497
