,commitID,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
0,3_3d4a1c11231c433c56d76a4d36a431899597b2d8class,5.67476,10.2233,4.54854,5.67476,5.09709,1.20874,0.15534,6.16505,2.18932,0.15981,-0.00541,-0.00541,3.80583,0.11165,3.48544,0.08738,0.05825,0.17476,3.71845,0.00971,0,0,1.62621,0.02427,0.01456,1.55825,0,0.0534,0.35922,0,0.58738,29.58738,1.66505,0.33495,0.40777,0.0534,1.2233,0.83495,25.20874,7.5,4.40777,6.53883,0.52913,0.00971,0,0,28.83981,15.8932,0
1,1_b848a1bb29cd2c28a62dea43f795062af6740eb3class,6.62454,12.1487,5.52416,6.62454,4.89591,1.75465,0.10409,6.52416,3.08922,0.1342,0,0,3.43123,0.21561,2.83643,0.20818,0.34201,0.04461,3.22305,0.00743,0.0223,0,1.63941,0.07807,0.04833,1.54275,0.01115,0.03717,0.52045,0,4.60223,28.75836,1.60223,0.30112,0.51301,0.0223,0.66171,1.82528,22.09294,6.34944,2.56134,5.73978,0.51673,0.00743,0.00372,0,29.91822,16.27138,0.0223
2,2_b2f60b872c4da1113159f44e9354fbfa11edad9bclass,5.32995,9.68528,4.35533,5.32995,4.6802,1.2132,0.15736,5.71066,2.27411,0.15566,-0.00568,-0.00568,3.54822,0.13198,3.29949,0.08629,0.06091,0.10152,3.46193,0.01015,0,0,1.60914,0.0203,0.01523,1.53807,0,0.05584,0.39594,0,0.60406,27.1066,1.55838,0.33503,0.3401,0.02538,1.22335,0.86802,20.77157,6.93909,4.50761,6.25381,0.53807,0.01015,0,0,28.07107,16.5736,0
0,3_e87d40a5e7d2ab2da4cc54f922f86eec529a141class,3.94737,4.68421,0.73684,3.94737,5.94737,1.89474,0.10526,11.63158,2.21053,0.17721,0,0,2.15789,0.10526,1.63158,0.10526,0.05263,0.36842,2.05263,0,0,0,2.26316,0.05263,0,1.94737,0.26316,0.05263,0.05263,0,0.78947,43.15789,0.63158,0.42105,1.05263,1.15789,0.15789,6.94737,0.31579,4.05263,2,5.52632,1.36842,0.05263,0.15789,0,40.31579,55.10526,0.89474
1,2_8e069144ae02eb7efa4855395273d5c6d034c81class,2.81579,4.07895,1.26316,2.81579,5.97368,1.97368,0.31579,7.36842,5.78947,0.21606,-0.16667,-0.16667,3.26316,0.13158,2.34211,0.34211,0.39474,0.18421,2.94737,0,0,0,1.44737,0.10526,0,1.13158,0.28947,0.02632,0.34211,0,0.63158,35.23684,1.52632,0.28947,0.71053,0.5,0.02632,6.47368,0.52632,4,1.86842,4.63158,0.92105,0.07895,0.13158,0,43.63158,54.89474,0.81579
2,4_d3e455915dc9a50c68979aaf64bb206c896c85fclass,3.55,4.55,1,3.55,5.65,2.3,0.4,11.05,2.1,0.17356,-0.16667,-0.16667,2.05,0.1,1.55,0.1,0.05,0.35,1.95,0,0,0,1.9,0.05,0,1.6,0.25,0.05,0.05,0,0.75,40.85,0.6,0.4,1,1.1,0.15,6.6,0.3,3.85,1.9,5,1.3,0.05,0.15,0,37.85,103.6,0.85
3,5_1a4e5c85f093db602847e17ee94b28ae4a79abeclass,4.16667,4.83333,0.66667,4.16667,5.88889,1.77778,0,11.83333,2.33333,0.16237,0,0,2.22222,0.11111,1.72222,0.11111,0,0.38889,2.11111,0,0,0,2.44444,0.05556,0,2.38889,0,0.05556,0.05556,0,0.83333,43.88889,0.61111,0.33333,0.94444,1.22222,0.16667,7.16667,0.27778,3.94444,1.94444,5.66667,1.27778,0.05556,0.16667,0,38.66667,1.22222,0.88889
4,1_976bc2728b170d07aff783c362b6890fc3ccbd4class,2.92683,4.20732,1.28049,2.92683,9.2439,2.06098,0.35366,10.20732,10.18293,0.2429,-0.10526,-0.10526,3.46341,0.09756,1.93902,0.84146,0.56098,0.12195,2.65854,0.0122,0.0122,0,2.23171,0.47561,0.08537,1.57317,0.5122,0.06098,0.4878,0,0.64634,48.14634,1.87805,0.79268,1.26829,0.84146,0.18293,8.13415,0.5122,6.69512,2.4878,6.81707,1.03659,0.23171,0.12195,0,55.9878,76.07317,1.5
0,6_d2e42aa0b5760810fe774fa80b81699e46bec52class,3.3626,5.25,1.8874,3.3626,10.98664,1.2271,0.12786,7.99809,84.07061,0.15549,-0.00844,-0.00844,6.2042,0.54198,4.14313,0.33588,0.20611,1.51908,5.8874,0.06107,0.14122,0.03817,1.70802,0.64885,0.33397,1.04389,0.06489,0.26527,0.66985,0,2,45.19847,3.10496,0.54771,1.81679,0.69275,0.5687,8.72137,4.35496,6.94084,2.30725,4.7042,0.91794,0.31298,0.03053,0,44.03817,26.54389,0.10115
1,2_02254c25b4012a1b1c36e829edee45f42affd25class,2.91188,5.18774,2.27586,2.91188,12.96935,1.31034,0.09195,7.90038,140.19157,0.17647,-0.07246,-0.07246,7.59004,0.5977,5.13793,0.341,0.15709,1.95402,7.26437,0.00766,0.01149,0.0613,1.78161,0.7318,0.44061,1.14559,0.06513,0.13027,0.69349,0,4.61303,50.08429,3.83908,0.60536,2.05364,0.58621,0.69732,11.0613,4.88506,7.74713,2.48276,4.61686,0.71264,0.42146,0.03448,0,47.54789,16.10345,0.04981
2,3_e61c6ac9cf96803b9857a1d70ba6a510d9fc5dfclass,3.125,5.90217,2.77717,3.125,13.30978,1.23913,0.09783,9.04348,151.52174,0.16134,-0.01695,-0.01695,6.77717,0.46196,5.8913,0.21739,0.18478,0.4837,6.57065,0.08696,0.00543,0.04891,1.75543,0.57609,0.38043,1.2337,0.04348,0.09783,0.6087,0,5.48913,55.06522,4.10326,0.77174,2.55435,0.66848,0.82609,12.76087,6.29891,8.07609,2.64674,4.82065,0.79891,0.63043,0.03261,0,41.34783,16.57065,0.07065
3,11_73de2f99302a27bb23fa4d33fe10abf4c4b2d96class,2.97015,5.53731,2.56716,2.97015,13.70896,1.20149,0.08209,9.41791,74.0597,0.1683,0,0,6.31343,0.41791,5.61194,0.16418,0.1791,0.35821,6.17164,0.00746,0.00746,1.08209,1.80597,0.55224,0.38806,1.26119,0.02239,0.13433,0.57463,0,5.33582,56.68657,4.33582,0.82836,2.58209,0.79104,0.80597,9.1791,6.88806,8.26866,2.55224,4.88806,0.79104,0.60448,0.03731,0,43.10448,7.63433,0.09701
4,12_040b6bf9bf7d7e105eed6ada67e73af0de0e25bclass,3.06909,5.35273,2.28364,3.06909,12.65818,1.29455,0.09818,7.88727,116.77091,0.18415,-0.05195,-0.05195,7.30182,0.42909,4.68,0.32364,0.25818,2.04,6.99636,0.00727,0.14909,0.05091,1.92,0.80364,0.46545,1.26182,0.06182,0.13091,0.79636,0,4.02909,48.74182,3.97455,0.54909,2.24,0.55636,0.66545,10.98182,4.47636,7.43636,2.32364,4.74182,0.69818,0.38909,0.02545,0,47.89818,19.41818,0.12364
5,8_e8bad0d49543b7ffd95d364a7b7f98709cdf213class,3.36053,5.74737,2.38684,3.36053,12.25,1.24474,0.13158,7.74474,101.33421,0.181,-0.00976,-0.00976,7.32632,0.42895,4.81842,0.39474,0.21053,1.90263,6.95,0.07632,0.18158,0.04737,1.99474,0.69737,0.40263,1.21579,0.05789,0.31842,0.72895,0,1.98684,47.60789,3.83421,0.46053,2.14474,0.51842,0.56842,9.81579,3.81579,7.4,2.18158,4.85526,0.65263,0.39474,0.03421,0,47.19737,30.14737,0.14737
