,commitID,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
0,10_848c973de8d9864ff50f5a8ceaefd35564391cc6class,7.24873,11.69114,5.04241,7.24873,4.11835,2.46392,-0.49873,5.63101,2.3557,-0.47326,0.2,0.2,2.72278,-0.41329,2.71519,0.18354,0.35759,0.06646,3.13924,0.00633,0.01899,0,1.68987,0.10443,0.04114,1.58861,0.03165,0.02848,0.64557,0,5.09177,27.9,0.86835,-0.28987,-0.16646,-0.57785,-0.02405,0.99177,22.77975,5.59937,1.64051,5.04873,-0.1,-0.59051,-0.59684,-0.6,29.84304,19.87468,0.02215
1,2_559e64534e8f14ceba25bf155375c0f2eb00167dclass,7.96293,11.80541,4.44247,7.96293,5.4888,2.5556,-0.40502,7.73784,11.50425,-0.38489,0.18031,0.18031,3.91737,-0.25251,3.64093,0.2973,0.25097,0.32819,4.22008,0.00579,0,0,1.60232,0.16023,0.01931,1.53089,0.0251,0.02703,0.82239,0,3.36873,32.90772,1.47336,-0.24479,-0.2332,-0.57104,-0.2332,3.59498,21.80347,7.10077,0.79189,6.46371,-0.07104,-0.59035,-0.57683,-0.45714,36.31892,16.28996,0.04826
2,8_0914da57a96d6270ebc8d1a954e88eb454d02d10class,7.09758,11.2744,4.77681,7.09758,4.37101,2.27633,-0.44058,6.56908,3.40966,-0.44467,0.2,0.2,3.11498,-0.37295,3.24638,0.1401,0.27053,0.05797,3.57488,0.00966,0.00483,0,1.71981,0.07729,0.04348,1.61836,0.00483,0.05314,0.45894,0,2.75362,28.19227,0.96039,-0.23285,-0.2715,-0.57101,0.16812,0.71401,18.72367,6.58841,2.34203,5.87826,-0.0686,-0.59034,-0.6,-0.6,30.35169,20.16812,0.01449
3,4_776e71190dd77dea9e0aee9e2e193767e99c370aclass,7.15839,11.4365,4.8781,7.15839,4.25036,2.38832,-0.48686,5.82336,2.45839,-0.46643,0.2,0.2,2.81241,-0.38832,2.82117,0.20438,0.34307,0.0438,3.20803,0.0073,0.0219,0,1.62409,0.07664,0.04745,1.5292,0.01095,0.0365,0.52555,0,4.5219,27.83066,0.98029,-0.30438,-0.09635,-0.5781,0.04964,1.19197,21.10438,5.64818,1.91825,5.04964,-0.0927,-0.5927,-0.59635,-0.6,29.19562,19.12993,0.0219
4,7_e6f26ec18b1a95d43a6190a6aacfbc4ac359acadclass,6.03627,9.23333,3.79706,6.03627,4.3902,1.81078,-0.44314,5.33137,1.6549,-0.44248,0.19454,0.19454,3.11078,-0.46765,3.40196,0.10784,0.05882,0.14216,3.60294,0.0098,0,0,1.62745,0.01961,0.01471,1.55882,0,0.05392,0.38235,0,0.60294,28.36569,1.02255,-0.26176,-0.20784,-0.54608,0.63529,0.32647,23.19902,6.72843,3.81176,5.84118,-0.06078,-0.5902,-0.6,-0.6,28.05686,15.43922,0
5,9_1758889a3106f896f91763b180c976095f1235c8class,5.93673,9.09898,3.76224,5.93673,4.05816,1.81429,-0.44184,5.13469,1.50204,-0.44354,0.19429,0.19429,2.92041,-0.46735,3.31633,0.08673,0.06122,0.05612,3.43367,0.0102,0,0,1.61735,0.02041,0.01531,1.54592,0,0.05612,0.39796,0,0.60714,26.58878,0.96633,-0.26327,-0.25816,-0.57449,0.62959,0.27245,20.27755,6.37449,3.93061,5.68571,-0.05918,-0.5898,-0.6,-0.6,27.43061,16.05306,0
6,5_027e31d5c84161fc68573c627d60be06941b0021class,6.01711,9.03636,3.61925,6.01711,5.94011,1.8246,-0.43422,5.14866,1.82781,-0.44203,0.2,0.2,3.66738,-0.59465,3.94118,0.03743,0.06952,0.21925,4.22995,0.0107,0,0,1.65241,0.02139,0,1.5508,0.02674,0.07487,0.32086,0,1.13369,32.48556,2.0631,-0.32193,0.82246,-0.6,1.40535,-0.07594,27.40535,7.20214,4.33583,5.99358,-0.01711,-0.5893,-0.6,-0.6,26.17005,16.80642,0.03743
7,3_1b3f7949962d01e3d5724437d1fc4d301c124c3bclass,6.67692,10.44103,4.3641,6.67692,4.53846,2.28718,-0.47179,5.95385,2.6359,-0.45242,0.2,0.2,2.98974,-0.32821,3.0359,0.21538,0.28205,0.05641,3.37436,0.01026,0,0,1.55385,0.10256,0.06154,1.42564,0.01026,0.05641,0.44615,0,2.94359,27.08718,1.02564,-0.25128,-0.05128,-0.56923,0.29231,0.86667,17.71795,5.75385,2.54872,5.12308,-0.06154,-0.58974,-0.6,-0.6,27.70256,21.46667,0.02051
8,6_2737f2e6d7bd36764040cd0ad0e1b555d4d2f6ddclass,8.28,13.74133,6.06133,8.28,5.13067,2.70667,-0.448,6.53333,9.23467,-0.36478,0.16866,0.16866,3.544,-0.352,3.208,0.24267,0.32,0.37333,3.90133,0.00533,0.00267,0,1.79733,0.14133,0.016,1.712,0.03733,0.032,0.71733,0,5.008,31.44533,1.24533,-0.208,-0.20533,-0.57867,-0.17067,4.50933,21.928,6.19467,1.00267,5.48533,-0.056,-0.592,-0.568,-0.56533,34.976,25.024,0.016
9,1_7a4d241413e471e7e16b9c1818bf9fd269b3a52dclass,8.19485,13.3274,5.73255,8.19485,5.27588,2.63981,-0.42201,7.20562,10.6459,-0.36868,0.17059,0.17059,3.62717,-0.30023,3.32553,0.28103,0.28103,0.33958,3.94614,0.00468,0,0,1.69555,0.21311,0.01405,1.61593,0.03044,0.03513,0.76347,0,5.16393,31.72787,1.34848,-0.21124,-0.15738,-0.57658,-0.14333,4.22201,20.60375,6.48899,0.91288,5.80515,-0.06136,-0.59297,-0.5719,-0.48993,35.26183,24.42342,0.0445
