,commitID,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
0,3_170fe4fc440055b845d729fd24372204a25343daclass,6.05778,11.08444,5.02667,6.05778,5.05778,1.68444,0.2,6.62667,2.96,0.15969,0,0,3.64889,0.23556,3.14222,0.18667,0.24889,0.07111,3.46222,0.00889,0,0,1.72889,0.08889,0.05333,1.61778,0.00889,0.04889,0.43556,0,2.64,28.44444,1.66667,0.34222,0.47556,0.02667,0.80889,1.36,18.09778,6.89333,2.76444,6.20444,0.50222,0.00889,0,0,29.26667,23.80889,0.02222
1,7_9a30c583bf109f61893daf8e4b3ebda8b80ac177class,5.45631,9.85437,4.39806,5.45631,4.99515,1.21359,0.16019,5.96117,2.24757,0.15653,-0.00541,-0.00541,3.72816,0.13107,3.42233,0.1068,0.05825,0.14078,3.62136,0.00971,0,0,1.62136,0.01942,0.01456,1.5534,0,0.0534,0.37864,0,0.59709,29.31553,1.61165,0.33495,0.38835,0.0534,1.2233,0.91748,25.07282,7.39806,4.36893,6.47573,0.53398,0.00971,0,0,28.66019,15.8932,0
2,1_fc57f88642c3438a1bbb5a4804e2f174a0c6e7a0class,7.6338,14.04225,6.40845,7.6338,5.89202,2.02817,0.16901,7.82864,11.28169,0.2315,-0.02918,-0.02918,4.23709,0.30047,3.32864,0.28169,0.28638,0.34038,3.9554,0.00469,0,0,1.69484,0.21362,0.01408,1.61502,0.03052,0.03521,0.76056,0,5.17606,32.38498,1.95775,0.38967,0.44836,0.02347,0.45775,4.83099,21.21362,7.11502,1.51643,6.42019,0.53991,0.00704,0.02817,0.11033,35.92488,22.67606,0.04225
3,9_b2f60b872c4da1113159f44e9354fbfa11edad9bclass,5.32995,9.68528,4.35533,5.32995,4.6802,1.2132,0.15736,5.71066,2.27411,0.15566,-0.00568,-0.00568,3.54822,0.13198,3.29949,0.08629,0.06091,0.10152,3.46193,0.01015,0,0,1.60914,0.0203,0.01523,1.53807,0,0.05584,0.39594,0,0.60406,27.1066,1.55838,0.33503,0.3401,0.02538,1.22335,0.86802,20.77157,6.93909,4.50761,6.25381,0.53807,0.01015,0,0,28.07107,16.5736,0
4,8_a82d8bc2f4d5f1c34f6f6442f769b62f28191256class,6.27184,11.42233,5.15049,6.27184,5.06796,1.42233,0.16019,7.01456,4.1068,0.18213,0,0,3.81068,0.22816,3.34466,0.14078,0.27184,0.0534,3.6699,0.00971,0,0,1.7233,0.07767,0.04369,1.62136,0.00485,0.0534,0.46117,0,2.77184,28.90291,1.64078,0.36893,0.32524,0.02913,0.77184,1.31553,19.42233,7.24272,2.95631,6.50485,0.52913,0.00971,0,0,30.90291,15.8932,0.01456
5,2_c85c639d5d5eed986398c4a5759c32bb55e21171class,7.37209,12.43411,5.06202,7.37209,6.10078,1.95736,0.1938,8.33527,12.17054,0.21542,-0.01974,-0.01974,4.52519,0.34884,3.64535,0.29845,0.25194,0.32946,4.22674,0.00581,0,0,1.5969,0.15116,0.01938,1.52519,0.02519,0.02713,0.81395,0,3.32946,33.53101,2.0814,0.35659,0.36628,0.02907,0.36628,4.21124,22.47287,7.67054,1.39341,7.03295,0.53101,0.00969,0.02326,0.14341,36.85271,16.95155,0.04845
6,6_edcbb26d6157dac990505d95bde828d439c3790bclass,7.664,14.30933,6.64533,7.664,5.71733,2.10667,0.152,7.096,9.71467,0.23521,-0.03134,-0.03134,4.13067,0.248,3.21333,0.24267,0.32,0.35467,3.888,0.00533,0.00267,0,1.79733,0.14133,0.016,1.712,0.03733,0.032,0.71733,0,4.984,31.92267,1.84533,0.392,0.39467,0.02133,0.42933,5.13333,22.51467,6.77067,1.6,6.06133,0.544,0.008,0.032,0.03467,35.52267,25.624,0.016
7,5_b3f31d90e09789527a1f9b81c25eb775c59196edclass,5.51351,9.82162,4.30811,5.51351,7.06486,1.17297,0.11351,6.1027,3.41622,0.16851,0,0,4.56216,0.00541,4.22703,0.03784,0.07027,0.22703,4.52432,0.01081,0,0,1.67027,0.02162,0,1.56757,0.02703,0.07568,0.32432,0,1.14595,35.2,3.05405,0.31892,1.6,0,2.14054,0.55676,28.47027,8.10811,5.09189,6.83243,0.60541,0.01081,0,0,27.97297,12.04865,0.03784
8,4_b848a1bb29cd2c28a62dea43f795062af6740eb3class,6.62454,12.1487,5.52416,6.62454,4.89591,1.75465,0.10409,6.52416,3.08922,0.1342,0,0,3.43123,0.21561,2.83643,0.20818,0.34201,0.04461,3.22305,0.00743,0.0223,0,1.63941,0.07807,0.04833,1.54275,0.01115,0.03717,0.52045,0,4.60223,28.75836,1.60223,0.30112,0.51301,0.0223,0.66171,1.82528,22.09294,6.34944,2.56134,5.73978,0.51673,0.00743,0.00372,0,29.91822,16.27138,0.0223
9,10_040903ab5d8e656706fd6c5859c7724ca9b7f691class,6.65079,12.29206,5.64127,6.65079,4.72063,1.86667,0.10159,6.25714,2.93333,0.13002,0,0,3.32381,0.1873,2.74286,0.18413,0.35873,0.0381,3.13968,0.00635,0.01905,0,1.69524,0.10476,0.04127,1.59365,0.03175,0.02857,0.64762,0,5.10794,28.52381,1.46032,0.31111,0.43492,0.02222,0.57778,1.59365,23.44762,6.20952,2.24762,5.66032,0.49524,0.00952,0.00317,0,30.4254,20.53651,0.02222
0,2_465e43fc6827eb6dd463c96c93f1fa4f5bc3d4aclass,3.26087,4.54348,1.28261,3.26087,9.66304,2.04348,0.33696,11.08696,9.66304,0.25073,-0.11364,-0.11364,3.54348,0.15217,2.13043,0.82609,0.47826,0.1087,2.73913,0.01087,0.01087,0,2.73913,0.70652,0.09783,2.04348,0.54348,0.05435,0.76087,0,1,54.03261,2.07609,0.79348,1.33696,0.8587,0.20652,8.70652,0.67391,8.02174,2.78261,7.93478,1.11957,0.21739,0.13043,0,62.13043,68.08696,1.71739
1,1_d3e455915dc9a50c68979aaf64bb206c896c85fclass,3.55,4.55,1,3.55,5.65,2.3,0.4,11.05,2.1,0.17356,-0.16667,-0.16667,2.05,0.1,1.55,0.1,0.05,0.35,1.95,0,0,0,1.9,0.05,0,1.6,0.25,0.05,0.05,0,0.75,40.85,0.6,0.4,1,1.1,0.15,6.6,0.3,3.85,1.9,5,1.3,0.05,0.15,0,37.85,103.6,0.85
2,3_9b48330ade4c84abc9ea14d69a87a32e5f94bf1class,3.8,4.9,1.1,3.8,5.95,2.1,0.35,12.2,2.3,0.2128,0,0,2.25,0.1,1.6,0.1,0.2,0.35,2.15,0,0,0,1.85,0.05,0,1.5,0.3,0.05,0.05,0,0.7,42.75,0.6,0.45,0.9,1.15,0.15,7.1,0.3,4.3,2.15,5.45,1.35,0.05,0.15,0,40.6,52.4,1.3
0,10_1573d80c37b6a6ad7df46fd551c13a4dc686c33class,2.91603,5.19466,2.27863,2.91603,12.54962,1.30916,0.0916,7.94656,130.22519,0.17326,-0.07194,-0.07194,7.14885,0.59542,4.74809,0.33969,0.15649,1.90458,6.82443,0.00763,0.01145,0.06107,1.77481,0.72901,0.43893,1.14885,0.05725,0.12977,0.69084,0,4.70611,49.03435,3.82443,0.60687,2.04962,0.61069,0.69466,11.06107,4.93893,7.41985,2.4771,4.61832,0.70992,0.41985,0.03435,0,47.74809,16.04198,0.04962
