,commitID,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
0,1_47b09ac97ff1adea0ddb9c3d73cb402c8fc9b4b0class,6.17882,13.15452,6.3757,7.37882,5.30405,1.25047,-0.50031,5.59003,3.46916,-0.47249,0,0,3.95202,0.79315,2.61371,0.17445,0.35202,0.21184,3.17757,0.00623,0.00312,0,1.67913,0.10592,0.0405,1.57944,0.03115,0.02804,0.64174,0,4.95016,27.33146,0.84548,-0.30717,-0.17009,-0.57819,-0.03302,0.97009,21.93894,5.42492,1.59315,4.87975,-0.0891,-0.59065,-0.59688,-0.6,30.27227,19.57134,-0.57819
1,4_848c973de8d9864ff50f5a8ceaefd35564391cc6class,6.04873,12.89114,6.24241,7.24873,5.31835,1.26392,-0.49873,5.63101,3.5557,-0.47326,0,0,3.92278,0.78671,2.71519,0.18354,0.35759,0.06646,3.13924,0.00633,0.01899,0,1.68987,0.10443,0.04114,1.58861,0.03165,0.02848,0.64557,0,5.09177,27.9,0.86835,-0.28987,-0.16646,-0.57785,-0.02405,0.99177,22.77975,5.59937,1.64051,5.04873,-0.1,-0.59051,-0.59684,-0.6,29.84304,19.87468,-0.57785
2,2_6db5adb4ef265d1220a67135bcf3f645eb49125fclass,6.05615,12.90915,6.253,7.25615,5.33817,1.2612,-0.49905,5.63344,3.85868,-0.47379,0,0,3.947,0.78612,2.68454,0.18297,0.35647,0.12303,3.16404,0.00631,0.01893,0,1.68454,0.1041,0.04101,1.5836,0.03155,0.02839,0.64353,0,5.07571,27.86372,0.86372,-0.29085,-0.16782,-0.57792,-0.02587,0.98675,22.70599,5.59243,1.63344,5.04353,-0.10158,-0.59054,-0.59685,-0.6,29.96782,19.81325,-0.57792
3,3_c22a7056781f68b8f346fbd8983dfd7e857b88d0class,6.125,13.04688,6.32188,7.325,5.29062,1.25312,-0.5,5.59688,3.36562,-0.47195,0,0,3.93438,0.79375,2.64062,0.175,0.35312,0.16562,3.15938,0.00625,0.01875,0,1.68438,0.10625,0.04062,1.58438,0.03125,0.02812,0.64375,0,4.96562,27.38125,0.85,-0.30625,-0.16875,-0.57812,-0.03125,0.975,22.00938,5.44062,1.6,4.89375,-0.09062,-0.59062,-0.59688,-0.6,30.19375,19.63125,-0.57812
0,1_9b06b52145aef24dbcb571ba559d0dce5583fb37class,2.76596,4.02128,1.25532,2.76596,7.29787,2.19149,0.38298,7.80851,7.3617,0.22837,-0.14815,-0.14815,3.25532,0.06383,2,0.42553,0.68085,0.14894,2.87234,0,0,0,1.68085,0.12766,0.02128,1.10638,0.53191,0.02128,0.29787,0,0.53191,39.82979,1.59574,0.3617,1.19149,0.70213,0.02128,6.80851,0.3617,4.48936,1.74468,4.93617,0.91489,0.10638,0.14894,0,49.97872,88.08511,0.89362
1,2_3dafc0921bd37c3cfd51b477f777c83489b6d66cclass,4.25263,4.70526,0.45263,4.25263,4.32421,1.79789,0.08632,6.81053,18.74105,0.18933,-0.00568,-0.00568,2.97263,0.07368,2.04632,0.23368,0.62316,0.06947,2.73895,0,0.03789,0,1.72842,0.37474,0.08,1.38947,0.02947,0.22947,0.50316,0,0.38737,33.14737,0.71579,0.28211,0.39579,0.06947,0.27158,8.70947,5.72632,5.09895,1.57263,4.02105,0.46316,0.28211,0.15789,0,35.13895,5.61895,0.06526
0,7_889ae2c76bc221d77632cb3d5d0d9da7683903f2class,3.11437,5.49853,2.38416,3.11437,12.37537,1.22581,0.10557,7.74487,100.62757,0.1764,-0.00546,-0.00546,7.34897,0.42815,4.79472,0.37537,0.21994,1.95894,6.9912,0.06745,0.16422,0.04985,2,0.739,0.41349,1.20821,0.04692,0.33138,0.76833,0,2.02639,47.65982,3.90323,0.48387,2.19941,0.54545,0.58651,9.83578,4.0088,7.34311,2.18475,4.77713,0.65103,0.40762,0.02053,0,47.2346,27.31672,0.15543
1,11_568046419bbc2f1399948bce9a1d40009792bffbclass,3.04194,5.39677,2.35484,3.04194,12.32581,1.21935,0.1,7.68065,97.32903,0.17898,-0.00599,-0.00599,7.33548,0.42903,4.76774,0.37097,0.22903,1.96774,6.98387,0.05161,0.17742,0.05484,1.99677,0.74516,0.42258,1.18387,0.05161,0.33871,0.75161,0,2.07097,47.6871,3.87742,0.50323,2.14194,0.53226,0.59677,10.05484,3.74839,7.31613,2.14839,4.79355,0.67097,0.41613,0.02258,0,47.54839,25.23871,0.12903
2,6_f315476738d3240da96384891f2d02fa97d2b360class,3.72939,5.73297,2.00358,3.72939,12.01792,1.2043,0.10753,8.2043,81.91219,0.14102,-0.00778,-0.00778,6.38172,0.50896,4.1129,0.28853,0.34946,1.63082,6.11111,0.04659,0.13262,0.04301,1.76165,0.69892,0.37455,1.01792,0.07348,0.2957,0.77061,0,1.88351,50,3.15412,0.82258,2.09319,0.98746,0.62903,10.71685,4.67025,7.35842,2.53943,4.99462,1.46237,0.30466,0.01434,0,45.91219,26.7957,0.1595
3,13_46003eb5cd8d2933c3dd24eb4143ee64a3eb56bfclass,3.11677,5.46707,2.3503,3.11677,12.41916,1.22754,0.10778,7.70958,101.94012,0.17811,-0.00568,-0.00568,7.43114,0.42515,4.85928,0.37126,0.21557,1.98503,7.07784,0.06886,0.16467,0.0509,2.01796,0.74251,0.41916,1.21257,0.0479,0.33832,0.77844,0,1.90719,47.97305,3.92216,0.49102,2.15569,0.55389,0.58982,9.97605,3.95808,7.37425,2.17665,4.81138,0.65269,0.41617,0.02096,0,47.50898,27.78144,0.15868
