,commitID,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
0,1_47b09ac97ff1adea0ddb9c3d73cb402c8fc9b4b0class,7.37882,13.15452,6.3757,7.37882,5.30405,1.25047,0.69969,6.79003,3.46916,0.72751,0.2,0.2,3.95202,0.79315,3.21371,0.77445,0.95202,0.81184,3.77757,0.60623,0.60312,0.6,2.27913,0.70592,0.6405,2.17944,0.63115,0.62804,1.24174,0.6,5.55016,28.53146,2.04548,0.89283,1.02991,0.62181,1.16698,2.17009,23.13894,6.62492,2.79315,6.07975,1.1109,0.60935,0.00312,0,30.87227,20.17134,0.02181
1,4_848c973de8d9864ff50f5a8ceaefd35564391cc6class,7.24873,12.89114,6.24241,7.24873,5.31835,1.26392,0.70127,6.83101,3.5557,0.72674,0.2,0.2,3.92278,0.78671,3.31519,0.78354,0.95759,0.66646,3.73924,0.60633,0.61899,0.6,2.28987,0.70443,0.64114,2.18861,0.63165,0.62848,1.24557,0.6,5.69177,29.1,2.06835,0.91013,1.03354,0.62215,1.17595,2.19177,23.97975,6.79937,2.84051,6.24873,1.1,0.60949,0.00316,0,30.44304,20.47468,0.02215
2,2_6db5adb4ef265d1220a67135bcf3f645eb49125fclass,7.25615,12.90915,6.253,7.25615,5.33817,1.2612,0.70095,6.83344,3.85868,0.72621,0.2,0.2,3.947,0.78612,3.28454,0.78297,0.95647,0.72303,3.76404,0.60631,0.61893,0.6,2.28454,0.7041,0.64101,2.1836,0.63155,0.62839,1.24353,0.6,5.67571,29.06372,2.06372,0.90915,1.03218,0.62208,1.17413,2.18675,23.90599,6.79243,2.83344,6.24353,1.09842,0.60946,0.00315,0,30.56782,20.41325,0.02208
3,3_c22a7056781f68b8f346fbd8983dfd7e857b88d0class,7.325,13.04688,6.32188,7.325,5.29062,1.25312,0.7,6.79688,3.36562,0.72805,0.2,0.2,3.93438,0.79375,3.24062,0.775,0.95312,0.76562,3.75938,0.60625,0.61875,0.6,2.28438,0.70625,0.64062,2.18438,0.63125,0.62812,1.24375,0.6,5.56562,28.58125,2.05,0.89375,1.03125,0.62188,1.16875,2.175,23.20938,6.64062,2.8,6.09375,1.10938,0.60938,0.00312,0,30.79375,20.23125,0.02188
0,1_9b06b52145aef24dbcb571ba559d0dce5583fb37class,2.76596,4.02128,1.25532,2.76596,7.29787,2.19149,0.38298,7.80851,7.3617,0.22837,-0.14815,-0.14815,3.25532,0.06383,2,0.42553,0.68085,0.14894,2.87234,0,0,0,1.68085,0.12766,0.02128,1.10638,0.53191,0.02128,0.29787,0,0.53191,39.82979,1.59574,0.3617,1.19149,0.70213,0.02128,6.80851,0.3617,4.48936,1.74468,4.93617,0.91489,0.10638,0.14894,0,49.97872,88.08511,0.89362
0,10_ca924e3054abc4a091eb60ffb94f8505832cc077class,3.27717,5.65489,2.37772,3.27717,12.26359,1.24185,0.125,7.74185,99.13587,0.17675,-0.00995,-0.00995,7.30163,0.4375,4.8288,0.375,0.21196,1.88587,6.94565,0.07065,0.17663,0.0462,1.96739,0.6875,0.3913,1.19565,0.05978,0.32065,0.72011,0,1.99185,47.61141,3.94837,0.47011,2.17935,0.53261,0.57609,9.72011,3.88043,7.31522,2.19293,4.81522,0.66576,0.3913,0.03261,0,46.66848,31.15761,0.14946
1,8_f99a818c9e2c7df095fb59670fb47f6c479f4e1eclass,3.10394,5.39427,2.29032,3.10394,12.56631,1.31183,0.09677,7.82796,95.85663,0.18911,-0.05063,-0.05063,7.27957,0.42294,4.63441,0.319,0.30466,2.02151,6.97849,0.01792,0.14695,0.05018,1.91398,0.80287,0.45878,1.26165,0.06452,0.12903,0.7957,0,4.2509,48.34409,3.94265,0.54122,2.21505,0.54839,0.64875,10.82796,4.42294,7.37993,2.29032,4.70609,0.68817,0.38351,0.02509,0,46.63441,26.5448,0.12186
2,5_87a9586b5032eb8ee478c3e2645de62daa0f5046class,3,5.29213,2.29213,3,13.15356,1.29213,0.09738,7.97378,129.59176,0.18515,-0.05594,-0.05594,7.62921,0.44195,5.03745,0.35206,0.27341,1.96629,7.29588,0.00749,0.15356,0.05243,1.94757,0.81273,0.47191,1.27341,0.06742,0.13483,0.80524,0,4.1161,50.29963,4.03745,0.55431,2.29588,0.56929,0.68539,10.95131,4.58801,7.85393,2.40449,4.7603,0.71536,0.40075,0.02622,0,47.85019,19.85768,0.04869
3,17_568046419bbc2f1399948bce9a1d40009792bffbclass,3.04194,5.39677,2.35484,3.04194,12.32581,1.21935,0.1,7.68065,97.32903,0.17898,-0.00599,-0.00599,7.33548,0.42903,4.76774,0.37097,0.22903,1.96774,6.98387,0.05161,0.17742,0.05484,1.99677,0.74516,0.42258,1.18387,0.05161,0.33871,0.75161,0,2.07097,47.6871,3.87742,0.50323,2.14194,0.53226,0.59677,10.05484,3.74839,7.31613,2.14839,4.79355,0.67097,0.41613,0.02258,0,47.54839,25.23871,0.12903
4,2_9f291c7f73a1deebc6146172c44673616d0053dfclass,3.01128,5.30451,2.29323,3.01128,13.25188,1.29323,0.09774,8.18797,132.10902,0.18415,-0.05634,-0.05634,7.59023,0.44361,5.02256,0.35338,0.27444,1.93985,7.2594,0.00752,0.15414,0.05263,1.94361,0.81579,0.47368,1.27068,0.06391,0.13534,0.80827,0,4.45865,50.82331,4.02256,0.57895,2.31955,0.59023,0.71053,11.05639,4.78571,7.92481,2.42857,4.82707,0.71429,0.40602,0.02632,0,47.84586,19.92481,0.04887
