,commitID,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
0,1_c22a7056781f68b8f346fbd8983dfd7e857b88d0class,6.725,12.44688,5.72188,6.725,4.69062,1.85312,0.1,6.19688,2.76562,0.12805,-0.11385,-0.12385,3.33438,0.19375,2.64062,0.175,0.35312,0.16562,3.15938,0.00625,0.01875,0,1.68438,0.10625,0.04062,1.58438,0.03125,0.02812,0.64375,0,4.96562,27.98125,1.45,0.29375,0.43125,0.02188,0.56875,1.575,22.60938,6.04062,2.2,5.49375,0.50938,0.00938,0.00312,0,30.79375,20.23125,0.02188
1,2_848c973de8d9864ff50f5a8ceaefd35564391cc6class,6.64873,12.29114,5.64241,6.64873,4.71835,1.86392,0.10127,6.23101,2.9557,0.12674,-0.10385,-0.10185,3.32278,0.18671,2.71519,0.18354,0.35759,0.06646,3.13924,0.00633,0.01899,0,1.68987,0.10443,0.04114,1.58861,0.03165,0.02848,0.64557,0,5.09177,28.5,1.46835,0.31013,0.43354,0.02215,0.57595,1.59177,23.37975,6.19937,2.24051,5.64873,0.5,0.00949,0.00316,0,30.44304,20.47468,0.02215
2,3_f697f91191561779b933262d181832c9abfb9497class,6.69279,12.37931,5.68652,6.69279,4.67398,1.8558,0.10031,6.19122,2.55172,0.12848,-0.1385,-0.1385,3.31348,0.19436,2.65831,0.17555,0.35737,0.12226,3.13793,0.00627,0.01881,0,1.68966,0.10658,0.04075,1.58934,0.03135,0.02821,0.64577,0,4.98119,28.03135,1.45455,0.29467,0.4326,0.02194,0.57053,1.57994,22.68025,6.05956,2.2069,5.51097,0.50784,0.0094,0.00313,0,30.68966,20.29154,0.02194
3,4_040903ab5d8e656706fd6c5859c7724ca9b7f691class,6.65079,12.29206,5.64127,6.65079,4.72063,1.86667,0.10159,6.25714,2.93333,0.13002,-0.05385,-0.05385,3.32381,0.1873,2.74286,0.18413,0.35873,0.0381,3.13968,0.00635,0.01905,0,1.69524,0.10476,0.04127,1.59365,0.03175,0.02857,0.64762,0,5.10794,28.52381,1.46032,0.31111,0.43492,0.02222,0.57778,1.59365,23.44762,6.20952,2.24762,5.66032,0.49524,0.00952,0.00317,0,30.4254,20.53651,0.02222
0,1_afb7948ff28f07e01891299c10157f3390572d1class,2.69565,3.8913,1.19565,2.69565,7.45652,2.13043,0.36957,7.80435,9.47826,0.21919,-0.15385,-0.15385,3.32609,0.06522,2.04348,0.43478,0.69565,0.15217,2.93478,0,0,0,1.71739,0.13043,0.02174,1.13043,0.54348,0.02174,0.30435,0,0.54348,40.65217,1.63043,0.36957,1.21739,0.71739,0.02174,6.95652,0.36957,4.58696,1.78261,5.04348,0.8913,0.1087,0.15217,0,49.67391,67.71739,0.91304
0,8_8555652e26581e4196bbd36dffa086178c4be7eclass,3.10469,5.45126,2.34657,3.10469,12.61011,1.30325,0.09747,7.85921,96.35018,0.18672,-0.05128,-0.05128,7.2852,0.42599,4.65704,0.3213,0.27437,2.03249,6.98195,0.01083,0.14801,0.05054,1.92419,0.80505,0.46209,1.26715,0.06498,0.12996,0.79783,0,4.28159,48.55957,3.95668,0.54513,2.23105,0.55235,0.65343,10.90614,4.45126,7.42599,2.30686,4.73646,0.69314,0.38628,0.02527,0,46.66065,23.0361,0.12274
1,13_10855b4d4f30d1947884c7cfb2d5519aa3b6b2fclass,3.12353,5.51471,2.39118,3.12353,12.40588,1.22647,0.10588,7.76471,100.92059,0.17692,-0.00549,-0.00549,7.36471,0.42941,4.80882,0.37647,0.22059,1.95882,7.00588,0.06765,0.16471,0.05,2.00588,0.74118,0.41471,1.21176,0.04706,0.33235,0.77059,0,2.03235,47.78824,3.91471,0.48529,2.20588,0.54706,0.58824,9.86471,4.02059,7.36471,2.19118,4.79118,0.65294,0.40882,0.02059,0,47.24412,27.53824,0.15588
2,14_2b5e1042bb277ae1ecacf8998a14d74bf2e4bf7class,3.11702,5.42553,2.30851,3.11702,12.53191,1.30851,0.09574,7.75887,98.18794,0.18604,-0.03797,-0.03797,7.30142,0.42199,4.65248,0.3156,0.30142,2.03191,7.00355,0.01773,0.14539,0.04965,1.90426,0.80142,0.46099,1.25177,0.06383,0.12766,0.79433,0,3.98582,48.28014,3.9078,0.52837,2.20213,0.54255,0.64184,10.76241,4.4078,7.37589,2.29078,4.6844,0.68085,0.39007,0.02482,0,47.23404,26.81915,0.12057
3,9_afab59d97c640b0af3949a1c2f8e5fd04c10288class,3.11404,5.49708,2.38304,3.11404,12.38596,1.22515,0.10526,7.73684,100.23392,0.17595,-0.01087,-0.01087,7.34211,0.4269,4.79532,0.37427,0.2193,1.95322,6.98538,0.06725,0.16374,0.04971,1.99415,0.70468,0.40643,1.17836,0.04678,0.36257,0.73392,0,2.01462,47.59064,3.92398,0.48246,2.22807,0.54386,0.59357,9.81579,4.02339,7.34211,2.19591,4.77193,0.65497,0.40643,0.02047,0,47.25731,27.23977,0.15497
4,2_1eba488d80bc4ea3894f3ffe8c4a472b678a1c4class,3.02642,5.33962,2.31321,3.02642,13.23774,1.30189,0.09434,8.1283,133.12453,0.18193,-0.05674,-0.05674,7.60755,0.44528,5.03019,0.36226,0.27547,1.93962,7.26792,0.00755,0.15472,0.05283,1.9434,0.81132,0.47547,1.26792,0.06415,0.13585,0.79245,0,4.36604,50.63774,4.01509,0.57736,2.32075,0.56981,0.70943,11.06038,4.72075,7.86792,2.43019,4.81887,0.71321,0.40755,0.02642,0,47.90189,19.99623,0.04906
