,commitID,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
0,8_c8e5c029e76206d5e341f187aecc8c8eb2c78e4bclass,6.30868,8.30868,2.6,6.30868,5.75966,2.28347,0.70364,6.96975,3.93053,0.74293,-0.23343,-0.23343,4.14062,0.80728,2.7535,0.2409,0.33053,0.21569,3.29972,0.0056,0.0028,0,1.72269,0.11765,0.03641,1.62465,0.03361,0.02801,0.67227,0,1.77591,30.74286,2.3423,0.99216,1.0958,0.62241,0.99776,6.03697,22.36471,7.13782,2.11821,6.47395,1.14902,0.6084,0.63081,0.62241,33.06218,21.70644,0.01681
1,3_1dfb4d20147c956629966bdf7d3f9d82e604aeebclass,6.55327,9.55327,3.6,6.55327,5.96449,2.28692,0.7215,7.34299,4.38505,0.74037,-0.2,-0.2,4.27757,0.86636,3.09813,0.2243,0.29907,0.05607,3.45327,0.00935,0.02336,0,1.58411,0.09813,0.06075,1.46262,0.01402,0.04673,0.45327,0,2.84579,29.45047,2.33832,0.94112,1.22617,0.62804,1.41308,2.78224,19.16542,7.14673,3.62804,6.46449,1.16542,0.60935,0.60467,0.6,31.38505,20.79626,0.02804
2,4_aecaa15930f4e6799341f05bae722c4f2063b15dclass,7.36053,9.57783,2.81729,7.36053,6.51796,2.41818,0.75965,8.29623,11.58448,0.82759,-0.22828,-0.22828,4.85942,0.91042,3.35698,0.29047,0.27273,0.33925,3.96896,0.00665,0,0,1.66297,0.20399,0.0133,1.58758,0.02882,0.03326,0.76053,0,3.33481,33.20976,2.56009,0.97694,1.04568,0.62217,1.05233,5.18537,21.60665,7.97472,2.1122,7.26297,1.13659,0.61109,0.62882,0.71308,36.90377,24.33614,0.04213
3,7_0fb781c74f2987945e1f84860cf21dbdd3866ee0class,6.44211,9.289,3.44689,6.44211,5.65263,2.26986,0.74354,7.3799,4.99234,0.76156,-0.2,-0.2,4.33206,0.84402,3.2488,0.16268,0.26316,0.05742,3.56938,0.00957,0,0,1.72249,0.08134,0.04306,1.62201,0.00478,0.05263,0.45455,0,2.63158,29.71483,2.18373,0.97799,0.93971,0.63349,1.35598,1.95407,19.8823,7.80574,3.58086,7.09282,1.14067,0.60957,0.6,0.6,31.30335,21.17895,0.01435
4,10_959147cad87818bc4e3c93675e39c61af0cc7900class,7.45571,9.59198,2.73627,7.45571,6.62204,2.39559,0.78437,8.3976,11.99078,0.80905,-0.22064,-0.22064,5.05291,0.93267,3.55711,0.29659,0.26653,0.33267,4.15631,0.00601,0,0,1.57916,0.14629,0.01804,1.51102,0.02605,0.02405,0.76353,0,2.88377,33.81643,2.61603,0.96473,0.96273,0.62204,0.97675,4.9006,23.14709,8.19319,2.02285,7.53788,1.12906,0.61002,0.62405,0.73627,36.86253,20.14709,0.04409
5,1_fd4e7fdba17a36ad139d27de5ab8ccf09ebca3b0class,6.47296,8.83453,2.96156,6.47296,5.21564,2.3329,0.69446,6.53811,3.27101,0.72369,-0.2,-0.2,3.8671,0.78893,2.69707,0.1759,0.35505,0.03909,3.09121,0.00651,0.01954,0,1.64495,0.08469,0.04235,1.53746,0.03257,0.03257,0.61238,0,3.35831,28.70749,2.06254,0.88339,1.05277,0.61954,1.20912,2.20586,23.68143,6.69446,2.88339,6.14397,1.09186,0.60977,0.60326,0.6,30.59349,21.6456,0.01954
6,5_3f36e5cb50ab525d1a836fabd3e4388925e001d2class,6.54006,9.04479,3.10473,6.54006,5.22776,2.30347,0.69464,6.57792,3.1142,0.72594,-0.2,-0.2,3.88707,0.79558,2.63091,0.17666,0.35647,0.12303,3.11041,0.00631,0.01893,0,1.67823,0.1041,0.04101,1.57729,0.03155,0.02839,0.64353,0,3.68454,28.46435,2.04164,0.89653,1.02271,0.62208,1.17413,2.16782,23.23091,6.65994,2.82082,6.12366,1.10158,0.60946,0.60315,0.6,31.12681,21.01325,0.02208
7,9_744de0d2ebd52b3f80b6d70511cf8cecc70499e1class,7.46105,9.81684,2.95579,7.46105,6.62316,2.39158,0.75789,8.44421,12.02105,0.83502,-0.22184,-0.22184,5.04211,0.94526,3.51789,0.31579,0.26316,0.34526,4.12632,0.00632,0,0,1.67368,0.21474,0.01684,1.60421,0.02737,0.02526,0.86105,0,4.34316,33.93053,2.61474,0.97895,0.97053,0.62316,0.97895,5.10526,22.72211,8.21684,2.08632,7.53895,1.14105,0.61053,0.62526,0.72211,37.23158,21.08421,0.04632
8,6_b2f60b872c4da1113159f44e9354fbfa11edad9bclass,5.74721,8.13807,2.99086,5.74721,5.2802,1.8132,0.73706,6.07208,2.87411,0.75566,-0.20568,-0.20568,4.14822,0.73198,3.29949,0.08629,0.06091,0.10152,3.46193,0.01015,0,0,1.60914,0.0203,0.01523,1.53807,0,0.05584,0.39594,0,0.60406,27.7066,2.15838,0.93503,0.9401,0.62538,1.82335,1.46802,21.37157,7.53909,5.10761,6.85381,1.13807,0.61015,0.6,0.6,28.67107,17.1736,0
9,2_2d45ea7e5760a6a5187ea3e3993267cc53d130a4class,6.55327,9.55327,3.6,6.55327,5.96449,2.28692,0.7215,7.35701,4.38505,0.74037,-0.2,-0.2,4.27757,0.86636,3.09813,0.2243,0.29907,0.05607,3.45327,0.00935,0.02336,0,1.58411,0.09813,0.06075,1.46262,0.01402,0.04673,0.45327,0,2.84579,29.41776,2.33832,0.95047,1.22617,0.62804,1.41308,2.79626,19.35234,7.13271,3.63271,6.46449,1.17477,0.60935,0.60467,0.6,31.34299,20.79626,0.02804
