,commitID,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
0,7_7ce823db10e78807039ccd6af09ce7decb9a26b1class,5.84211,8.689,2.84689,5.84211,5.03349,1.66986,0.14354,6.77512,4.30144,0.16138,0,0,3.72249,0.24402,3.23923,0.16268,0.26316,0.05742,3.55981,0.00957,0,0,1.7177,0.08134,0.04306,1.61722,0.00478,0.05263,0.45455,0,2.63158,29.05263,1.58373,0.37799,0.33493,0.03349,0.75598,1.3445,19.27751,7.20096,2.99043,6.48325,0.54067,0.00957,0,0,30.6555,20.57895,0.01435
1,6_6688d72402c214909c341018cc2a4f128f3ad15fclass,5.03448,7.30542,2.27094,5.03448,4.93596,1.21182,0.14286,5.76847,2.30049,0.15539,-0.00549,-0.00549,3.70443,0.14286,3.40394,0.09852,0.05911,0.14286,3.60591,0.00985,0,0,1.60591,0.0197,0.01478,1.53695,0,0.05419,0.38424,0,0.57635,28.65025,1.61576,0.3399,0.38424,0.02463,1.21182,0.92611,23.9064,7.23645,4.46798,6.38424,0.5468,0.00985,0,0,28.57635,16.1133,0
2,10_4b2c96d4a21b63d8862851655924c48169e918afclass,6.75565,8.77618,2.02053,6.75565,6.01848,1.80082,0.16427,7.8152,11.32444,0.20972,-0.02123,-0.02123,4.44353,0.34086,3.52977,0.30595,0.26694,0.34086,4.13758,0.00616,0,0,1.59548,0.1499,0.01848,1.52567,0.02669,0.02464,0.78234,0,2.56674,33.31417,2.00411,0.37166,0.37166,0.02259,0.38193,4.40657,22.53593,7.57084,1.4538,6.89938,0.53388,0.01027,0.02464,0.12936,36.28953,20.00411,0.04517
3,8_8fa61d49ed0a25f67268274edb31315e8803a4d1class,5.70588,7.70588,2,5.70588,5.16246,1.68347,0.10364,6.36415,3.34734,0.14293,-0.03343,-0.03343,3.54342,0.21008,2.7563,0.2409,0.33053,0.21569,3.30252,0.0056,0.0028,0,1.72269,0.11765,0.03641,1.62465,0.03361,0.02801,0.67227,0,1.77871,30.14846,1.7423,0.38655,0.5014,0.02241,0.39776,5.43697,21.76471,6.52661,1.51821,5.86555,0.54902,0.0084,0.03081,0.02241,32.46218,21.10644,0.01681
4,2_60ac6bed8583ad22a9e01f5fbe971ec326aff0cfclass,5.95327,8.95327,3,5.95327,5.36449,1.68692,0.1215,6.74766,3.82243,0.14038,0,0,3.68224,0.26636,3.09813,0.22897,0.29907,0.05607,3.45327,0.00935,0.02336,0,1.58411,0.09813,0.06075,1.46262,0.01402,0.04673,0.45327,0,2.84579,28.80374,1.74299,0.34112,0.62617,0.02804,0.81776,2.18224,18.56542,6.52804,3.02804,5.85981,0.56542,0.00935,0.00467,0,30.7757,20.19626,0.02804
5,4_d2b70fa68b24342e49ad7c135de5dc977f21bf66class,6.70588,8.8914,2.18552,6.70588,5.81674,1.8371,0.1629,7.55882,10.76697,0.22782,-0.0288,-0.0288,4.17873,0.29638,3.28959,0.28507,0.27149,0.33258,3.89367,0.00679,0,0,1.65611,0.20814,0.01357,1.57919,0.02941,0.03394,0.77602,0,3.15837,32.05882,1.93665,0.38688,0.43665,0.02262,0.45249,4.66063,21.01357,7.08824,1.52262,6.39819,0.5362,0.01131,0.02941,0.11086,35.74661,24.1991,0.04299
6,1_f9fdd8cc2ecf825098deb9a450304917efd555c0class,5.87622,8.23779,2.36156,5.87622,4.64821,1.7329,0.09446,5.96091,2.81433,0.12374,0,0,3.28013,0.18893,2.70684,0.17915,0.35505,0.03909,3.10098,0.00651,0.01954,0,1.64821,0.08469,0.04235,1.54072,0.03257,0.03257,0.61238,0,3.35831,28.23453,1.4658,0.28664,0.46254,0.01954,0.60912,1.60912,23.10749,6.13355,2.29642,5.57003,0.49186,0.00977,0.00326,0,30.01629,21.0456,0.01954
7,5_1e765120efa4d654436499475acd84c5c6c58c37class,5.94322,8.4511,2.50789,5.94322,4.73817,1.70347,0.09464,6.02839,3.25868,0.12621,0,0,3.347,0.18612,2.68454,0.18297,0.35647,0.12303,3.16404,0.00631,0.01893,0,1.68454,0.1041,0.04101,1.5836,0.03155,0.02839,0.64353,0,3.75079,28.46372,1.46372,0.30915,0.43218,0.02208,0.57413,1.58675,23.30599,6.19243,2.23344,5.64353,0.49842,0.00946,0.00315,0,30.56782,20.41325,0.02208
8,9_87e6001b6f4624e40513751a5f79c49b086df32cclass,6.7914,9.07312,2.28172,6.7914,5.86452,1.7957,0.15484,7.83656,10.44946,0.22856,-0.02736,-0.02736,4.32043,0.31183,3.39355,0.31613,0.26667,0.34409,4.0043,0.00645,0,0,1.66022,0.20215,0.0129,1.5914,0.02796,0.02796,0.82796,0,3.56774,32.73118,1.94624,0.37204,0.36129,0.02366,0.3957,4.53548,21.59355,7.42581,1.47742,6.74839,0.53333,0.01075,0.02796,0.11183,35.86237,23.05376,0.04301
9,3_fe6e166d078eb1c6d6baebae844bffc40e81ee23class,5.9486,8.94393,2.99533,5.9486,5.34579,1.68692,0.1215,6.72897,3.53271,0.1403,0,0,3.66822,0.26636,3.08411,0.22897,0.29907,0.05607,3.43925,0.00935,0.02336,0,1.58411,0.09813,0.06075,1.46262,0.01402,0.04673,0.45327,0,2.84579,28.74299,1.73364,0.34112,0.62617,0.02804,0.81308,2.18224,18.50935,6.51869,3.02804,5.85047,0.56542,0.00935,0.00467,0,30.7243,20.19626,0.02804
