file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-core/src/main/java/org/ta4j/core/indicators/candles/BullishHaramiIndicator.java,org.ta4j.core.indicators.candles.BullishHaramiIndicator,class,5,5,0,5,5,3,0,8,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,0,0,0,0,2,6,1,6,1,0,0,0,26,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-core/src/main/java/org/ta4j/core/trading/rules/OverIndicatorRule.java,org.ta4j.core.trading.rules.OverIndicatorRule,class,5,6,1,5,4,2,0,5,4,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,2,0,0,19,1,0,0,0,0,0,0,3,0,3,0,0,0,0,30,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-core/src/main/java/org/ta4j/core/BaseTradingRecord.java,org.ta4j.core.BaseTradingRecord,class,6,8,2,6,34,1,0,20,31,0.8095238,0.0,0.0,14,0,13,1,0,0,13,0,0,0,9,1,0,9,0,0,1,0,0,117,16,2,3,0,0,5,7,16,5,14,2,0,0,0,84,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-examples/src/test/java/ta4jexamples/backtesting/SimpleMovingAverageBacktestingTest.java,ta4jexamples.backtesting.SimpleMovingAverageBacktestingTest,class,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-core/src/main/java/org/ta4j/core/indicators/helpers/BooleanTransformIndicator.java,org.ta4j.core.indicators.helpers.BooleanTransformIndicator$BooleanTransformType,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-core/src/test/java/org/ta4j/core/OrderTest.java,org.ta4j.core.OrderTest,class,3,3,0,3,3,1,0,10,0,0.16666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,22,0,0,0,0,0,0,4,4,0,4,0,0,0,0,16,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-core/src/test/java/org/ta4j/core/indicators/helpers/VolumeIndicatorTest.java,org.ta4j.core.indicators.helpers.VolumeIndicatorTest,class,9,9,0,9,4,2,0,6,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,30,0,1,0,0,0,0,31,5,0,5,1,0,0,0,21,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-core/src/main/java/org/ta4j/core/indicators/bollinger/BollingerBandsUpperIndicator.java,org.ta4j.core.indicators.bollinger.BollingerBandsUpperIndicator,class,5,7,2,5,5,3,0,8,0,0.2,0.0,0.0,5,0,4,0,1,0,5,0,0,0,3,0,0,3,0,0,3,0,0,23,3,0,0,0,0,3,1,3,1,3,0,0,0,0,48,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-core/src/main/java/org/ta4j/core/indicators/volume/NVIIndicator.java,org.ta4j.core.indicators.volume.NVIIndicator,class,4,4,0,4,4,3,0,11,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,1,0,0,0,4,6,2,6,1,0,0,0,35,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-core/src/main/java/org/ta4j/core/indicators/ParabolicSarIndicator.java,org.ta4j.core.indicators.ParabolicSarIndicator,class,8,9,1,8,14,3,0,19,4,0.65999997,0.0,0.0,5,0,3,1,1,0,4,0,0,0,10,0,0,10,0,0,3,0,0,94,3,0,2,0,3,0,7,37,4,12,3,0,0,0,53,1,0
