file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-core/src/main/java/org/ta4j/core/indicators/candles/BullishHaramiIndicator.java,org.ta4j.core.indicators.candles.BullishHaramiIndicator,calculate/1[int],false,49,2,4,0,4,4,7,15,3,6,1,7,0,0,0,0,0,0,0,2,6,1,1,0,0,0,11,4,0,false
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-core/src/main/java/org/ta4j/core/indicators/candles/BullishHaramiIndicator.java,org.ta4j.core.indicators.candles.BullishHaramiIndicator,BullishHaramiIndicator/1[org.ta4j.core.indicators.candles.TimeSeries],true,43,1,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,true
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-core/src/main/java/org/ta4j/core/trading/rules/OverIndicatorRule.java,org.ta4j.core.trading.rules.OverIndicatorRule,"OverIndicatorRule/2[org.ta4j.core.trading.rules.Indicator<org.ta4j.core.Num.Num>,org.ta4j.core.trading.rules.Indicator<org.ta4j.core.Num.Num>]",true,56,1,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,1,0,true
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-core/src/main/java/org/ta4j/core/trading/rules/OverIndicatorRule.java,org.ta4j.core.trading.rules.OverIndicatorRule,"isSatisfied/2[int,org.ta4j.core.TradingRecord]",false,62,2,1,0,1,1,3,5,1,1,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-core/src/main/java/org/ta4j/core/trading/rules/OverIndicatorRule.java,org.ta4j.core.trading.rules.OverIndicatorRule,"OverIndicatorRule/2[org.ta4j.core.trading.rules.Indicator<org.ta4j.core.Num.Num>,org.ta4j.core.Num.Num]",true,47,3,0,0,0,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-examples/src/main/java/ta4jexamples/indicators/CandlestickChart.java,ta4jexamples.indicators.CandlestickChart,createAdditionalDataset/1[ta4jexamples.indicators.TimeSeries],false,87,6,1,1,0,2,8,11,1,5,1,8,0,0,1,0,0,0,1,2,5,1,1,0,0,0,28,10,0,true
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-examples/src/main/java/ta4jexamples/indicators/CandlestickChart.java,ta4jexamples.indicators.CandlestickChart,main/1[java.lang.String[]],false,117,10,4,0,4,1,16,22,0,9,1,16,3,1,0,0,0,0,3,2,9,0,0,0,0,0,38,9,0,false
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-examples/src/main/java/ta4jexamples/indicators/CandlestickChart.java,ta4jexamples.indicators.CandlestickChart,createOHLCDataset/1[ta4jexamples.indicators.TimeSeries],false,57,5,1,1,0,2,10,20,1,10,1,10,0,0,1,0,0,0,1,2,16,1,1,0,0,0,36,10,0,true
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-examples/src/main/java/ta4jexamples/indicators/CandlestickChart.java,ta4jexamples.indicators.CandlestickChart,displayChart/1[ta4jexamples.indicators.JFreeChart],false,103,3,1,1,0,1,7,11,0,2,1,7,0,0,0,0,0,0,1,2,2,0,0,0,0,0,20,10,0,true
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-core/src/main/java/org/ta4j/core/BaseTradingRecord.java,org.ta4j.core.BaseTradingRecord,"operate/3[int,org.ta4j.core.Num,org.ta4j.core.Num]",false,108,3,3,2,1,2,4,8,0,2,3,4,1,1,0,0,0,0,1,0,2,0,1,0,0,0,16,1,0,false
