file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-core/src/main/java/org/ta4j/core/indicators/candles/BullishHaramiIndicator.java,org.ta4j.core.indicators.candles.BullishHaramiIndicator,class,4,4,0,4,5,3,0,7,0,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,1,0,0,1,0,0,1,0,0,22,3,0,0,0,0,0,2,7,1,7,1,0,0,0,25,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-core/src/main/java/org/ta4j/core/trading/rules/OverIndicatorRule.java,org.ta4j.core.trading.rules.OverIndicatorRule,class,5,6,1,5,3,2,0,3,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,16,1,0,0,0,0,0,0,3,0,3,0,0,0,0,29,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-examples/src/main/java/ta4jexamples/indicators/CandlestickChart.java,ta4jexamples.indicators.CandlestickChart,class,18,19,1,18,6,1,0,37,6,0.0,NaN,NaN,4,4,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,65,2,2,0,0,0,6,8,31,2,25,1,0,0,0,84,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-core/src/main/java/org/ta4j/core/BaseTradingRecord.java,org.ta4j.core.BaseTradingRecord,class,6,8,2,6,32,1,0,15,24,0.80341876,0.0,0.0,13,0,12,1,0,0,12,0,1,0,9,1,0,9,0,0,1,0,0,109,15,1,3,0,0,3,7,15,5,13,2,0,0,0,81,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-core/src/main/java/org/ta4j/core/indicators/MMAIndicator.java,org.ta4j.core.indicators.MMAIndicator,class,2,4,2,2,1,2,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-core/src/main/java/org/ta4j/core/indicators/statistics/StandardErrorIndicator.java,org.ta4j.core.indicators.statistics.StandardErrorIndicator,class,4,4,0,4,2,2,0,5,0,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,2,0,0,2,0,0,0,0,2,14,1,0,0,0,0,0,3,4,4,4,0,0,0,0,20,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-core/src/main/java/org/ta4j/core/indicators/helpers/BooleanTransformIndicator.java,org.ta4j.core.indicators.helpers.BooleanTransformIndicator$BooleanTransformType,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-core/src/test/java/org/ta4j/core/indicators/statistics/SigmaIndicatorTest.java,org.ta4j.core.indicators.statistics.SigmaIndicatorTest,class,6,6,0,6,2,1,0,2,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,14,0,0,0,0,0,0,17,2,0,2,0,0,0,0,17,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-core/src/main/java/org/ta4j/core/Decimal.java,org.ta4j.core.Decimal,class,1,90,89,1,116,2,0,27,0,0.8663101,0.0,0.0,51,9,43,8,0,0,43,0,0,0,11,10,9,2,0,0,11,0,28,266,76,0,51,0,31,2,28,19,0,12,1,0,0,0,168,17,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-core/src/test/java/org/ta4j/core/OrderTest.java,org.ta4j.core.OrderTest,class,3,3,0,3,3,1,0,10,0,0.16666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,22,0,0,0,0,0,0,4,4,0,4,0,0,0,0,16,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-examples/src/main/java/ta4jexamples/indicators/IndicatorsToChart.java,ta4jexamples.indicators.IndicatorsToChart,class,20,21,1,20,4,1,0,23,3,0.0,NaN,NaN,3,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,39,1,1,0,0,0,8,5,16,0,16,1,0,0,0,86,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-core/src/test/java/org/ta4j/core/indicators/helpers/VolumeIndicatorTest.java,org.ta4j.core.indicators.helpers.VolumeIndicatorTest,class,6,6,0,6,3,1,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,27,0,1,0,0,0,0,31,5,0,5,1,0,0,0,19,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-core/src/main/java/org/ta4j/core/indicators/bollinger/BollingerBandsUpperIndicator.java,org.ta4j.core.indicators.bollinger.BollingerBandsUpperIndicator,class,4,6,2,4,5,3,0,6,0,0.26666668,0.0,0.0,5,0,4,0,1,0,5,0,0,0,3,0,0,3,0,0,3,0,0,23,3,0,0,0,0,2,0,3,1,3,0,0,0,0,30,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-core/src/main/java/org/ta4j/core/indicators/volume/NVIIndicator.java,org.ta4j.core.indicators.volume.NVIIndicator,class,4,4,0,4,4,3,0,9,0,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,1,0,0,1,0,0,1,0,0,22,3,0,1,0,0,0,3,7,2,7,1,0,0,0,33,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-core/src/test/java/org/ta4j/core/indicators/ChandelierExitLongIndicatorTest.java,org.ta4j.core.indicators.ChandelierExitLongIndicatorTest,class,7,7,0,7,2,1,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,35,0,0,0,0,0,0,81,3,0,3,0,0,0,0,23,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-core/src/test/java/org/ta4j/core/IndicatorFactory.java,org.ta4j.core.IndicatorFactory,interface,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
