file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/mnt/c/Users/User/Downloads/ta4j/ta4j/src/main/java/eu/verdelhan/ta4j/runners/ShortSellRunnerFactory.java,eu.verdelhan.ta4j.runners.ShortSellRunnerFactory,"create/2[eu.verdelhan.ta4j.runners.Strategy,eu.verdelhan.ta4j.runners.TimeSeriesSlicer]",false,32,4,1,0,1,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/mnt/c/Users/User/Downloads/ta4j/ta4j/src/test/java/eu/verdelhan/ta4j/indicators/simple/PreviousPriceIndicatorTest.java,eu.verdelhan.ta4j.indicators.simple.PreviousPriceIndicatorTest,setUp/0,false,37,3,1,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,1,0,false
/mnt/c/Users/User/Downloads/ta4j/ta4j/src/test/java/eu/verdelhan/ta4j/indicators/simple/PreviousPriceIndicatorTest.java,eu.verdelhan.ta4j.indicators.simple.PreviousPriceIndicatorTest,testIndicatorShouldRetrieveTickPreviousPrice/0,false,44,3,2,0,2,2,5,6,0,1,0,5,0,0,1,0,0,0,0,5,1,1,1,0,0,0,10,1,0,false
/mnt/c/Users/User/Downloads/ta4j/ta4j/src/test/java/eu/verdelhan/ta4j/series/FullyMemorizedSlicerTest.java,eu.verdelhan.ta4j.series.FullyMemorizedSlicerTest,testSplitByYearOneDatePerYear/0,false,81,6,5,0,5,1,8,16,0,2,0,8,0,0,0,0,0,0,0,27,3,0,0,0,0,0,19,1,0,false
/mnt/c/Users/User/Downloads/ta4j/ta4j/src/test/java/eu/verdelhan/ta4j/series/FullyMemorizedSlicerTest.java,eu.verdelhan.ta4j.series.FullyMemorizedSlicerTest,testSplitByHour/0,false,227,7,5,0,5,1,10,17,0,3,0,10,0,0,0,0,0,0,0,43,4,0,0,0,0,0,18,1,0,false
/mnt/c/Users/User/Downloads/ta4j/ta4j/src/test/java/eu/verdelhan/ta4j/series/FullyMemorizedSlicerTest.java,eu.verdelhan.ta4j.series.FullyMemorizedSlicerTest,testSplitByYearWithHolesBetweenSlices/0,false,153,6,5,0,5,1,8,14,0,2,0,8,0,0,0,0,0,0,0,30,3,0,0,0,0,0,20,1,0,false
/mnt/c/Users/User/Downloads/ta4j/ta4j/src/test/java/eu/verdelhan/ta4j/series/FullyMemorizedSlicerTest.java,eu.verdelhan.ta4j.series.FullyMemorizedSlicerTest,testSplitByYear/0,false,104,6,5,0,5,1,8,14,0,2,0,8,0,0,0,0,0,0,0,29,3,0,0,0,0,0,16,1,0,false
/mnt/c/Users/User/Downloads/ta4j/ta4j/src/test/java/eu/verdelhan/ta4j/series/FullyMemorizedSlicerTest.java,eu.verdelhan.ta4j.series.FullyMemorizedSlicerTest,testSplitByYearForcingJuly/0,false,130,6,5,0,5,1,10,12,0,2,0,10,0,0,0,0,0,0,0,49,3,0,0,0,0,0,18,1,0,false
/mnt/c/Users/User/Downloads/ta4j/ta4j/src/test/java/eu/verdelhan/ta4j/series/FullyMemorizedSlicerTest.java,eu.verdelhan.ta4j.series.FullyMemorizedSlicerTest,setUp/0,false,40,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,1,0,false
/mnt/c/Users/User/Downloads/ta4j/ta4j/src/test/java/eu/verdelhan/ta4j/series/FullyMemorizedSlicerTest.java,eu.verdelhan.ta4j.series.FullyMemorizedSlicerTest,testApllyForSeries/0,false,45,6,6,0,6,1,9,18,0,3,0,9,0,0,0,0,0,0,0,34,6,0,0,0,0,0,16,1,0,false
/mnt/c/Users/User/Downloads/ta4j/ta4j/src/test/java/eu/verdelhan/ta4j/series/FullyMemorizedSlicerTest.java,eu.verdelhan.ta4j.series.FullyMemorizedSlicerTest,testSplitByYearBeginingInJulyOverridingPeriodBeginTo1of1of2000/0,false,202,6,5,0,5,1,8,14,0,2,0,8,0,0,0,0,0,0,0,54,3,0,0,0,0,0,22,1,0,false
/mnt/c/Users/User/Downloads/ta4j/ta4j/src/test/java/eu/verdelhan/ta4j/series/FullyMemorizedSlicerTest.java,eu.verdelhan.ta4j.series.FullyMemorizedSlicerTest,testSplitByYearBeginningInJuly/0,false,180,6,5,0,5,1,8,12,0,2,0,8,0,0,0,0,0,0,0,47,3,0,0,0,0,0,19,1,0,false
/mnt/c/Users/User/Downloads/ta4j/ta4j/src/test/java/eu/verdelhan/ta4j/series/FullyMemorizedSlicerTest.java,eu.verdelhan.ta4j.series.FullyMemorizedSlicerTest,testMemorizedSlicer/0,false,259,6,5,0,5,1,8,14,0,2,0,8,0,0,0,0,0,0,0,54,3,0,0,0,0,0,13,1,0,false
/mnt/c/Users/User/Downloads/ta4j/ta4j/src/test/java/eu/verdelhan/ta4j/strategies/AbstractStrategyTest.java,eu.verdelhan.ta4j.strategies.AbstractStrategyTest,testAnd/0,false,81,2,2,0,2,1,5,15,0,1,0,5,0,0,0,0,0,0,0,12,1,0,0,0,0,0,10,1,0,false
/mnt/c/Users/User/Downloads/ta4j/ta4j/src/test/java/eu/verdelhan/ta4j/strategies/AbstractStrategyTest.java,eu.verdelhan.ta4j.strategies.AbstractStrategyTest,testOr/0,false,100,2,2,0,2,1,5,15,0,1,0,5,0,0,0,0,0,0,0,12,1,0,0,0,0,0,10,1,0,false
/mnt/c/Users/User/Downloads/ta4j/ta4j/src/test/java/eu/verdelhan/ta4j/strategies/AbstractStrategyTest.java,eu.verdelhan.ta4j.strategies.AbstractStrategyTest,setUp/0,false,43,3,1,0,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,11,6,0,0,0,0,0,10,1,0,false
/mnt/c/Users/User/Downloads/ta4j/ta4j/src/main/java/eu/verdelhan/ta4j/indicators/oscillators/AroonUpIndicator.java,eu.verdelhan.ta4j.indicators.oscillators.AroonUpIndicator,"AroonUpIndicator/2[eu.verdelhan.ta4j.indicators.oscillators.TimeSeries,int]",true,43,3,2,0,2,1,0,5,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,13,1,0,false
/mnt/c/Users/User/Downloads/ta4j/ta4j/src/main/java/eu/verdelhan/ta4j/indicators/oscillators/AroonUpIndicator.java,eu.verdelhan.ta4j.indicators.oscillators.AroonUpIndicator,getValue/1[int],false,50,2,2,0,2,3,4,12,1,4,1,4,0,0,1,1,0,1,0,4,4,5,2,0,0,0,13,1,0,false
/mnt/c/Users/User/Downloads/ta4j/ta4j/src/main/java/eu/verdelhan/ta4j/Indicator.java,eu.verdelhan.ta4j.Indicator,getValue/1[int],false,34,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,true
