file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/mnt/c/Users/User/Downloads/ta4j/ta4j/src/test/java/eu/verdelhan/ta4j/indicator/simple/AverageHighLowTest.java,eu.verdelhan.ta4j.indicator.simple.AverageHighLowTest,class,7,7,0,7,4,1,0,8,0,0.16666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,1,0,1,0,0,1,29,0,1,0,0,0,0,44,5,0,5,1,0,0,0,33,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/src/test/java/eu/verdelhan/ta4j/series/FullyMemorizedSlicerTest.java,eu.verdelhan.ta4j.series.FullyMemorizedSlicerTest,class,7,7,0,7,10,1,0,14,0,0.1,0.0,0.0,10,0,10,0,0,0,10,0,0,0,2,0,0,2,0,0,0,0,0,138,0,0,0,0,0,0,368,32,0,22,0,0,0,0,42,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/src/test/java/eu/verdelhan/ta4j/analysis/criteria/AverageProfitableTradesCriterionTest.java,eu.verdelhan.ta4j.analysis.criteria.AverageProfitableTradesCriterionTest,class,13,13,0,13,3,1,0,5,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,42,15,2,14,0,0,0,0,33,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/src/main/java/eu/verdelhan/ta4j/TimeSeries.java,eu.verdelhan.ta4j.TimeSeries,interface,2,52,50,2,7,1,0,0,21,0.0,0.0,0.0,7,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/src/main/java/eu/verdelhan/ta4j/Indicator.java,eu.verdelhan.ta4j.Indicator,interface,1,46,45,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/src/test/java/eu/verdelhan/ta4j/indicator/simple/MinPriceTest.java,eu.verdelhan.ta4j.indicator.simple.MinPriceTest,class,5,5,0,5,4,1,0,4,0,0.16666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,1,0,1,0,0,0,16,0,1,0,0,0,0,3,3,0,3,1,0,0,0,26,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/src/test/java/eu/verdelhan/ta4j/analysis/criteria/AverageProfitCriterionTest.java,eu.verdelhan.ta4j.analysis.criteria.AverageProfitCriterionTest,class,13,13,0,13,7,1,0,7,0,0.21428573,0.0,0.0,7,0,7,0,0,0,7,0,0,0,2,0,0,2,0,0,0,0,3,57,0,0,0,0,0,0,70,20,8,15,0,0,0,0,49,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/src/main/java/eu/verdelhan/ta4j/analysis/criteria/AbstractAnalysisCriterion.java,eu.verdelhan.ta4j.analysis.criteria.AbstractAnalysisCriterion,class,4,14,10,4,4,1,10,11,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,2,2,0,0,0,1,4,4,2,4,1,0,0,0,22,1025,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/src/main/java/eu/verdelhan/ta4j/indicator/simple/Constant.java,eu.verdelhan.ta4j.indicator.simple.Constant,class,2,4,2,2,3,1,0,2,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,12,2,0,0,0,0,1,0,1,1,1,0,0,0,0,11,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/src/test/java/eu/verdelhan/ta4j/indicator/helper/DirectionalUpTest.java,eu.verdelhan.ta4j.indicator.helper.DirectionalUpTest,class,5,5,0,5,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,22,0,104,3,73,3,0,0,0,0,21,1,0
