file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/mnt/c/Users/User/Downloads/ta4j/ta4j/src/test/java/eu/verdelhan/ta4j/indicator/simple/AverageHighLowTest.java,eu.verdelhan.ta4j.indicator.simple.AverageHighLowTest,testIndexGreatterThanTheIndicatorLenghtShouldThrowException/0,false,51,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,1,0,false
/mnt/c/Users/User/Downloads/ta4j/ta4j/src/test/java/eu/verdelhan/ta4j/indicator/simple/AverageHighLowTest.java,eu.verdelhan.ta4j.indicator.simple.AverageHighLowTest,setUp/0,false,22,5,2,0,2,1,1,15,0,1,0,1,0,0,0,0,0,0,0,40,3,0,0,0,0,0,12,1,0,false
/mnt/c/Users/User/Downloads/ta4j/ta4j/src/test/java/eu/verdelhan/ta4j/indicator/simple/AverageHighLowTest.java,eu.verdelhan.ta4j.indicator.simple.AverageHighLowTest,testIndicatorShouldRetrieveTickClosePrice/0,false,42,1,0,0,0,2,8,7,0,2,0,8,0,0,1,0,0,0,0,3,2,0,1,0,0,0,13,1,0,false
/mnt/c/Users/User/Downloads/ta4j/ta4j/src/test/java/eu/verdelhan/ta4j/series/FullyMemorizedSlicerTest.java,eu.verdelhan.ta4j.series.FullyMemorizedSlicerTest,testSplitByYear/0,false,83,5,1,0,1,1,7,14,0,2,0,7,0,0,0,0,0,0,0,29,3,0,0,0,0,0,16,1,0,false
/mnt/c/Users/User/Downloads/ta4j/ta4j/src/test/java/eu/verdelhan/ta4j/series/FullyMemorizedSlicerTest.java,eu.verdelhan.ta4j.series.FullyMemorizedSlicerTest,testSplitByYearOneDatePerYear/0,false,60,5,1,0,1,1,7,16,0,2,0,7,0,0,0,0,0,0,0,27,3,0,0,0,0,0,19,1,0,false
/mnt/c/Users/User/Downloads/ta4j/ta4j/src/test/java/eu/verdelhan/ta4j/series/FullyMemorizedSlicerTest.java,eu.verdelhan.ta4j.series.FullyMemorizedSlicerTest,testSplitByYearWithHolesBetweenSlices/0,false,132,5,1,0,1,1,7,14,0,2,0,7,0,0,0,0,0,0,0,30,3,0,0,0,0,0,20,1,0,false
/mnt/c/Users/User/Downloads/ta4j/ta4j/src/test/java/eu/verdelhan/ta4j/series/FullyMemorizedSlicerTest.java,eu.verdelhan.ta4j.series.FullyMemorizedSlicerTest,setUp/0,false,19,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,1,0,false
/mnt/c/Users/User/Downloads/ta4j/ta4j/src/test/java/eu/verdelhan/ta4j/series/FullyMemorizedSlicerTest.java,eu.verdelhan.ta4j.series.FullyMemorizedSlicerTest,testSplitByYearBeginingInJulyOverridingPeriodBeginTo1of1of2000/0,false,181,5,1,0,1,1,7,14,0,2,0,7,0,0,0,0,0,0,0,54,3,0,0,0,0,0,22,1,0,false
/mnt/c/Users/User/Downloads/ta4j/ta4j/src/test/java/eu/verdelhan/ta4j/series/FullyMemorizedSlicerTest.java,eu.verdelhan.ta4j.series.FullyMemorizedSlicerTest,testSplitByYearBeginningInJuly/0,false,159,5,1,0,1,1,7,12,0,2,0,7,0,0,0,0,0,0,0,47,3,0,0,0,0,0,19,1,0,false
/mnt/c/Users/User/Downloads/ta4j/ta4j/src/test/java/eu/verdelhan/ta4j/series/FullyMemorizedSlicerTest.java,eu.verdelhan.ta4j.series.FullyMemorizedSlicerTest,testMemorizedSlicer/0,false,238,5,1,0,1,1,7,14,0,2,0,7,0,0,0,0,0,0,0,54,3,0,0,0,0,0,13,1,0,false
