file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\User\Downloads\ta4j\ta4j\src\main\java\eu\verdelhan\tailtest\sample\SampleDecision.java,eu.verdelhan.tailtest.sample.SampleDecision,class,2,2,0,2,2,2,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,10,1,0,0,0,0,0,1,1,0,1,0,0,0,0,9,1,0
C:\Users\User\Downloads\ta4j\ta4j\src\main\java\eu\verdelhan\tailtest\indicator\tracker\AccelerationDeceleration.java,eu.verdelhan.tailtest.indicator.tracker.AccelerationDeceleration,class,5,6,1,5,4,2,0,3,4,0.5,0.0,0.0,4,0,3,0,1,0,4,0,0,0,2,0,0,2,0,0,0,0,0,17,2,0,0,0,0,0,2,2,1,2,0,0,0,0,25,1,0
C:\Users\User\Downloads\ta4j\ta4j\src\test\java\eu\verdelhan\tailtest\series\PartialMemorizesSlicerTest.java,eu.verdelhan.tailtest.series.PartialMemorizesSlicerTest,class,8,8,0,8,14,1,0,16,0,0.21428573,0.0,0.0,14,0,14,0,0,0,14,0,0,0,3,0,0,3,0,0,0,0,0,171,0,0,0,0,0,0,424,43,1,25,0,0,0,0,55,1,0
C:\Users\User\Downloads\ta4j\ta4j\src\main\java\eu\verdelhan\tailtest\series\RegularSlicer.java,eu.verdelhan.tailtest.series.RegularSlicer,class,7,23,16,7,3,2,0,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,2,0,0,0,0,0,0,0,13,1,0
C:\Users\User\Downloads\ta4j\ta4j\src\main\java\eu\verdelhan\tailtest\Strategy.java,eu.verdelhan.tailtest.Strategy,interface,2,36,34,2,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0
C:\Users\User\Downloads\ta4j\ta4j\src\main\java\eu\verdelhan\tailtest\indicator\helper\AverageDirectionalMovementUp.java,eu.verdelhan.tailtest.indicator.helper.AverageDirectionalMovementUp,class,3,5,2,3,4,2,0,4,0,0.16666667,0.0,0.0,3,0,2,0,1,0,3,0,0,0,2,0,0,2,0,0,2,0,0,15,3,0,1,0,3,1,5,2,8,2,1,0,0,0,19,1,0
C:\Users\User\Downloads\ta4j\ta4j\src\test\java\eu\verdelhan\tailtest\indicator\tracker\DirectionalMovementTest.java,eu.verdelhan.tailtest.indicator.tracker.DirectionalMovementTest,class,4,4,0,4,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,15,0,58,7,43,5,0,0,0,0,22,1,0
C:\Users\User\Downloads\ta4j\ta4j\src\main\java\eu\verdelhan\tailtest\strategy\NotSoFastStrategy.java,eu.verdelhan.tailtest.strategy.NotSoFastStrategy,class,3,5,2,3,16,2,0,6,0,0.22222222,0.0,0.0,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,54,12,0,7,0,7,2,4,9,6,6,2,0,0,0,32,1,0
C:\Users\User\Downloads\ta4j\ta4j\src\main\java\eu\verdelhan\tailtest\indicator\helper\DirectionalDown.java,eu.verdelhan.tailtest.indicator.helper.DirectionalDown,class,4,6,2,4,3,1,0,3,0,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,16,2,0,0,0,0,1,0,3,2,3,0,0,0,0,19,1,0
C:\Users\User\Downloads\ta4j\ta4j\src\test\java\eu\verdelhan\tailtest\strategy\ParabolicSarAndDMIStrategyTest.java,eu.verdelhan.tailtest.strategy.ParabolicSarAndDMIStrategyTest,class,8,8,0,8,2,1,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,40,11,0,11,0,0,0,0,28,1,0
