file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\User\Downloads\ta4j\ta4j\ta4j\src\test\java\eu\verdelhan\ta4j\indicators\simple\PreviousPriceIndicatorTest.java,eu.verdelhan.ta4j.indicators.simple.PreviousPriceIndicatorTest,class,7,7,0,7,3,1,0,4,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,1,0,1,0,0,0,14,0,1,0,0,0,0,5,3,1,3,1,0,0,0,18,1,0
C:\Users\User\Downloads\ta4j\ta4j\ta4j\src\test\java\eu\verdelhan\ta4j\strategies\rules\BooleanRuleTest.java,eu.verdelhan.ta4j.strategies.rules.BooleanRuleTest,class,4,4,0,4,2,1,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,18,0,0,0,0,0,0,8,2,0,2,0,0,0,0,14,1,0
C:\Users\User\Downloads\ta4j\ta4j\ta4j-examples\src\main\java\ta4jexamples\indicators\CandlestickChart.java,ta4jexamples.indicators.CandlestickChart,class,20,21,1,20,6,1,0,38,6,0.0,NaN,NaN,4,4,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,66,2,2,0,0,0,6,8,32,0,26,1,0,0,0,83,1,0
C:\Users\User\Downloads\ta4j\ta4j\ta4j-examples\src\main\java\ta4jexamples\indicators\IndicatorsToChart.java,ta4jexamples.indicators.IndicatorsToChart,class,19,20,1,19,4,1,0,22,3,0.0,NaN,NaN,3,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,37,1,1,0,0,0,8,3,14,0,14,1,0,0,0,80,1,0
C:\Users\User\Downloads\ta4j\ta4j\ta4j\src\main\java\eu\verdelhan\ta4j\indicators\oscillators\AroonUpIndicator.java,eu.verdelhan.ta4j.indicators.oscillators.AroonUpIndicator,class,5,5,0,5,4,3,0,6,0,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,3,0,0,3,0,0,3,0,3,23,1,1,0,0,0,0,2,7,3,7,2,0,0,0,24,1,0
C:\Users\User\Downloads\ta4j\ta4j\ta4j\src\main\java\eu\verdelhan\ta4j\Indicator.java,eu.verdelhan.ta4j.Indicator,interface,2,49,47,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
C:\Users\User\Downloads\ta4j\ta4j\ta4j\src\main\java\eu\verdelhan\ta4j\strategies\rules\StopGainRule.java,eu.verdelhan.ta4j.strategies.rules.StopGainRule,class,7,7,0,7,4,2,0,9,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,18,2,0,1,0,0,0,0,4,0,5,2,0,0,0,31,1,0
C:\Users\User\Downloads\ta4j\ta4j\ta4j\src\test\java\eu\verdelhan\ta4j\indicators\trackers\bollingerbands\BollingerBandsUpperIndicatorTest.java,eu.verdelhan.ta4j.indicators.trackers.bollingerbands.BollingerBandsUpperIndicatorTest,class,11,11,0,11,2,1,0,3,0,0.125,0.0,0.0,2,0,2,0,0,0,2,0,0,0,4,0,0,4,0,0,0,0,10,27,0,0,0,0,0,0,34,7,0,7,0,0,0,0,32,1,0
C:\Users\User\Downloads\ta4j\ta4j\ta4j\src\test\java\eu\verdelhan\ta4j\indicators\simple\MinPriceIndicatorTest.java,eu.verdelhan.ta4j.indicators.simple.MinPriceIndicatorTest,class,7,7,0,7,3,1,0,4,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,1,0,1,0,0,0,13,0,1,0,0,0,0,2,3,0,3,1,0,0,0,18,1,0
C:\Users\User\Downloads\ta4j\ta4j\ta4j\src\test\java\eu\verdelhan\ta4j\indicators\simple\TypicalPriceIndicatorTest.java,eu.verdelhan.ta4j.indicators.simple.TypicalPriceIndicatorTest,class,8,8,0,8,3,1,0,8,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,1,0,1,0,0,0,15,0,1,0,0,0,0,2,5,0,5,1,0,0,0,21,1,0
