file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\main\java\org\ta4j\core\indicators\candles\BullishHaramiIndicator.java,org.ta4j.core.indicators.candles.BullishHaramiIndicator,calculate/1[int],false,47,4,8,0,8,4,8,15,3,6,1,8,0,0,0,0,0,0,0,2,6,1,1,0,0,0,14,4,0,false
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\main\java\org\ta4j\core\indicators\candles\BullishHaramiIndicator.java,org.ta4j.core.indicators.candles.BullishHaramiIndicator,BullishHaramiIndicator/1[org.ta4j.core.TimeSeries],true,42,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\main\java\org\ta4j\core\trading\rules\OverIndicatorRule.java,org.ta4j.core.trading.rules.OverIndicatorRule,"OverIndicatorRule/2[org.ta4j.core.Indicator<org.ta4j.core.num.Num>,java.lang.Number]",true,53,2,1,0,1,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\main\java\org\ta4j\core\trading\rules\OverIndicatorRule.java,org.ta4j.core.trading.rules.OverIndicatorRule,"OverIndicatorRule/2[org.ta4j.core.Indicator<org.ta4j.core.num.Num>,org.ta4j.core.Indicator<org.ta4j.core.num.Num>]",true,73,2,4,4,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,1,0,true
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\main\java\org\ta4j\core\trading\rules\OverIndicatorRule.java,org.ta4j.core.trading.rules.OverIndicatorRule,"isSatisfied/2[int,org.ta4j.core.TradingRecord]",false,79,4,3,0,3,1,3,5,1,1,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\main\java\org\ta4j\core\trading\rules\OverIndicatorRule.java,org.ta4j.core.trading.rules.OverIndicatorRule,"OverIndicatorRule/2[org.ta4j.core.Indicator<org.ta4j.core.num.Num>,org.ta4j.core.num.Num]",true,63,3,4,2,2,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\main\java\org\ta4j\core\BaseTradingRecord.java,org.ta4j.core.BaseTradingRecord,getCurrentTrade/0,false,122,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\main\java\org\ta4j\core\BaseTradingRecord.java,org.ta4j.core.BaseTradingRecord,BaseTradingRecord/0,true,82,0,24,24,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,true
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\main\java\org\ta4j\core\BaseTradingRecord.java,org.ta4j.core.BaseTradingRecord,getLastOrder/0,false,161,1,0,0,0,2,3,6,2,0,0,3,0,0,0,0,0,0,0,1,0,1,1,0,0,0,4,1,0,false
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\main\java\org\ta4j\core\BaseTradingRecord.java,org.ta4j.core.BaseTradingRecord,"enter/3[int,org.ta4j.core.num.Num,org.ta4j.core.num.Num]",false,138,3,4,2,2,2,2,7,2,0,3,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,false
