file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\main\java\org\ta4j\core\indicators\candles\BullishHaramiIndicator.java,org.ta4j.core.indicators.candles.BullishHaramiIndicator,BullishHaramiIndicator/1[org.ta4j.core.TimeSeries],true,44,1,1,1,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,true
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\main\java\org\ta4j\core\indicators\candles\BullishHaramiIndicator.java,org.ta4j.core.indicators.candles.BullishHaramiIndicator,calculate/1[int],false,50,3,7,0,7,4,7,15,3,6,1,7,0,0,0,0,0,0,0,2,6,1,1,0,0,0,11,4,0,false
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\main\java\org\ta4j\core\trading\rules\OverIndicatorRule.java,org.ta4j.core.trading.rules.OverIndicatorRule,"isSatisfied/2[int,org.ta4j.core.TradingRecord]",false,62,4,3,0,3,1,3,5,1,1,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\main\java\org\ta4j\core\trading\rules\OverIndicatorRule.java,org.ta4j.core.trading.rules.OverIndicatorRule,"OverIndicatorRule/2[org.ta4j.core.Indicator<org.ta4j.core.Decimal>,org.ta4j.core.Indicator<org.ta4j.core.Decimal>]",true,56,2,4,4,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,1,0,true
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\main\java\org\ta4j\core\trading\rules\OverIndicatorRule.java,org.ta4j.core.trading.rules.OverIndicatorRule,"OverIndicatorRule/2[org.ta4j.core.Indicator<org.ta4j.core.Decimal>,org.ta4j.core.Decimal]",true,47,3,4,3,1,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-examples\src\main\java\ta4jexamples\indicators\CandlestickChart.java,ta4jexamples.indicators.CandlestickChart,createAdditionalDataset/1[org.ta4j.core.TimeSeries],false,88,8,7,1,6,2,8,11,1,5,1,8,0,0,1,0,0,0,1,2,5,1,1,0,0,0,28,10,0,true
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-examples\src\main\java\ta4jexamples\indicators\CandlestickChart.java,ta4jexamples.indicators.CandlestickChart,main/1[java.lang.String[]],false,118,10,4,0,4,1,16,22,0,9,1,16,3,1,0,0,0,0,3,2,9,0,0,0,0,0,38,9,0,false
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-examples\src\main\java\ta4jexamples\indicators\CandlestickChart.java,ta4jexamples.indicators.CandlestickChart,createOHLCDataset/1[org.ta4j.core.TimeSeries],false,58,6,10,1,9,2,10,20,1,10,1,10,0,0,1,0,0,0,1,2,16,1,1,0,0,0,36,10,0,true
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-examples\src\main\java\ta4jexamples\indicators\CandlestickChart.java,ta4jexamples.indicators.CandlestickChart,displayChart/1[ta4jexamples.indicators.JFreeChart],false,104,3,1,1,0,1,7,11,0,2,1,7,0,0,0,0,0,0,1,2,2,0,0,0,0,0,20,10,0,true
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\main\java\org\ta4j\core\BaseTradingRecord.java,org.ta4j.core.BaseTradingRecord,getLastExit/0,false,166,1,0,0,0,2,3,6,2,0,0,3,0,0,0,0,0,0,0,1,0,1,1,0,0,0,5,1,0,false
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\main\java\org\ta4j\core\BaseTradingRecord.java,org.ta4j.core.BaseTradingRecord,"recordOrder/2[org.ta4j.core.Order,boolean]",false,178,2,5,2,3,6,5,22,0,0,2,5,0,0,0,1,0,0,1,0,1,0,1,0,0,0,29,2,0,true
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\main\java\org\ta4j\core\BaseTradingRecord.java,org.ta4j.core.BaseTradingRecord,getLastEntry/0,false,158,1,0,0,0,2,3,6,2,0,0,3,0,0,0,0,0,0,0,1,0,1,1,0,0,0,5,1,0,false
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\main\java\org\ta4j\core\BaseTradingRecord.java,org.ta4j.core.BaseTradingRecord,"enter/3[int,org.ta4j.core.Decimal,org.ta4j.core.Decimal]",false,117,3,2,0,2,2,2,7,2,0,3,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,false
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\main\java\org\ta4j\core\BaseTradingRecord.java,org.ta4j.core.BaseTradingRecord,BaseTradingRecord/0,true,63,0,19,19,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,true
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\main\java\org\ta4j\core\BaseTradingRecord.java,org.ta4j.core.BaseTradingRecord,"operate/3[int,org.ta4j.core.Decimal,org.ta4j.core.Decimal]",false,106,4,6,2,4,2,4,8,0,2,3,4,1,1,0,0,0,0,1,0,2,0,1,0,0,0,16,1,0,false
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\main\java\org\ta4j\core\BaseTradingRecord.java,org.ta4j.core.BaseTradingRecord,BaseTradingRecord/1[org.ta4j.core.Order.OrderType],true,71,2,2,1,1,2,0,7,0,0,1,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0,23,1,0,true
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\main\java\org\ta4j\core\BaseTradingRecord.java,org.ta4j.core.BaseTradingRecord,"exit/3[int,org.ta4j.core.Decimal,org.ta4j.core.Decimal]",false,126,3,2,0,2,2,2,7,2,0,3,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,5,17,0,false
